field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2000],[2002],[2001],[1999]
. Doanh thu bán hàng và cung cấp dịch vụ__1,6315325559458.0,3295388684623.0,2824703383376.0,2188193632934.0,1506803072391.0,1457205085950.0,905862072037.0,596843323635.0,389685108417.0,305979407085.0,356991654755.0,237383428625.0,191687708084.0,192817409327.0,150572119486.0,84854028941.0,96438244869.0,,,,,,
. Các khoản giảm trừ doanh thu__1,77905568771.0,6734249905.0,25593116058.0,7371561222.0,2042711558.0,2502017744.0,2018870403.0,2340495940.0,2664222982.0,970000.0,459414374.0,50170920.0,,546632440.0,1203877156.0,256563600.0,773173940.0,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,6237419990687.0,3288654434718.0,2799110267318.0,2180822071712.0,1504760360833.0,1454703068206.0,903843201634.0,594502827695.0,387020885435.0,305978437085.0,356532240381.0,237333257705.0,191687708084.0,192270776887.0,149368242330.0,84597465341.0,95665070929.0,,,,,,
. Giá vốn hàng bán__1,5249928107677.0,2714354790486.0,2291168460647.0,1824463623536.0,1215175888085.0,1121391704262.0,740399372490.0,507526741156.0,329826180219.0,258600298194.0,311663705976.0,196543953292.0,160309786701.0,167138444611.0,133717987402.0,68702383305.0,81492221743.0,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,987491883010.0,574299644232.0,507941806671.0,356358448176.0,289584472748.0,333311363944.0,163443829144.0,86976086539.0,57194705216.0,47378138891.0,44868534405.0,40789304413.0,31377921383.0,25132332276.0,15650254928.0,15895082036.0,14172849186.0,,,,,,
. Doanh thu hoạt động tài chính__1,274991181493.0,228528493796.0,168923207788.0,91894304791.0,114154118572.0,9338829047.0,4055969480.0,433519988.0,1399165217.0,2846696732.0,1043971234.0,1538004107.0,139693151.0,519165757.0,94101521.0,68873027.0,37043942.0,,,,,,
. Chi phí tài chính__1,547246261865.0,322987999545.0,266755219433.0,202358425312.0,123407482056.0,70320556967.0,30186865640.0,15135429638.0,13062963727.0,17465947065.0,17953291587.0,16263657622.0,7549387105.0,8576827354.0,3961273223.0,2215126553.0,2097348565.0,,,,,,
- Trong đó: Chi phí lãi vay__1,522479865588.0,312945226602.0,243954441499.0,185332963882.0,118151321013.0,66127619537.0,21152374024.0,11405213958.0,10414432116.0,10757841824.0,14062278276.0,,4924551338.0,6488985538.0,3555238573.0,2154805617.0,2096012956.0,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",11595637695.0,21584714541.0,9337265591.0,17366699485.0,8719402463.0,-3385529434.0,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,336077185387.0,205203833489.0,162007811615.0,96146414372.0,67769857716.0,47063462203.0,24802557295.0,17215941330.0,14015283079.0,8358944825.0,9279243901.0,4751597221.0,3305722523.0,3906304155.0,1811395453.0,1262149569.0,1587544722.0,,,,,,
