field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001]
. Doanh thu bán hàng và cung cấp dịch vụ__1,65525999722.0,62033728271.0,50343569623.0,43727683464.0,42753187878.0,41975722853.0,54447130730.0,55639918172.0,48556436632.0,39989343726.0,33684644717.0,45310996215.0,43470957039.0,39838005455.0,,,,,,,
. Các khoản giảm trừ doanh thu__1,3634327.0,1328571.0,2476650.0,6293725.0,7132956.0,15851504.0,272792383.0,112961440.0,2563632.0,7862727.0,5580913.0,216412556.0,310049078.0,92405693.0,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,65522365395.0,62032399700.0,50341092973.0,43721389739.0,42746054922.0,41959871349.0,54174338347.0,55526956732.0,48553873000.0,39981480999.0,33679063804.0,45094583659.0,43160907961.0,39745599762.0,,,,,,,
. Giá vốn hàng bán__1,57837960456.0,55380001250.0,44876946411.0,39291847372.0,38016512924.0,37008174058.0,49132981485.0,50726561678.0,43750108238.0,35126228176.0,29034196703.0,40145659482.0,38098186913.0,33526230212.0,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,7684404939.0,6652398450.0,5464146562.0,4429542367.0,4729541998.0,4951697291.0,5041356862.0,4800395054.0,4803764762.0,4855252823.0,4644867101.0,4948924177.0,5062721048.0,6219369550.0,,,,,,,
. Doanh thu hoạt động tài chính__1,570427120.0,468198846.0,269588690.0,133255445.0,391464527.0,211574181.0,153350877.0,189961401.0,245184937.0,108639861.0,10706924.0,23509954.0,105302535.0,233784240.0,,,,,,,
. Chi phí tài chính__1,279746680.0,123260625.0,101144650.0,71014132.0,115449857.0,146420501.0,203855782.0,123809700.0,231112955.0,360712711.0,897372095.0,415265367.0,378779373.0,516304465.0,,,,,,,
- Trong đó: Chi phí lãi vay__1,279746680.0,123260625.0,101144650.0,71014132.0,115449857.0,146420501.0,203855782.0,123809700.0,231112955.0,360712711.0,720930536.0,415265367.0,378779373.0,516304465.0,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,3300036416.0,2956349715.0,2324137290.0,1757235624.0,1975610827.0,2225905348.0,2394693803.0,2478203753.0,2310279431.0,2347248075.0,2320853744.0,1909844050.0,2195328747.0,2937383195.0,,,,,,,
. Chi phí quản lý doanh nghiệp__1,2864808650.0,2549005016.0,2474432797.0,2137658365.0,2181780803.0,2203206857.0,2400853231.0,2241499139.0,2224151189.0,2094761556.0,2379275381.0,1903359241.0,1425061174.0,1347609543.0,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,1810240313.0,1491981940.0,834020515.0,596889691.0,848165038.0,587738766.0,195304923.0,146843863.0,283406124.0,161170342.0,-941927195.0,743965473.0,1168854289.0,1651856587.0,,,,,,,
. Thu nhập khác__1,208439517.0,125813620.0,635515091.0,346585669.0,136455390.0,840460649.0,735415275.0,546569781.0,349257155.0,671029652.0,7710126847.0,792763190.0,156967642.0,327440256.0,,,,,,,
. Chi phí khác__1,28706933.0,20329302.0,87528612.0,47537360.0,23434633.0,20934476.0,110876353.0,181616585.0,120225812.0,138992147.0,5083227142.0,260179439.0,28664514.0,316944387.0,,,,,,,
. Lợi nhuận khác__1,179732584.0,105484318.0,547986479.0,299048309.0,113020757.0,819526173.0,624538922.0,364953196.0,229031343.0,532037505.0,2626899705.0,532583751.0,128303128.0,10495869.0,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,1989972897.0,1597466258.0,1382006994.0,895938000.0,961185795.0,1407264939.0,819843845.0,511797059.0,512437467.0,693207847.0,1684972510.0,1276549224.0,1297157417.0,1662352456.0,,,,,,,
. Chi phí thuế TNDN hiện hành__1,416499241.0,232379542.0,291933703.0,188895610.0,201523639.0,289469349.0,188978646.0,118657928.0,110807570.0,73430474.0,566362836.0,349003556.0,228596308.0,443235953.0,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,1573473656.0,1365086716.0,1090073291.0,707042390.0,759662156.0,1117795590.0,630865199.0,393139131.0,401629897.0,619777373.0,1118609674.0,927545668.0,1068561109.0,1219116503.0,,,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,1573473656.0,1365086716.0,1090073291.0,707042390.0,759662156.0,1117795590.0,630865199.0,393139131.0,401629897.0,619777373.0,1118609674.0,927545668.0,1068561109.0,1219116503.0,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,1187.0,1212.0,871.0,628.0,641.0,943.0,560.0,349.0,357.0,550.0,993.0,823.0,949.0,1777.0,,,,,,,
. Lãi suy giảm trên cổ phiếu__1,1187.0,1212.0,871.0,628.0,641.0,,,,,,,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,,
I - TÀI SẢN NGẮN HẠN__1,20203635614.0,13500196182.0,12404796394.0,11084326099.0,10706706874.0,10554009015.0,10291057796.0,10435617182.0,10880707315.0,11119753259.0,14272043602.0,12663971153.0,10380019745.0,11968982734.0,,,,,,,
. Tiền và các khoản tương đương tiền__1,292422655.0,2053287481.0,1336339547.0,1066465128.0,1167164109.0,1869199842.0,1818816924.0,2776223634.0,2379159796.0,1505030593.0,2011895671.0,1654175619.0,682423752.0,1246851870.0,,,,,,,
..Tiền__1,292422655.0,2053287481.0,1336339547.0,1066465128.0,,1869199842.0,818816924.0,2776223634.0,2379159796.0,1505030593.0,2011895671.0,1654175619.0,682423752.0,1246851870.0,,,,,,,
..Các khoản tương đương tiền__1,,,,,,,1000000000.0,,,,,,,,,,,,,,
. Các khoản đầu tư tài chính ngắn hạn__1,5500000000.0,4000000000.0,2000000000.0,2500000000.0,3500000000.0,2500000000.0,2000000000.0,,,,,,,,,,,,,,
.. Chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,
.. Đầu tư nắm giữ đến ngày đáo hạn__1,5500000000.0,4000000000.0,2000000000.0,2500000000.0,3500000000.0,2500000000.0,2000000000.0,,,,,,,,,,,,,,
. Các khoản phải thu ngắn hạn__1,1907960490.0,2306941164.0,1979797953.0,2063862098.0,1524336762.0,1264599021.0,1256804301.0,2854647924.0,2697275186.0,3134467396.0,6328952141.0,3923652498.0,3770536746.0,3238871018.0,,,,,,,
..Phải thu khách hàng__1,1682580796.0,2091864029.0,1784373206.0,1946285420.0,1377207105.0,1055310670.0,1193505935.0,2699255792.0,2433905068.0,2960365615.0,6033782879.0,3455970473.0,3401386361.0,3046177911.0,,,,,,,
..Trả trước cho người bán__1,22000000.0,13846778.0,14463782.0,13846787.0,13846778.0,43318080.0,44713424.0,24231872.0,35846778.0,14116778.0,80252382.0,123846778.0,160959468.0,163146778.0,,,,,,,
.. Phải thu nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Phải thu theo tiến độ Kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Các khoản phải thu khác__1,284118575.0,287312266.0,261548983.0,209861777.0,240717224.0,283169616.0,235699171.0,231336989.0,268490249.0,246495497.0,257626063.0,371038931.0,215915917.0,37271329.0,,,,,,,
.. Dự phòng phải thu ngắn hạn khó đòi__1,-80738881.0,-86081909.0,-80588018.0,-106131886.0,-107434345.0,-117199345.0,-217114229.0,-100176729.0,-40966909.0,-86510494.0,-42709183.0,-27203684.0,-7725000.0,-7725000.0,,,,,,,
. Tài sản thiếu chờ xử lý__1,,,,,,,,,,,,,,,,,,,,,
. Hàng tồn kho__1,12441214874.0,5122183931.0,7055741200.0,5441244827.0,4505475322.0,4904751978.0,5198512010.0,4792864374.0,5708512386.0,6360641883.0,5784943266.0,6938809446.0,5683407341.0,6999764466.0,,,,,,,
.. Hàng tồn kho__1,12757615183.0,5369355973.0,7279863177.0,5661534482.0,4732731654.0,5210762828.0,5301607363.0,4902685596.0,5828911499.0,6464634775.0,5886784747.0,6979309446.0,5683407341.0,6999764466.0,,,,,,,
.. Dự phòng giảm giá hàng tồn kho__1,-316400309.0,-247172042.0,-224121977.0,-220289655.0,-227256332.0,-306010850.0,-103095353.0,-109821222.0,-120399113.0,-103992892.0,-101841481.0,-40500000.0,,,,,,,,,
. Tài sản ngắn hạn khác__1,62037595.0,17783606.0,32917694.0,12754046.0,9730681.0,15458174.0,16924561.0,11881250.0,95759947.0,119613387.0,146252524.0,147333590.0,243651906.0,483495380.0,,,,,,,
.. Chi phí trả trước ngắn hạn__1,19432125.0,17783606.0,32917694.0,12754046.0,9730681.0,15458174.0,6924561.0,11881250.0,1203406.0,12792107.0,38759258.0,45553590.0,28193001.0,,,,,,,,
.. Thuế GTGT được khấu trừ__1,,,,,,,,,,,,,116708905.0,341140200.0,,,,,,,
.. Thuế và các khoản khác phải thu Nhà nước__1,42605470.0,,,,,,,,660261.0,,4138266.0,,,25403540.0,,,,,,,
. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,,
.. Tài sản ngắn hạn khác__1,,,,,,,10000000.0,,93896280.0,106821280.0,103355000.0,101780000.0,98750000.0,116951640.0,,,,,,,
II - TÀI SẢN DÀI HẠN__1,4321717078.0,4311415028.0,4550252064.0,4803845699.0,4433459499.0,4786363128.0,4990430862.0,4868136317.0,5219400896.0,5662685614.0,5930440492.0,8859020535.0,7337370984.0,7729022380.0,,,,,,,
. Các khoản phải thu dài hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn của khách hàng__1,,,,,,,,,,,,,,,,,,,,,
. Trả trước cho người bán dài hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Vốn kinh doanh ở đơn vị trực thuộc__1,,,,,,,,,,,,,,,,,,,,,
.. Phải thu nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay dài hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn khác__1,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng phải thu khó đòi__1,,,,,,,,,,,,,,,,,,,,,
. Tài sản cố định__1,3840958114.0,4165283158.0,4492447954.0,4752946082.0,4278358719.0,4528607925.0,4888740610.0,4842836279.0,5151327936.0,5604847730.0,5777958385.0,5243027150.0,7169716742.0,7550536588.0,,,,,,,
.. Tài sản cố định hữu hình__1,674629191.0,901557963.0,1131326487.0,1361095011.0,805778044.0,975297646.0,1158357437.0,1028924166.0,1253886883.0,1617402739.0,1653200462.0,4844068050.0,4978152656.0,5347970376.0,,,,,,,
