field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001],[2000],[1999]
. Doanh thu bán hàng và cung cấp dịch vụ__1,87066769364.0,107372731748.0,118550615440.0,92321151727.0,80433224808.0,106429231031.0,212246464401.0,159537196637.0,190113340986.0,249347647665.0,179809088916.0,185768526388.0,151877712944.0,98191538839.0,73016349368.0,52475914457.0,50178044387.0,,,,,,
. Các khoản giảm trừ doanh thu__1,,,,,,,,,,,,,,,,55993100.0,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,87066769364.0,107372731748.0,118550615440.0,92321151727.0,80433224808.0,106429231031.0,212246464401.0,159537196637.0,190113340986.0,249347647665.0,179809088916.0,185768526388.0,151877712944.0,98191538839.0,73016349368.0,52419921357.0,50178044387.0,,,,,,
. Giá vốn hàng bán__1,51295367076.0,66223847016.0,86345403690.0,67265485458.0,58623378805.0,65675814051.0,120477435311.0,107524067080.0,111528579370.0,135926475933.0,114394843561.0,98585684020.0,79053334468.0,57850562817.0,50563574773.0,37251877027.0,36059309464.0,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,35771402288.0,41148884732.0,32205211750.0,25055666269.0,21809846003.0,40753416980.0,91769029090.0,52013129557.0,78584761616.0,113421171732.0,65414245355.0,87182842368.0,72824378476.0,40340976022.0,22452774595.0,15168044330.0,14118734923.0,,,,,,
. Doanh thu hoạt động tài chính__1,44663905061.0,42158784200.0,33002678111.0,29909420594.0,20055571942.0,22493957813.0,13194384656.0,11420431042.0,8365459145.0,11432725037.0,8791400909.0,8288030137.0,4782415542.0,3108593646.0,628881373.0,1022633810.0,94686786.0,,,,,,
. Chi phí tài chính__1,2843063662.0,32168548.0,15327536.0,13196319.0,814155.0,24998800.0,,,197674.0,71081312.0,440000596.0,957474341.0,2009422997.0,3435782306.0,2460419860.0,2098922589.0,1107596713.0,,,,,,
- Trong đó: Chi phí lãi vay__1,,,,,,2062500.0,,,,,,75197520.0,691506605.0,1567658474.0,2239252195.0,1656898200.0,932054650.0,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,,,,,,,,,,,,,,,,,,,,,,,
