field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002]
. Doanh thu bán hàng và cung cấp dịch vụ__1,416354104341.0,573795286977.0,548261631368.0,527367068956.0,523992667743.0,641528073622.0,529291364236.0,427136589665.0,426392118009.0,372669564580.0,,288704035898.0,244235407759.0,195420686799.0,,,,,,
. Các khoản giảm trừ doanh thu__1,1712137235.0,1456499555.0,2865114456.0,3428663035.0,2384309148.0,2988389938.0,1697005786.0,603682676.0,3432934859.0,3443903324.0,,2754912700.0,2509374360.0,1834559937.0,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,414641967106.0,572338787422.0,545396516912.0,523938405921.0,521608358595.0,638539683684.0,527594358450.0,426532906989.0,422959183150.0,369225661256.0,,285949123198.0,241726033399.0,193586126862.0,,,,,,
. Giá vốn hàng bán__1,322981713037.0,429756171038.0,447379927749.0,444863655292.0,420192680670.0,487414258519.0,422710999617.0,354347250143.0,347221699645.0,309525811745.0,,235893438761.0,191627961938.0,161914063822.0,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,91660254069.0,142582616384.0,98016589163.0,79074750629.0,101415677925.0,151125425165.0,104883358833.0,72185656846.0,75737483505.0,59699849511.0,,50055684437.0,50098071461.0,31672063040.0,,,,,,
. Doanh thu hoạt động tài chính__1,6156553503.0,5046765038.0,3885453650.0,3565398180.0,3871059825.0,4322946688.0,3838670623.0,2606190516.0,578501156.0,756404749.0,,126872137.0,110053406.0,432463297.0,,,,,,
. Chi phí tài chính__1,23424500.0,1017230937.0,1901457652.0,1716643121.0,1932350395.0,2061123408.0,2531326712.0,1850626916.0,2018470873.0,4281980207.0,,5049942296.0,3985531570.0,8062641192.0,,,,,,
- Trong đó: Chi phí lãi vay__1,23424500.0,927248188.0,1240591168.0,1542785264.0,1720340413.0,1990456225.0,2508324737.0,1830208517.0,2002286656.0,4281491014.0,,4445320856.0,3447334186.0,6257329123.0,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,17988693626.0,25568118969.0,25090331972.0,22397584727.0,23588428311.0,25525272586.0,20351526776.0,15831774030.0,17065310466.0,16355526803.0,,13191007442.0,10810819931.0,9968751991.0,,,,,,
. Chi phí quản lý doanh nghiệp__1,17517041268.0,22847611757.0,23006885825.0,19689980043.0,20731338714.0,23070389375.0,18436197058.0,12977208739.0,17185135730.0,14338457795.0,,9890793678.0,11744309451.0,7228616545.0,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,62287648178.0,98196419759.0,51903367364.0,38835940918.0,59034620330.0,104791586484.0,67402978910.0,44132237677.0,40047067592.0,25480289455.0,,22050813158.0,23667463915.0,6844516609.0,,,,,,
. Thu nhập khác__1,249787.0,580494.0,95779.0,23320670.0,143099088.0,79335612.0,14407220.0,15358079.0,139698222.0,382123343.0,,157245542.0,297250928.0,137062293.0,,,,,,
. Chi phí khác__1,182352417.0,90814033.0,320549.0,87253643.0,1191234.0,94411642.0,1009943.0,1286.0,46145475.0,48957575.0,,891163856.0,45963470.0,587280.0,,,,,,
. Lợi nhuận khác__1,-182102630.0,-90233539.0,-224770.0,-63932973.0,141907854.0,-15076030.0,13397277.0,15356793.0,93552747.0,333165768.0,,-733918314.0,251287458.0,136475013.0,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,62105545548.0,98106186220.0,51903142594.0,38772007945.0,59176528184.0,104776510454.0,67416376187.0,44147594470.0,40140620339.0,25813455223.0,,21316894844.0,23918751373.0,6980991622.0,,,,,,
. Chi phí thuế TNDN hiện hành__1,12521909110.0,19707457016.0,10444228519.0,7907037122.0,11835305637.0,20973981565.0,14831602761.0,9709043080.0,10058704281.0,4566046406.0,,5329223711.0,3408342838.0,1549063445.0,,,,,,
