field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001]
..Phải thu khách hàng__1,149114809843.0,146917556077.0,125066134791.0,145134577008.0,,75586693690.0,72399963949.0,57269160849.0,,38461208379.0,39331274393.0,44091083520.0,34460247594.0,,,,,,,,
..Trả trước cho người bán__1,9767778673.0,7425771311.0,10296075852.0,10277327703.0,,8227483000.0,3030192136.0,2315706566.0,,306664036.0,6040979648.0,2000858347.0,5592768099.0,,,,,,,,
.. Phải thu nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Phải thu theo tiến độ Kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Các khoản phải thu khác__1,46939786136.0,45109459888.0,28091962550.0,12773348620.0,,7301000207.0,6464093441.0,4190579602.0,,767244821.0,1358522252.0,452266443.0,50932429.0,,,,,,,,
.. Dự phòng phải thu ngắn hạn khó đòi__1,-3725993486.0,-1977750734.0,-1758362514.0,-1703734283.0,,-3276015019.0,-2001236578.0,-2530232070.0,,,,,,,,,,,,,
. Tài sản thiếu chờ xử lý__1,,,,,,,,,,,,,,,,,,,,,
. Hàng tồn kho__1,258984087580.0,196323395289.0,174279707257.0,125895630826.0,,78601820798.0,55726936664.0,61965982520.0,,28947061475.0,29601468088.0,27520707773.0,23817015367.0,,,,,,,,
.. Hàng tồn kho__1,258984087580.0,196323395289.0,174279707257.0,125895630826.0,,78601820798.0,55726936664.0,61965982520.0,,28947061475.0,29601468088.0,27520707773.0,23817015367.0,,,,,,,,
.. Dự phòng giảm giá hàng tồn kho__1,,,,,,,,,,,,,,,,,,,,,
. Tài sản ngắn hạn khác__1,13425552005.0,8776837128.0,8216521068.0,5304041000.0,,,,12812975689.0,,4941909263.0,2143358208.0,1050364613.0,2060812592.0,,,,,,,,
.. Chi phí trả trước ngắn hạn__1,,787055750.0,,624742228.0,,,,31000000.0,,,216000000.0,20000000.0,290490000.0,,,,,,,,
.. Thuế GTGT được khấu trừ__1,13391000030.0,7989781378.0,8216521068.0,4679298772.0,,,,,,,,,30617982.0,,,,,,,,
.. Thuế và các khoản khác phải thu Nhà nước__1,34551975.0,,,,,,,,,,,,,,,,,,,,
. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,,
.. Tài sản ngắn hạn khác__1,,,,,,,,12781975689.0,,4941909263.0,1927358208.0,1030364613.0,1739704610.0,,,,,,,,
II - TÀI SẢN DÀI HẠN__1,172186639696.0,178748332725.0,170933513820.0,148941223351.0,,71747354192.0,64844399839.0,49274489856.0,,47851904161.0,42268368756.0,42038940005.0,43900880592.0,,,,,,,,
. Các khoản phải thu dài hạn__1,5104244830.0,11743184404.0,11246096167.0,12792987311.0,,5678190368.0,2734358736.0,,,,,,,,,,,,,,
.. Phải thu dài hạn của khách hàng__1,,,,,,,,,,,,,,,,,,,,,
. Trả trước cho người bán dài hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Vốn kinh doanh ở đơn vị trực thuộc__1,,,,,,,,,,,,,,,,,,,,,
.. Phải thu nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay dài hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn khác__1,5104244830.0,11743184404.0,11246096167.0,12792987311.0,,5678190368.0,2734358736.0,,,,,,,,,,,,,,
.. Dự phòng phải thu khó đòi__1,,,,,,,,,,,,,,,,,,,,,
