field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001],[2000],[1999],[1998]
. Doanh thu bán hàng và cung cấp dịch vụ__1,752052648666.0,454031292335.0,342438145950.0,259619376270.0,218485284819.0,187283631635.0,,,,,,,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,971311885.0,2016853094.0,647316145.0,1253087000.0,,,,,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,751081336781.0,452014439241.0,341790829805.0,258366289270.0,218485284819.0,187283631635.0,,,,,,,,,,,,,,,,,,
. Giá vốn hàng bán__1,666142893058.0,404388040652.0,300520330203.0,225821745823.0,192580762971.0,162262449547.0,,,,,,,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,84938443723.0,47626398589.0,41270499602.0,32544543447.0,25904521848.0,25021182088.0,,,,,,,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,1659912745.0,1753360097.0,1136849276.0,1723259.0,2898622.0,8512053.0,,,,,,,,,,,,,,,,,,
. Chi phí tài chính__1,31066243422.0,26148254600.0,15504405791.0,12562345567.0,8669549626.0,7719209136.0,,,,,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,30969822072.0,26055167886.0,15504405791.0,12562345567.0,8669549626.0,7719209136.0,,,,,,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,4200000.0,131150732.0,95072727.0,40034001.0,,18125500.0,,,,,,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,7146265061.0,7110755086.0,8754678236.0,7494764143.0,5325708743.0,4529419056.0,,,,,,,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,48381647985.0,15989598268.0,18053192124.0,12449122995.0,11912162101.0,12762940449.0,,,,,,,,,,,,,,,,,,
. Thu nhập khác__1,3141884060.0,3544495973.0,5025188.0,2222680286.0,43787159.0,,,,,,,,,,,,,,,,,,,
. Chi phí khác__1,1113638454.0,663977930.0,197224418.0,1703829587.0,141032349.0,2307535283.0,,,,,,,,,,,,,,,,,,
. Lợi nhuận khác__1,2028245606.0,2880518043.0,-192199230.0,518850699.0,-97245190.0,-2307535283.0,,,,,,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,50409893591.0,18870116311.0,17860992894.0,12967973694.0,11814916911.0,10455405166.0,,,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,7418518880.0,3827382181.0,3658402203.0,2890164263.0,2387577728.0,2483609309.0,,,,,,,,,,,,,,,,,,
