field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001],[2000]
. Doanh thu bán hàng và cung cấp dịch vụ__1,180098000798.0,165046098174.0,155830141574.0,151102542483.0,151665953740.0,107552104437.0,,,,,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,99178729.0,310134551.0,581798444.0,1416714988.0,1374374609.0,1159734556.0,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,179998822069.0,164735963623.0,155248343130.0,149685827495.0,150291579131.0,106392369881.0,,,,,,,,,,,,,,,,
. Giá vốn hàng bán__1,172106734386.0,161758700087.0,144976439804.0,135472234983.0,131690905770.0,99643493500.0,,,,,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,7892087683.0,2977263536.0,10271903326.0,14213592512.0,18600673361.0,6748876381.0,,,,,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,189737295.0,68061165.0,152425331.0,14552865.0,7240341890.0,2269930944.0,,,,,,,,,,,,,,,,
. Chi phí tài chính__1,12097060074.0,10938513098.0,5228969555.0,11214874878.0,11617935331.0,12026026633.0,,,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,12049991039.0,10433567947.0,5212355702.0,10937265619.0,11613404997.0,11936537336.0,,,,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,2949183639.0,3420956500.0,3947935423.0,4485403900.0,3732451389.0,3139929942.0,,,,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,11527665284.0,12356718813.0,11283819101.0,10726523172.0,11160214655.0,9864430418.0,,,,,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,-18492084019.0,-23670863710.0,-10036395422.0,-12198656573.0,-669586124.0,-16011579668.0,,,,,,,,,,,,,,,,
. Thu nhập khác__1,1337050270.0,1221531512.0,556905046.0,871470751.0,3131770335.0,9027071481.0,,,,,,,,,,,,,,,,
. Chi phí khác__1,773467972.0,1757976743.0,1908220829.0,1092159878.0,2447712798.0,569676710.0,,,,,,,,,,,,,,,,
. Lợi nhuận khác__1,563582298.0,-536445231.0,-1351315783.0,-220689127.0,684057537.0,8457394771.0,,,,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,-17928501721.0,-24207308941.0,-11387711205.0,-12419345700.0,14471413.0,-7554184897.0,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,,,,881971325.0,,,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,-17928501721.0,-24207308941.0,-11387711205.0,-13301317025.0,14471413.0,-7554184897.0,,,,,,,,,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,,,,,,,,,,,,,,,
