field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001]
. Doanh thu bán hàng và cung cấp dịch vụ__1,2892446834164.0,2153515519216.0,2369646837008.0,1803432879761.0,2183608948721.0,572062314040.0,,,,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,,,,,,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,2892446834164.0,2153515519216.0,2369646837008.0,1803432879761.0,2183608948721.0,572062314040.0,,,,,,,,,,,,,,,
. Giá vốn hàng bán__1,2441761393099.0,1950587214591.0,2375608470878.0,1627798096534.0,2031465812607.0,678869037293.0,,,,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,450685441065.0,202928304625.0,-5961633870.0,175634783227.0,152143136114.0,-106806723253.0,,,,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,7454331833.0,1040285179.0,441767281.0,539066199.0,2856822985.0,4057910767.0,,,,,,,,,,,,,,,
. Chi phí tài chính__1,63977545000.0,89206238640.0,98770960854.0,130091613744.0,132937311566.0,130175129228.0,,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,61135273799.0,74661012851.0,,108982707861.0,127889077767.0,104428308817.0,,,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,1640596051.0,21761240551.0,16976635960.0,6231617500.0,3688479068.0,,,,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,35313238557.0,21322743272.0,18845842280.0,20030316383.0,14153019029.0,,,,,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,357208393290.0,71678367341.0,-140113305683.0,19820301799.0,4221149436.0,-232923941714.0,,,,,,,,,,,,,,,
. Thu nhập khác__1,,289656979.0,7038433521.0,12726274.0,101822183.0,,,,,,,,,,,,,,,,
. Chi phí khác__1,1907788370.0,38128743.0,290536192.0,1007948057.0,2022621752.0,,,,,,,,,,,,,,,,
. Lợi nhuận khác__1,-1907788370.0,251528236.0,6747897329.0,-995221783.0,-1920799569.0,,,,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,355300604920.0,71929895577.0,-133365408354.0,18825080016.0,2300349867.0,-232923941714.0,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,14072590826.0,,,,,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,341228014094.0,71929895577.0,-133365408354.0,18825080016.0,2300349867.0,-232923941714.0,,,,,,,,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,341228014094.0,71929895577.0,-133365408354.0,18825080016.0,2300349867.0,-232923941714.0,,,,,,,,,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,7934.0,1673.0,-3101.0,438.0,53.0,-5771.0,,,,,,,,,,,,,,,
. Lãi suy giảm trên cổ phiếu__1,,,,,,,,,,,,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,,
I - TÀI SẢN NGẮN HẠN__1,500341655175.0,408754442748.0,620319096367.0,855027117324.0,451869198007.0,554563736370.0,,,,,,,,,,,,,,,
. Tiền và các khoản tương đương tiền__1,23387547860.0,4733789303.0,4274100986.0,3306416939.0,1523828427.0,25261216743.0,,,,,,,,,,,,,,,
..Tiền__1,23387547860.0,4733789303.0,4274100986.0,3306416939.0,1523828427.0,25261216743.0,,,,,,,,,,,,,,,
..Các khoản tương đương tiền__1,,,,,,,,,,,,,,,,,,,,,
. Các khoản đầu tư tài chính ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,
