field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2001],[2002],[2000],[1999],[1997]
. Doanh thu bán hàng và cung cấp dịch vụ__1,549682218206.0,704066913278.0,356115212065.0,163169250515.0,171413814100.0,226396324987.0,183673083938.0,220497897604.0,210980908560.0,220970418118.0,216378461803.0,181789282084.0,154879765573.0,97595319761.0,110693572196.0,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,3040266887.0,3332628120.0,258447425.0,234424851.0,204461160.0,303018964.0,556682361.0,766016998.0,1584263651.0,1394179063.0,695629968.0,992749995.0,1449797662.0,602558940.0,463449965.0,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,546641951319.0,700734285158.0,355856764640.0,162934825664.0,171209352940.0,226093306023.0,183116401577.0,219731880606.0,209396644909.0,219576239055.0,215682831835.0,180796532089.0,153429967911.0,96992760821.0,110230122231.0,,,,,,,,,
. Giá vốn hàng bán__1,447401846729.0,548516841128.0,306115035988.0,124688212425.0,124477993432.0,176873180439.0,135610745229.0,156099328646.0,141011925950.0,148222184165.0,165329518585.0,146320677152.0,119533194084.0,77707593428.0,92212703767.0,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,99240104590.0,152217444030.0,49741728652.0,38246613239.0,46731359508.0,49220125584.0,47505656348.0,63632551960.0,68384718959.0,71354054890.0,50353313250.0,34475854937.0,33896773827.0,19285167393.0,18017418464.0,,,,,,,,,
. Doanh thu hoạt động tài chính__1,1518454422.0,525993979.0,341834103.0,433603054.0,298551833.0,134742857.0,285514205.0,901520520.0,420773045.0,910070520.0,1030379564.0,1803814908.0,78915469.0,262690537.0,399785582.0,,,,,,,,,
. Chi phí tài chính__1,23776143684.0,14252956360.0,4700650995.0,2779226667.0,1836482684.0,1649303228.0,1525019603.0,3819406615.0,5727945468.0,10643498129.0,12366164439.0,4556470439.0,3726626621.0,3926106465.0,1737744051.0,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,23283793823.0,14195635180.0,4685837444.0,2779226667.0,1822766607.0,1567472983.0,1495601636.0,3565044360.0,5709906180.0,10585302052.0,10491528427.0,4524888159.0,1781544198.0,2807440387.0,1733730185.0,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,27013599349.0,50791672321.0,13280863867.0,13691102220.0,12052550329.0,11821795762.0,12724299099.0,14525834664.0,15028026940.0,15963129080.0,16566006277.0,9792505040.0,10083136729.0,5029184734.0,5509499870.0,,,,,,,,,
