field,[2021],[2020],[2019],[2018],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001],[2017]
. Doanh thu bán hàng và cung cấp dịch vụ__1,,171900220934.0,146167405775.0,140151446117.0,120041944269.0,,,,,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,,,,,,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,,171900220934.0,146167405775.0,140151446117.0,120041944269.0,,,,,,,,,,,,,,,,
. Giá vốn hàng bán__1,,140003911009.0,120496273420.0,114187890397.0,96540265087.0,,,,,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,,31896309925.0,25671132355.0,25963555720.0,23501679182.0,,,,,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,,40098080.0,90392338.0,287807612.0,740720115.0,,,,,,,,,,,,,,,,
. Chi phí tài chính__1,,187798345.0,4856947.0,,,,,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,,187798345.0,4856947.0,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,,,,,,,,,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,,28231129578.0,22419442739.0,22385279338.0,21292603203.0,,,,,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,,3517480082.0,3337225007.0,3866083994.0,2949796094.0,,,,,,,,,,,,,,,,
. Thu nhập khác__1,,887213390.0,751460108.0,,29939700.0,,,,,,,,,,,,,,,,
. Chi phí khác__1,,1516970791.0,391972301.0,13822998.0,281236511.0,,,,,,,,,,,,,,,,
. Lợi nhuận khác__1,,-629757401.0,359487807.0,-13822998.0,-251296811.0,,,,,,,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,,2887722681.0,3696712814.0,3852260996.0,2698499283.0,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,,432061655.0,817737023.0,773216799.0,575775982.0,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,,2455661026.0,2878975791.0,3079044197.0,2122723301.0,,,,,,,,,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,,,,,,,,,,,,,,
