field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002]
. Doanh thu bán hàng và cung cấp dịch vụ__1,,,,,,,,,,35303620879.0,64631650967.0,56533768851.0,13971539536.0,,,,,,,
. Các khoản giảm trừ doanh thu__1,,,,,,,,,,,,,5769720.0,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,,,,,,,,,,35303620879.0,64631650967.0,56533768851.0,13965769816.0,,,,,,,
. Giá vốn hàng bán__1,,,,,,,,,,24353915880.0,46456388407.0,46106133399.0,11127032767.0,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,,,,,,,,,,10949704999.0,18175262560.0,10427635452.0,2838737049.0,,,,,,,
. Doanh thu hoạt động tài chính__1,,,,,,,,,,11196293.0,24186423.0,11632270.0,2482242.0,,,,,,,
. Chi phí tài chính__1,,,,,,,,,,991518037.0,1094376954.0,383239983.0,117733061.0,,,,,,,
- Trong đó: Chi phí lãi vay__1,,,,,,,,,,822456079.0,1094376954.0,383108792.0,117733061.0,,,,,,,
. Chi phí bán hàng__1,,,,,,,,,,1958826369.0,2924465650.0,1474775842.0,862480902.0,,,,,,,
. Chi phí quản lý doanh nghiệp__1,,,,,,,,,,6713803543.0,6768564624.0,3310038320.0,1223816285.0,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,,,,,,,,,,1296753343.0,7412041755.0,5271213577.0,637189043.0,,,,,,,
. Thu nhập khác__1,,,,,,,,,,4812175457.0,1067364029.0,1398792451.0,1186930.0,,,,,,,
. Chi phí khác__1,,,,,,,,,,4206336624.0,1750568296.0,992059376.0,685923.0,,,,,,,
. Lợi nhuận khác__1,,,,,,,,,,605838833.0,-683204267.0,406733075.0,501007.0,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,,,,,,,,,,1902592176.0,6728837488.0,5677946652.0,637690050.0,,,,,,,
. Chi phí thuế TNDN hiện hành__1,,,,,,,,,,483478900.0,1914177170.0,1478072324.0,111595759.0,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,,,,,,,,,,1419113276.0,4814660318.0,4199874328.0,526094291.0,,,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,,,,,,,,,,1419113276.0,4814660318.0,4199874328.0,526094291.0,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,,,,,,,,,,258.0,875.0,916.0,548.0,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,
. Lãi suy giảm trên cổ phiếu__1,,,,,,,,,,,,,,,,,,,,
I - TÀI SẢN NGẮN HẠN__1,,,,,,,,,,43491948273.0,46926262770.0,57378518119.0,15343018633.0,,,,,,,
. Tiền và các khoản tương đương tiền__1,,,,,,,,,,2767143363.0,4690379737.0,25667667578.0,1207909016.0,,,,,,,
..Tiền__1,,,,,,,,,,2767143363.0,4690379737.0,25667667578.0,1207909016.0,,,,,,,
..Các khoản tương đương tiền__1,,,,,,,,,,,,,,,,,,,,
. Các khoản đầu tư tài chính ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
.. Đầu tư ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá đầu tư ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
. Các khoản phải thu ngắn hạn__1,,,,,,,,,,31294785382.0,30368191837.0,13825940817.0,2264339533.0,,,,,,,
..Phải thu khách hàng__1,,,,,,,,,,10491100216.0,21603157156.0,13701940817.0,2264339533.0,,,,,,,
..Trả trước cho người bán__1,,,,,,,,,,721105237.0,8438722983.0,124000000.0,,,,,,,,
.. Phải thu nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
