field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002]
. Doanh thu bán hàng và cung cấp dịch vụ__1,564299991169.0,551172717878.0,778438545956.0,677473179332.0,664494631494.0,,,,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,,,,,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,564299991169.0,551172717878.0,778438545956.0,677473179332.0,664494631494.0,,,,,,,,,,,,,,,
. Giá vốn hàng bán__1,482775945572.0,503742730843.0,668112428407.0,581153765049.0,518141129618.0,,,,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,81524045597.0,47429987035.0,110326117549.0,96319414283.0,146353501876.0,,,,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,7117943139.0,5794707779.0,5538500236.0,5213150157.0,6383995084.0,,,,,,,,,,,,,,,
. Chi phí tài chính__1,1017529654.0,777342670.0,2900366351.0,3795015285.0,4190379176.0,,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,1005810285.0,726012816.0,2845202741.0,3739646399.0,4187212706.0,,,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,3265564923.0,5517291367.0,8009291858.0,12569998204.0,14037320008.0,,,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,17756351979.0,17804988875.0,23448516092.0,30007701206.0,23774300934.0,,,,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,66602542180.0,29125071902.0,81506443484.0,55159849745.0,110735496842.0,,,,,,,,,,,,,,,
. Thu nhập khác__1,3870964707.0,757477418.0,3745945002.0,228707279.0,844243489.0,,,,,,,,,,,,,,,
. Chi phí khác__1,1593451474.0,93901937.0,2108825145.0,838583338.0,453768040.0,,,,,,,,,,,,,,,
. Lợi nhuận khác__1,2277513233.0,663575481.0,1637119857.0,-609876059.0,390475449.0,,,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,68880055413.0,29788647383.0,83143563341.0,54549973686.0,111125972291.0,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,14310454142.0,7364836254.0,18625044732.0,11905603029.0,22600942615.0,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,176055382.0,-795678046.0,-1565462033.0,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,54393545889.0,23219489175.0,66083980642.0,42644370657.0,88525029676.0,,,,,,,,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,54393545889.0,23219489175.0,66083980642.0,42644370657.0,88525029676.0,,,,,,,,,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,2808.0,1001.0,3215.0,1968.0,,,,,,,,,,,,,,,,
. Lãi suy giảm trên cổ phiếu__1,,,,,,,,,,,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,
I - TÀI SẢN NGẮN HẠN__1,281136926576.0,300994570436.0,206173764993.0,251621320474.0,295981109739.0,,,,,,,,,,,,,,,
. Tiền và các khoản tương đương tiền__1,194117641058.0,216909989474.0,63950355090.0,56286361990.0,176594314345.0,,,,,,,,,,,,,,,
..Tiền__1,6617641058.0,3109989474.0,1950355090.0,56286361990.0,22194314345.0,,,,,,,,,,,,,,,
..Các khoản tương đương tiền__1,187500000000.0,213800000000.0,62000000000.0,,154400000000.0,,,,,,,,,,,,,,,
. Các khoản đầu tư tài chính ngắn hạn__1,24500000000.0,,38500000000.0,72000000000.0,,,,,,,,,,,,,,,,
.. Chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,
.. Đầu tư nắm giữ đến ngày đáo hạn__1,24500000000.0,,38500000000.0,72000000000.0,,,,,,,,,,,,,,,,
. Các khoản phải thu ngắn hạn__1,15862227714.0,23773677273.0,40608693359.0,39516977858.0,42478407051.0,,,,,,,,,,,,,,,
..Phải thu khách hàng__1,14294197613.0,20632774536.0,38583956600.0,34706474447.0,32842499862.0,,,,,,,,,,,,,,,
..Trả trước cho người bán__1,965226046.0,2905245000.0,839667627.0,3371200508.0,8324454365.0,,,,,,,,,,,,,,,
.. Phải thu nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
.. Phải thu theo tiến độ Kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
.. Các khoản phải thu khác__1,602804055.0,235657737.0,1185069132.0,1439302903.0,1311452824.0,,,,,,,,,,,,,,,
.. Dự phòng phải thu ngắn hạn khó đòi__1,,,,,,,,,,,,,,,,,,,,
. Tài sản thiếu chờ xử lý__1,,,,,,,,,,,,,,,,,,,,
. Hàng tồn kho__1,46373722274.0,59125657600.0,62404675764.0,82235900075.0,75539781898.0,,,,,,,,,,,,,,,
.. Hàng tồn kho__1,57079879755.0,70728341744.0,69792710232.0,,75539781898.0,,,,,,,,,,,,,,,
.. Dự phòng giảm giá hàng tồn kho__1,-10706157481.0,-11602684144.0,-7388034468.0,,,,,,,,,,,,,,,,,
. Tài sản ngắn hạn khác__1,283335530.0,1185246089.0,710040780.0,1582080551.0,1368606445.0,,,,,,,,,,,,,,,
.. Chi phí trả trước ngắn hạn__1,283335530.0,862488342.0,410245240.0,1582080551.0,1368606445.0,,,,,,,,,,,,,,,
.. Thuế GTGT được khấu trừ__1,,,,,,,,,,,,,,,,,,,,
.. Thuế và các khoản khác phải thu Nhà nước__1,,322757747.0,299795540.0,,,,,,,,,,,,,,,,,
. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,
.. Tài sản ngắn hạn khác__1,,,,,,,,,,,,,,,,,,,,
II - TÀI SẢN DÀI HẠN__1,113479965493.0,126312169953.0,189195794131.0,254102351693.0,276682677882.0,,,,,,,,,,,,,,,
. Các khoản phải thu dài hạn__1,10000000.0,10000000.0,10000000.0,,1436390000.0,,,,,,,,,,,,,,,
.. Phải thu dài hạn của khách hàng__1,,,,,,,,,,,,,,,,,,,,
. Trả trước cho người bán dài hạn__1,,,,,,,,,,,,,,,,,,,,
.. Vốn kinh doanh ở đơn vị trực thuộc__1,,,,,,,,,,,,,,,,,,,,
.. Phải thu nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay dài hạn__1,,,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn khác__1,10000000.0,10000000.0,10000000.0,,1436390000.0,,,,,,,,,,,,,,,
.. Dự phòng phải thu khó đòi__1,,,,,,,,,,,,,,,,,,,,
. Tài sản cố định__1,99168289170.0,114848970054.0,178014633181.0,224893554409.0,262285319132.0,,,,,,,,,,,,,,,
.. Tài sản cố định hữu hình__1,98680138611.0,114006838959.0,178014633181.0,224893554409.0,262213096905.0,,,,,,,,,,,,,,,
- Nguyên giá__1,704592646793.0,696016501043.0,689621352499.0,667022012488.0,645859710215.0,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__1,-605912508182.0,-582009662084.0,-511606719318.0,-442128458079.0,-383646613310.0,,,,,,,,,,,,,,,
.. Tài sản cố định thuê tài chính__1,,,,,,,,,,,,,,,,,,,,
- Nguyên giá__2,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__2,,,,,,,,,,,,,,,,,,,,
.. Tài sản cố định vô hình__1,488150559.0,842131095.0,,,72222227.0,,,,,,,,,,,,,,,
- Nguyên giá__3,1411941589.0,1411941589.0,350000000.0,350000000.0,350000000.0,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__3,-923791030.0,-569810494.0,-350000000.0,-350000000.0,-277777773.0,,,,,,,,,,,,,,,
. Bất động sản đầu tư__1,,,,,,,,,,,,,,,,,,,,
- Nguyên giá__4,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__4,,,,,,,,,,,,,,,,,,,,
. Tài sản dở dang dài hạn__1,,,3455630456.0,18697143987.0,,,,,,,,,,,,,,,,
". Chi phí sản xuất, kinh doanh dở dang dài hạn__1",,,,,,,,,,,,,,,,,,,,
. Chi phí xây dựng cơ bản dở dang__1,,,3455630456.0,18697143987.0,,,,,,,,,,,,,,,,
. Đầu tư tài chính dài hạn__1,7300000000.0,,,,,,,,,,,,,,,,,,,
. Đầu tư vào công ty con__1,,,,,,,,,,,,,,,,,,,,
". Đầu tư vào công ty liên kết, liên doanh__1",,,,,,,,,,,,,,,,,,,,
. Đầu tư góp vốn vào đơn vị khác__1,,,,,,,,,,,,,,,,,,,,
. Dự phòng giảm giá đầu tư dài hạn__1,,,,,,,,,,,,,,,,,,,,
. Đầu tư nắm giữ đến ngày đáo hạn__1,7300000000.0,,,,,,,,,,,,,,,,,,,
. Tài sản dài hạn khác__1,7001676323.0,11453199899.0,7715530494.0,10511653297.0,12960968750.0,,,,,,,,,,,,,,,
. Chi phí trả trước dài hạn__1,4816591626.0,9092059820.0,6150068461.0,10511653297.0,12960968750.0,,,,,,,,,,,,,,,
. Tài sản thuế thu nhập hoãn lại__1,2185084697.0,2361140079.0,1565462033.0,,,,,,,,,,,,,,,,,
". Thiết bị, vật tư, phụ tùng thay thế dài hạn__1",,,,,,,,,,,,,,,,,,,,
. Tài sản dài hạn khác__2,,,,,,,,,,,,,,,,,,,,
". Ký quỹ, ký cược dài hạn__1",,,,,,,,,,,,,,,,,,,,
. Lợi thế thương mại__1,,,,,,,,,,,,,,,,,,,,
Tổng cộng tài sản__1,394616892069.0,427306740389.0,395369559124.0,505723672167.0,572663787621.0,,,,,,,,,,,,,,,
I - NỢ PHẢI TRẢ__1,98892154120.0,155999427635.0,125122930801.0,221468267661.0,264093259117.0,,,,,,,,,,,,,,,
. Nợ ngắn hạn__1,98672888123.0,155796411385.0,124683655106.0,206410969919.0,264093259117.0,,,,,,,,,,,,,,,
.. Phải trả người bán ngắn hạn__1,9843802805.0,9072844764.0,12302647030.0,23206084772.0,14445439549.0,,,,,,,,,,,,,,,
.. Người mua trả tiền trước ngắn hạn__1,2108744653.0,1010317797.0,1405238394.0,2104978832.0,845944408.0,,,,,,,,,,,,,,,
..Thuế và các khoản phải nộp Nhà nước__1,68838215439.0,71490422269.0,77163977639.0,82935868188.0,72980745424.0,,,,,,,,,,,,,,,
.. Phải trả người lao động__1,6555378025.0,4583539586.0,5962875384.0,5831905681.0,11530020997.0,,,,,,,,,,,,,,,
.. Chi phí phải trả ngắn hạn__1,2058502830.0,1421187772.0,1247001873.0,1024256041.0,2205862133.0,,,,,,,,,,,,,,,
.. Phải trả nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
.. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,
.. Doanh thu chưa thực hiện ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
.. Phải trả ngắn hạn khác__1,5416428430.0,7211872555.0,8761809934.0,11892346468.0,41898180224.0,,,,,,,,,,,,,,,
.. Vay và nợ thuê tài chính ngắn hạn__1,,55805010701.0,10300000000.0,71750614429.0,119643747508.0,,,,,,,,,,,,,,,
.. Dự phòng phải trả ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
". Quỹ khen thưởng, phúc lợi__1",3851815941.0,5201215941.0,7540104852.0,7664915508.0,543318874.0,,,,,,,,,,,,,,,
.. Quỹ bình ổn giá__1,,,,,,,,,,,,,,,,,,,,
.. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,
. Nợ dài hạn__1,219265997.0,203016250.0,439275695.0,15057297742.0,,,,,,,,,,,,,,,,
.. Phải trả dài hạn người bán__1,,,,439275695.0,,,,,,,,,,,,,,,,
. Người mua trả tiền trước dài hạn__1,,,,,,,,,,,,,,,,,,,,
. Chi phí phải trả dài hạn__1,,,,,,,,,,,,,,,,,,,,
. Phải trả nội bộ về vốn kinh doanh__1,,,,,,,,,,,,,,,,,,,,
. Phải trả dài hạn nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,,
. Doanh thu chưa thực hiện dài hạn__1,,,,,,,,,,,,,,,,,,,,
.. Phải trả dài hạn khác__1,,,,,,,,,,,,,,,,,,,,
. Vay và nợ thuê tài chính dài hạn__1,,,,14618022047.0,,,,,,,,,,,,,,,,
. Trái phiếu chuyển đổi__1,,,,,,,,,,,,,,,,,,,,
. Thuế thu nhập hoãn lại phải trả__1,,,,,,,,,,,,,,,,,,,,
.. Dự phòng phải trả dài hạn__1,219265997.0,203016250.0,439275695.0,,,,,,,,,,,,,,,,,
.. Quỹ phát triển khoa học và công nghệ__1,,,,,,,,,,,,,,,,,,,,
II - VỐN CHỦ SỞ HỮU__1,295724737949.0,271307312754.0,270246628323.0,284255404506.0,308570528504.0,,,,,,,,,,,,,,,
I. Vốn chủ sở hữu__1,295724737949.0,271307312754.0,270246628323.0,284255404506.0,308570528504.0,,,,,,,,,,,,,,,
. Vốn góp của chủ sở hữu__1,180000000000.0,180000000000.0,180000000000.0,180000000000.0,180000000000.0,,,,,,,,,,,,,,,
- Cổ phiếu phổ thông có quyền biểu quyết__1,180000000000.0,180000000000.0,180000000000.0,180000000000.0,180000000000.0,,,,,,,,,,,,,,,
- Cổ phiếu ưu đãi__1,,,,,,,,,,,,,,,,,,,,
. Cổ phiếu ưu đãi__1,,,,,,,,,,,,,,,,,,,,
. Thặng dư vốn cổ phần__1,,,,,,,,,,,,,,,,,,,,
. Quyền chọn chuyển đổi trái phiếu__1,,,,,,,,,,,,,,,,,,,,
. Vốn khác của chủ sở hữu__1,6157486522.0,6157486522.0,6157486522.0,6157486522.0,6157486522.0,,,,,,,,,,,,,,,
. Cổ phiếu quỹ (*)__1,,,,,,,,,,,,,,,,,,,,
. Chênh lệch đánh giá lại tài sản__1,,,,,,,,,,,,,,,,,,,,
. Chênh lệch tỷ giá hối đoái__1,,,,,,,,,,,,,,,,,,,,
. Quỹ đầu tư phát triển__1,33968770588.0,33968770588.0,33968770588.0,33968770588.0,33968770588.0,,,,,,,,,,,,,,,
. Quỹ hỗ trợ sắp xếp doanh nghiệp__1,,,,,,,,,,,,,,,,,,,,
. Quỹ khác thuộc vốn chủ sở hữu__1,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế chưa phân phối__1,75598480839.0,51181055644.0,50120371213.0,64129147396.0,88444271394.0,,,,,,,,,,,,,,,
- LNST chưa phân phối lũy kế đến cuối kỳ trước__1,50542545889.0,17863138954.0,39538820986.0,17420882044.0,29925029676.0,,,,,,,,,,,,,,,
- LNST chưa phân phối kỳ này__1,25055934950.0,33317916690.0,10581550227.0,46708265352.0,58519241718.0,,,,,,,,,,,,,,,
. Nguồn vốn đầu tư XDCB__1,,,,,,,,,,,,,,,,,,,,
. Lợi ích cổ đông không kiểm soát__1,,,,,,,,,,,,,,,,,,,,
. Phụ trội hợp nhất công ty con__1,,,,,,,,,,,,,,,,,,,,
. Nguồn kinh phí và các quỹ khác__1,,,,,,,,,,,,,,,,,,,,
.. Nguồn kinh phí__1,,,,,,,,,,,,,,,,,,,,
.. Nguồn kinh phí đã hình thành TSCĐ__1,,,,,,,,,,,,,,,,,,,,
III - LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ__1,,,,,,,,,,,,,,,,,,,,
Tổng cộng nguồn vốn__1,394616892069.0,427306740389.0,395369559124.0,505723672167.0,572663787621.0,,,,,,,,,,,,,,,
.. Đầu tư ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá đầu tư ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
.. Giao dịch mua bán lại trái phiếu chính phủ__1,,,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn nội bộ__1,,,,,,,,,,,,,,,,,,,,
.. Chi phí xây dựng cơ bản dở dang__1,,,,,,,,,,,,,,,,,,,,
. Các khoản đầu tư tài chính dài hạn__1,,,,,,,,,,,,,,,,,,,,
. Đầu tư dài hạn khác__1,,,,,,,,,,,,,,,,,,,,
.. Vay và nợ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
.. Phải trả người bán__1,,,,,,,,,,,,,,,,,,,,
.. Người mua trả tiền trước__1,,,,,,,,,,,,,,,,,,,,
.. Chi phí phải trả__1,,,,,,,,,,,,,,,,,,,,
.. Phải trả nội bộ__1,,,,,,,,,,,,,,,,,,,,
