field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001]
. Doanh thu bán hàng và cung cấp dịch vụ__1,60708694044.0,70451858611.0,92943131340.0,17869159414.0,,,,,,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,,,,,,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,60708694044.0,70451858611.0,92943131340.0,17869159414.0,,,,,,,,,,,,,,,,,
. Giá vốn hàng bán__1,52769831756.0,60750038871.0,82398794665.0,13245686947.0,,,,,,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,7938862288.0,9701819740.0,10544336675.0,4623472467.0,,,,,,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,5359730811.0,3306834616.0,3488552374.0,80669506.0,,,,,,,,,,,,,,,,,
. Chi phí tài chính__1,4072756746.0,3943197272.0,3206021140.0,81441524.0,,,,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,3975843888.0,3862469919.0,3133990314.0,66429474.0,,,,,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,3980962116.0,3353643917.0,2654614566.0,771929564.0,,,,,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,4786771436.0,4811939598.0,6252186542.0,1797568412.0,,,,,,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,458102801.0,899873569.0,1920066801.0,2053202473.0,,,,,,,,,,,,,,,,,
. Thu nhập khác__1,2980001.0,30624527.0,4586977.0,29512365.0,,,,,,,,,,,,,,,,,
. Chi phí khác__1,170722553.0,293891046.0,67349655.0,860937925.0,,,,,,,,,,,,,,,,,
. Lợi nhuận khác__1,-167742552.0,-263266519.0,-62762678.0,-831425560.0,,,,,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,290360249.0,636607050.0,1857304123.0,1221776913.0,,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,123477823.0,5670835.0,55774319.0,,,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,166882426.0,630936215.0,1801529804.0,1221776913.0,,,,,,,,,,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,166882426.0,630936215.0,1801529804.0,1221776913.0,,,,,,,,,,,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,19.0,71.0,202.0,137.0,,,,,,,,,,,,,,,,,
. Lãi suy giảm trên cổ phiếu__1,19.0,71.0,202.0,137.0,,,,,,,,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,,
I - TÀI SẢN NGẮN HẠN__1,96796109940.0,88217517592.0,78199362741.0,79290907352.0,,,,,,,,,,,,,,,,,
. Tiền và các khoản tương đương tiền__1,1211073516.0,4186997426.0,2078063176.0,1473810427.0,,,,,,,,,,,,,,,,,
..Tiền__1,1211073516.0,4186997426.0,2078063176.0,1473810427.0,,,,,,,,,,,,,,,,,
..Các khoản tương đương tiền__1,,,,,,,,,,,,,,,,,,,,,
. Các khoản đầu tư tài chính ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,
.. Đầu tư nắm giữ đến ngày đáo hạn__1,,,,,,,,,,,,,,,,,,,,,
. Các khoản phải thu ngắn hạn__1,63760130492.0,64549092494.0,63334873249.0,35145680063.0,,,,,,,,,,,,,,,,,
..Phải thu khách hàng__1,17551200035.0,21399697852.0,24570709928.0,1974870839.0,,,,,,,,,,,,,,,,,
..Trả trước cho người bán__1,20206000000.0,21210328250.0,23310994200.0,31595000000.0,,,,,,,,,,,,,,,,,
.. Phải thu nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Phải thu theo tiến độ Kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay ngắn hạn__1,16576900000.0,16900000000.0,,,,,,,,,,,,,,,,,,,
.. Các khoản phải thu khác__1,9438585962.0,5051621897.0,15453169121.0,1575809224.0,,,,,,,,,,,,,,,,,
.. Dự phòng phải thu ngắn hạn khó đòi__1,-12555505.0,-12555505.0,,,,,,,,,,,,,,,,,,,
. Tài sản thiếu chờ xử lý__1,,,,,,,,,,,,,,,,,,,,,
. Hàng tồn kho__1,31571288081.0,18934836933.0,11574145581.0,41618709426.0,,,,,,,,,,,,,,,,,
.. Hàng tồn kho__1,31571288081.0,18951649333.0,11574145581.0,41618709426.0,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá hàng tồn kho__1,,-16812400.0,,,,,,,,,,,,,,,,,,,
. Tài sản ngắn hạn khác__1,253617851.0,546590739.0,1212280735.0,1052707436.0,,,,,,,,,,,,,,,,,
.. Chi phí trả trước ngắn hạn__1,82038132.0,55329162.0,148980449.0,124601500.0,,,,,,,,,,,,,,,,,
.. Thuế GTGT được khấu trừ__1,,201013201.0,481448803.0,160714261.0,,,,,,,,,,,,,,,,,
.. Thuế và các khoản khác phải thu Nhà nước__1,171579719.0,290248376.0,581851483.0,767391675.0,,,,,,,,,,,,,,,,,
. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,,
.. Tài sản ngắn hạn khác__1,,,,,,,,,,,,,,,,,,,,,
II - TÀI SẢN DÀI HẠN__1,66594643062.0,63640924492.0,73036249552.0,73317252699.0,,,,,,,,,,,,,,,,,
. Các khoản phải thu dài hạn__1,12516420347.0,25933100.0,33423900.0,41146500.0,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn của khách hàng__1,12500000000.0,,,,,,,,,,,,,,,,,,,,
. Trả trước cho người bán dài hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Vốn kinh doanh ở đơn vị trực thuộc__1,,,,,,,,,,,,,,,,,,,,,
.. Phải thu nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay dài hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn khác__1,16420347.0,25933100.0,33423900.0,41146500.0,,,,,,,,,,,,,,,,,
.. Dự phòng phải thu khó đòi__1,,,,,,,,,,,,,,,,,,,,,
. Tài sản cố định__1,51144317327.0,57861775669.0,64436679932.0,68988553323.0,,,,,,,,,,,,,,,,,
.. Tài sản cố định hữu hình__1,51129612327.0,57825013169.0,64436679932.0,68988553323.0,,,,,,,,,,,,,,,,,
