field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001],[2000]
. Doanh thu bán hàng và cung cấp dịch vụ__1,60397607191.0,53516302560.0,64013498693.0,59443850750.0,70402619481.0,73729762521.0,63153700504.0,64868104350.0,63098811172.0,63226085951.0,55105066781.0,54571458969.0,55908375861.0,50602712625.0,45322252471.0,35311393685.0,25469807985.0,,,,,
. Các khoản giảm trừ doanh thu__1,2282539063.0,1285035668.0,1023889675.0,1296496029.0,866683922.0,1739654354.0,1054564937.0,187807890.0,109867784.0,301763228.0,150836233.0,464647837.0,91108058.0,210294397.0,373117623.0,139343687.0,43915984.0,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,58115068128.0,52231266892.0,62989609018.0,58147354721.0,69535935559.0,71990108167.0,62099135567.0,64680296460.0,62988943388.0,62924322723.0,54954230548.0,54106811132.0,55817267803.0,50392418228.0,44949134848.0,35172049998.0,25425892001.0,,,,,
. Giá vốn hàng bán__1,42231985370.0,36185888537.0,45530936168.0,41866800797.0,53367445077.0,55243353528.0,45992954410.0,48394730752.0,46921564180.0,48097329579.0,41113909245.0,41878618563.0,45060400566.0,40175249558.0,36177854416.0,28673906071.0,20031507789.0,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,15883082758.0,16045378355.0,17458672850.0,16280553924.0,16168490482.0,16746754639.0,16106181157.0,16285565708.0,16067379208.0,14826993144.0,13840321303.0,12228192569.0,10756867237.0,10217168670.0,8771280432.0,6498143927.0,5394384212.0,,,,,
. Doanh thu hoạt động tài chính__1,7492389356.0,2222247592.0,1024730621.0,615336701.0,557195606.0,462382278.0,176790449.0,232775840.0,68088401.0,177535205.0,173536880.0,752913879.0,109303242.0,254393018.0,34099959.0,13270630.0,15389300.0,,,,,
. Chi phí tài chính__1,4632038382.0,362276446.0,609730605.0,440174169.0,667801762.0,579376073.0,150258358.0,225791660.0,145786614.0,527134731.0,946260932.0,436083766.0,139218465.0,543982137.0,429838323.0,140739434.0,62275662.0,,,,,
- Trong đó: Chi phí lãi vay__1,22312456.0,68389253.0,,,,26930556.0,100005380.0,87783333.0,253965279.0,549615279.0,500747217.0,369997224.0,199050697.0,353547489.0,286800000.0,305000.0,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,5543147568.0,4690002778.0,4653862860.0,4058669591.0,3918402219.0,4104696662.0,3678761681.0,4585849517.0,4270502965.0,3803199711.0,3366928684.0,3018933401.0,2617936166.0,2353118847.0,1964464035.0,1583873065.0,1164820095.0,,,,,
. Chi phí quản lý doanh nghiệp__1,7457010574.0,7530277449.0,7475376958.0,6657074177.0,6346806291.0,6527426381.0,6673150335.0,5871543698.0,5993908450.0,5057482590.0,4893955683.0,4344364942.0,3839261267.0,3422366806.0,2926986296.0,2105932976.0,1991439975.0,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,5743275590.0,5685069274.0,5744433048.0,5739972688.0,5792675816.0,5997637801.0,5780801232.0,5835156673.0,5725269580.0,5616711317.0,4806712884.0,5181724339.0,4269754581.0,4152093898.0,3484091737.0,2680869082.0,2191237780.0,,,,,
. Thu nhập khác__1,,10210909.0,26238591.0,10294546.0,32957142.0,8745909.0,3227273.0,136364.0,,132397949.0,532756654.0,124354922.0,112090909.0,6603087.0,32729860.0,10894000.0,6211064.0,,,,,
. Chi phí khác__1,,17198465.0,45325968.0,,,25023257.0,,,,49877564.0,37553068.0,7959340.0,909091.0,50154710.0,1780000.0,11442556.0,,,,,,
. Lợi nhuận khác__1,,-6987556.0,-19087377.0,10294546.0,32957142.0,-16277348.0,3227273.0,136364.0,,82520385.0,495203586.0,116395582.0,111181818.0,-43551623.0,30949860.0,-548556.0,6211064.0,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,5743275590.0,5678081718.0,5725345671.0,5750267234.0,5825632958.0,5981360453.0,5784028505.0,5835293037.0,5725269580.0,5699231702.0,5301916470.0,5298119921.0,4380936399.0,4108542275.0,3515041597.0,2680320526.0,2197448844.0,,,,,
. Chi phí thuế TNDN hiện hành__1,787422634.0,836791471.0,1133984312.0,1137898727.0,1160264152.0,1243962490.0,1270462271.0,1267361840.0,610890334.0,493053456.0,918552892.0,1280766155.0,779119670.0,604461358.0,1001705208.0,750489747.0,615285676.0,,,,,
. Chi phí thuế TNDN hoãn lại__1,,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,4955852956.0,4841290247.0,4591361359.0,4612368507.0,4665368806.0,4737397963.0,4513566234.0,4567931197.0,5114379246.0,5206178246.0,4383363578.0,4017353766.0,3601816729.0,3504080917.0,2513336389.0,1929830779.0,1582163168.0,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,4955852956.0,4841290247.0,4591361359.0,4612368507.0,4665368806.0,4737397963.0,4513566234.0,4567931197.0,5114379246.0,5206178246.0,4383363578.0,4017353766.0,3601816729.0,3504080917.0,2513336389.0,1929830779.0,1582163168.0,,,,,
. Lãi cơ bản trên cổ phiếu__1,2646.0,2649.0,2512.0,2524.0,2553.0,2592.0,2470.0,3048.0,3413.0,3474.0,2925.0,2681.0,2403.0,3072.0,4676.0,3859.0,3164.0,,,,,
. Lãi suy giảm trên cổ phiếu__1,2646.0,2649.0,2512.0,2524.0,2553.0,2592.0,2470.0,,,,,,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,,,
I - TÀI SẢN NGẮN HẠN__1,34276356238.0,37251551721.0,36116408610.0,29963747039.0,29655133571.0,31018549400.0,29753447881.0,30375872128.0,30111052283.0,31332433375.0,36923169171.0,43630191462.0,37061099941.0,28648201907.0,24489344184.0,12874108548.0,11507595702.0,,,,,
. Tiền và các khoản tương đương tiền__1,7335545821.0,15167511421.0,3442080731.0,2214497992.0,4262152642.0,8927158551.0,6789413907.0,3146636584.0,5728399473.0,2344442931.0,1681561655.0,2397502344.0,989292360.0,749454206.0,1558608724.0,21416651.0,644284560.0,,,,,
..Tiền__1,7335545821.0,15167511421.0,3442080731.0,2214497992.0,2262152642.0,2927158551.0,2789413907.0,3146636584.0,3728399473.0,2344442931.0,1681561655.0,2397502344.0,989292360.0,749454206.0,1558608724.0,21416651.0,644284560.0,,,,,
..Các khoản tương đương tiền__1,,,,,2000000000.0,6000000000.0,4000000000.0,,2000000000.0,,,,,,,,,,,,,
. Các khoản đầu tư tài chính ngắn hạn__1,4858813178.0,8226907570.0,12000000000.0,8000000000.0,2000000000.0,,,,,,,,,,,,,,,,,
.. Chứng khoán kinh doanh__1,4858813178.0,4226907570.0,,,,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,,
.. Đầu tư nắm giữ đến ngày đáo hạn__1,,4000000000.0,12000000000.0,8000000000.0,2000000000.0,,,,,,,,,,,,,,,,,
. Các khoản phải thu ngắn hạn__1,6936098705.0,7451943844.0,8183801808.0,10503116821.0,11379108382.0,10972656611.0,9957148625.0,9891130383.0,10341954171.0,12562417521.0,11979515213.0,17248291947.0,14085161596.0,11617296483.0,13215734056.0,5581423448.0,2290873641.0,,,,,
..Phải thu khách hàng__1,7309365105.0,8111236844.0,8138491622.0,10392975690.0,11445144782.0,11113817304.0,9404144232.0,10292988582.0,10641772565.0,12965538858.0,12357749240.0,17603884701.0,14445305181.0,11802922068.0,13113847661.0,5697394647.0,2369041064.0,,,,,
..Trả trước cho người bán__1,167108545.0,3000000.0,26532764.0,150000000.0,99565104.0,43296235.0,746512120.0,89093124.0,22000000.0,19250000.0,15000000.0,9623200.0,10523200.0,83454140.0,406000000.0,,15517282.0,,,,,
.. Phải thu nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,
.. Phải thu theo tiến độ Kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,
