field,[2021],[2020],[2018],[2017],[2015],[2014],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001],[2000],[1999],[2019],[2016],[2013]
. Doanh thu bán hàng và cung cấp dịch vụ__1,299410632252.0,331501699062.0,449803231590.0,540579232414.0,537578101858.0,,374131081852.0,,,,,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,,71400000.0,240347328.0,,28559990.0,,1064202183.0,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,299410632252.0,331430299062.0,449562884262.0,540579232414.0,537549541868.0,,373066879669.0,,,,,,,,,,,,,,,,
. Giá vốn hàng bán__1,206604804077.0,235091728342.0,342843565068.0,419714393954.0,429877970594.0,,289579713661.0,,,,,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,92805828175.0,96338570720.0,106719319194.0,120864838460.0,107671571274.0,,83487166008.0,,,,,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,394932078.0,114649526.0,486280073.0,1452498170.0,413774972.0,,830540178.0,,,,,,,,,,,,,,,,
. Chi phí tài chính__1,3953933628.0,5048123203.0,8902791810.0,7068035354.0,12774131461.0,,8453742198.0,,,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,2977340695.0,4530990011.0,7279559139.0,5538601544.0,9928751413.0,,7138280526.0,,,,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,53289445921.0,47794874079.0,47818813626.0,56081643850.0,47180913419.0,,35137138367.0,,,,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,27126399611.0,29873057086.0,36597395578.0,46900341476.0,36519173378.0,,29511901778.0,,,,,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,8830981093.0,13737165878.0,13886598253.0,12267315950.0,11611127988.0,,11214923843.0,,,,,,,,,,,,,,,,
. Thu nhập khác__1,1924626871.0,190141454.0,164296218.0,3476440851.0,2363326189.0,,1824839115.0,,,,,,,,,,,,,,,,
. Chi phí khác__1,34872.0,30335599.0,27053956.0,1788198933.0,1346318089.0,,1194006438.0,,,,,,,,,,,,,,,,
. Lợi nhuận khác__1,1924591999.0,159805855.0,137242262.0,1688241918.0,1017008100.0,,630832677.0,,,,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,10755573092.0,13896971733.0,14023840515.0,13955557868.0,12628136088.0,,11845756520.0,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,2208027254.0,2833631467.0,2959331485.0,2884147301.0,2611368204.0,,1792738063.0,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,,,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,8547545838.0,11063340266.0,11064509030.0,11071410567.0,10016767884.0,,10053018457.0,,,,,,,,,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,8547545838.0,11063340266.0,11064509030.0,11071410567.0,10016767884.0,,10053018457.0,,,,,,,,,,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,1628.0,2107.0,2108.0,2109.0,1908.0,,1915.0,,,,,,,,,,,,,,,,
. Lãi suy giảm trên cổ phiếu__1,,,,,,,,,,,,,,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,,,,
I - TÀI SẢN NGẮN HẠN__1,190088193532.0,155198038041.0,253857623877.0,,263624155363.0,,,,,,,,,,,,,,,,238991340118.0,228582032539.0,282655084380.0
. Tiền và các khoản tương đương tiền__1,12470226972.0,6964862322.0,6779311266.0,,37433894760.0,,,,,,,,,,,,,,,,6694526981.0,43131683954.0,21104727608.0
..Tiền__1,12470226972.0,6964862322.0,6779311266.0,,37433894760.0,,,,,,,,,,,,,,,,6694526981.0,43131683954.0,21104727608.0
..Các khoản tương đương tiền__1,,,,,,,,,,,,,,,,,,,,,,,
. Các khoản đầu tư tài chính ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,,
.. Chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,,,
.. Đầu tư nắm giữ đến ngày đáo hạn__1,,,,,,,,,,,,,,,,,,,,,,,
. Các khoản phải thu ngắn hạn__1,10406742239.0,14834442342.0,20000071089.0,,30009363102.0,,,,,,,,,,,,,,,,16049838392.0,12069268412.0,22767271122.0
..Phải thu khách hàng__1,8697189370.0,13208293767.0,18279717067.0,,25498392086.0,,,,,,,,,,,,,,,,14657341251.0,10907343616.0,19751398506.0
..Trả trước cho người bán__1,849907994.0,1501384627.0,952652134.0,,4608095475.0,,,,,,,,,,,,,,,,1182126516.0,428028570.0,4694778996.0
.. Phải thu nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,,
.. Phải thu theo tiến độ Kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,,
.. Các khoản phải thu khác__1,1590974177.0,1353941911.0,1801841477.0,,2001573423.0,,,,,,,,,,,,,,,,1401449757.0,2068935393.0,354475839.0
.. Dự phòng phải thu ngắn hạn khó đòi__1,-731329302.0,-1229177963.0,-1034139589.0,,-2098697882.0,,,,,,,,,,,,,,,,-1191079132.0,-1335039167.0,-2033382219.0
. Tài sản thiếu chờ xử lý__1,,,,,,,,,,,,,,,,,,,,,,,
. Hàng tồn kho__1,160012132117.0,129504666191.0,219800816159.0,,189706979719.0,,,,,,,,,,,,,,,,209514776406.0,170740914396.0,222590940644.0
.. Hàng tồn kho__1,161187018671.0,130775986875.0,223718885411.0,,189707088987.0,,,,,,,,,,,,,,,,210415785399.0,170740914396.0,222590940644.0
