field,[2021],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001],[2000],[1999],[1998],[2020],[2019],[2018],[2017]
II - TÀI SẢN DÀI HẠN__1,11209390157.0,25666477429.0,24949955286.0,,,,,,,,,,,,,,,,,,11884311999.0,14668912963.0,27446145787.0,36178117161.0
. Các khoản phải thu dài hạn__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn của khách hàng__1,,,,,,,,,,,,,,,,,,,,,,,,
. Trả trước cho người bán dài hạn__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Vốn kinh doanh ở đơn vị trực thuộc__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Phải thu nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay dài hạn__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn khác__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng phải thu khó đòi__1,,,,,,,,,,,,,,,,,,,,,,,,
. Tài sản cố định__1,2880117173.0,19950585226.0,24017994218.0,,,,,,,,,,,,,,,,,,2790420657.0,5723498867.0,15602852503.0,26398233128.0
.. Tài sản cố định hữu hình__1,2880117173.0,19950585226.0,19984185218.0,,,,,,,,,,,,,,,,,,2790420657.0,5723498867.0,15602852503.0,26398233128.0
- Nguyên giá__1,52408959976.0,54059385127.0,53231307623.0,,,,,,,,,,,,,,,,,,52269553794.0,52269553794.0,57660637277.0,65596760198.0
- Giá trị hao mòn luỹ kế__1,-49528842803.0,-34108799901.0,-33247122405.0,,,,,,,,,,,,,,,,,,-49479133137.0,-46546054927.0,-42057784774.0,-39198527070.0
.. Tài sản cố định thuê tài chính__1,,,,,,,,,,,,,,,,,,,,,,,,
- Nguyên giá__2,,,,,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__2,,,,,,,,,,,,,,,,,,,,,,,,
.. Tài sản cố định vô hình__1,,,4033809000.0,,,,,,,,,,,,,,,,,,,,,
- Nguyên giá__3,,,4033809000.0,,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__3,,,,,,,,,,,,,,,,,,,,,,,,
. Bất động sản đầu tư__1,5582210311.0,5216423535.0,,,,,,,,,,,,,,,,,,,5664661687.0,5747113063.0,5829564439.0,5912015815.0
- Nguyên giá__4,6095093333.0,5317049677.0,,,,,,,,,,,,,,,,,,,6095093333.0,6095093333.0,6095093333.0,6095093333.0
- Giá trị hao mòn luỹ kế__4,-512883022.0,-100626142.0,,,,,,,,,,,,,,,,,,,-430431646.0,-347980270.0,-265528894.0,-183077518.0
. Tài sản dở dang dài hạn__1,,,,,,,,,,,,,,,,,,,,,,,,
". Chi phí sản xuất, kinh doanh dở dang dài hạn__1",,,,,,,,,,,,,,,,,,,,,,,,
. Chi phí xây dựng cơ bản dở dang__1,,,,,,,,,,,,,,,,,,,,,,,,
. Đầu tư tài chính dài hạn__1,371909265.0,499468668.0,800000000.0,,,,,,,,,,,,,,,,,,371909265.0,371909265.0,800000000.0,533382010.0
. Đầu tư vào công ty con__1,,,,,,,,,,,,,,,,,,,,,,,,
". Đầu tư vào công ty liên kết, liên doanh__1",800000000.0,800000000.0,800000000.0,,,,,,,,,,,,,,,,,,800000000.0,800000000.0,800000000.0,800000000.0
. Đầu tư góp vốn vào đơn vị khác__1,,,,,,,,,,,,,,,,,,,,,,,,
. Dự phòng giảm giá đầu tư dài hạn__1,-428090735.0,-300531332.0,,,,,,,,,,,,,,,,,,,-428090735.0,-428090735.0,,-266617990.0
. Đầu tư nắm giữ đến ngày đáo hạn__1,,,,,,,,,,,,,,,,,,,,,,,,
. Tài sản dài hạn khác__1,2375153408.0,,131961068.0,,,,,,,,,,,,,,,,,,3057320390.0,2826391768.0,5213728845.0,3334486208.0
. Chi phí trả trước dài hạn__1,2375153408.0,,131961068.0,,,,,,,,,,,,,,,,,,3057320390.0,2826391768.0,5213728845.0,3334486208.0
. Tài sản thuế thu nhập hoãn lại__1,,,,,,,,,,,,,,,,,,,,,,,,
". Thiết bị, vật tư, phụ tùng thay thế dài hạn__1",,,,,,,,,,,,,,,,,,,,,,,,
. Tài sản dài hạn khác__2,,,,,,,,,,,,,,,,,,,,,,,,
". Ký quỹ, ký cược dài hạn__1",,,,,,,,,,,,,,,,,,,,,,,,
. Lợi thế thương mại__1,,,,,,,,,,,,,,,,,,,,,,,,
Tổng cộng tài sản__1,51998139050.0,51293661914.0,43535549232.0,,,,,,,,,,,,,,,,,,60923146180.0,59925994382.0,56525891575.0,66262943848.0
I - NỢ PHẢI TRẢ__1,8063378463.0,13159623777.0,9115810610.0,,,,,,,,,,,,,,,,,,14589898973.0,16660094605.0,13427401873.0,15481380319.0
. Nợ ngắn hạn__1,8063378463.0,13159623777.0,9115810610.0,,,,,,,,,,,,,,,,,,14589898973.0,16660094605.0,13427401873.0,15481380319.0
.. Phải trả người bán ngắn hạn__1,3802543760.0,4580138355.0,3243387572.0,,,,,,,,,,,,,,,,,,6762087869.0,5533870825.0,4945672414.0,5745947830.0
.. Người mua trả tiền trước ngắn hạn__1,30000000.0,,,,,,,,,,,,,,,,,,,,31000000.0,168676759.0,931000000.0,85000000.0
..Thuế và các khoản phải nộp Nhà nước__1,1211233521.0,183592998.0,948070069.0,,,,,,,,,,,,,,,,,,706488715.0,2635519704.0,1985019729.0,2524858672.0
.. Phải trả người lao động__1,2625633740.0,3831942399.0,1201461307.0,,,,,,,,,,,,,,,,,,6194049311.0,7555579960.0,3976702639.0,5028573372.0
.. Chi phí phải trả ngắn hạn__1,,,63462469.0,,,,,,,,,,,,,,,,,,16652190.0,,138618182.0,
.. Phải trả nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Doanh thu chưa thực hiện ngắn hạn__1,,45818184.0,,,,,,,,,,,,,,,,,,,,,,21212115.0
.. Phải trả ngắn hạn khác__1,160129224.0,1354612817.0,1706936340.0,,,,,,,,,,,,,,,,,,1111449282.0,754475751.0,1212142181.0,1096515447.0
.. Vay và nợ thuê tài chính ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng phải trả ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,,,
". Quỹ khen thưởng, phúc lợi__1",233838218.0,3163519024.0,1952492853.0,,,,,,,,,,,,,,,,,,-231828394.0,11971606.0,238246728.0,979272883.0
.. Quỹ bình ổn giá__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,,,,,
. Nợ dài hạn__1,,4580138355.0,,,,,,,,,,,,,,,,,,,,,,
.. Phải trả dài hạn người bán__1,,4580138355.0,,,,,,,,,,,,,,,,,,,,,,
. Người mua trả tiền trước dài hạn__1,,,,,,,,,,,,,,,,,,,,,,,,
. Chi phí phải trả dài hạn__1,,,,,,,,,,,,,,,,,,,,,,,,
. Phải trả nội bộ về vốn kinh doanh__1,,,,,,,,,,,,,,,,,,,,,,,,
. Phải trả dài hạn nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,,,,,,
. Doanh thu chưa thực hiện dài hạn__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Phải trả dài hạn khác__1,,,,,,,,,,,,,,,,,,,,,,,,
. Vay và nợ thuê tài chính dài hạn__1,,,,,,,,,,,,,,,,,,,,,,,,
. Trái phiếu chuyển đổi__1,,,,,,,,,,,,,,,,,,,,,,,,
. Thuế thu nhập hoãn lại phải trả__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng phải trả dài hạn__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Quỹ phát triển khoa học và công nghệ__1,,,,,,,,,,,,,,,,,,,,,,,,
II - VỐN CHỦ SỞ HỮU__1,43934760587.0,38134038137.0,34419738622.0,,,,,,,,,,,,,,,,,,46333247207.0,43265899777.0,43098489702.0,50781563529.0
I. Vốn chủ sở hữu__1,43934760587.0,36550872067.0,36000000000.0,,,,,,,,,,,,,,,,,,46333247207.0,43265899777.0,36865142835.0,36964810493.0
. Vốn góp của chủ sở hữu__1,36000000000.0,36000000000.0,36000000000.0,,,,,,,,,,,,,,,,,,36000000000.0,36000000000.0,36000000000.0,36000000000.0
- Cổ phiếu phổ thông có quyền biểu quyết__1,36000000000.0,36000000000.0,36000000000.0,,,,,,,,,,,,,,,,,,36000000000.0,36000000000.0,36000000000.0,36000000000.0
- Cổ phiếu ưu đãi__1,,,,,,,,,,,,,,,,,,,,,,,,
. Cổ phiếu ưu đãi__1,,,,,,,,,,,,,,,,,,,,,,,,
. Thặng dư vốn cổ phần__1,,,,,,,,,,,,,,,,,,,,,,,,
. Quyền chọn chuyển đổi trái phiếu__1,,,,,,,,,,,,,,,,,,,,,,,,
. Vốn khác của chủ sở hữu__1,,,,,,,,,,,,,,,,,,,,,,,,
. Cổ phiếu quỹ (*)__1,,,,,,,,,,,,,,,,,,,,,,,,
. Chênh lệch đánh giá lại tài sản__1,,,,,,,,,,,,,,,,,,,,,,,,
. Chênh lệch tỷ giá hối đoái__1,,,,,,,,,,,,,,,,,,,,,,,,
. Quỹ đầu tư phát triển__1,288818039.0,,,,,,,,,,,,,,,,,,,,134519797.0,134519797.0,100318488.0,55087206.0
. Quỹ hỗ trợ sắp xếp doanh nghiệp__1,,,,,,,,,,,,,,,,,,,,,,,,
. Quỹ khác thuộc vốn chủ sở hữu__1,,,,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế chưa phân phối__1,7645942548.0,550872067.0,,,,,,,,,,,,,,,,,,,10198727410.0,7131379980.0,764824347.0,909723287.0
- LNST chưa phân phối lũy kế đến cuối kỳ trước__1,533179992.0,,,,,,,,,,,,,,,,,,,,3085964854.0,13856553208.0,698977187.0,904625632.0
- LNST chưa phân phối kỳ này__1,7112762556.0,550872067.0,,,,,,,,,,,,,,,,,,,7112762556.0,-6725173228.0,65847160.0,5097655.0
. Nguồn vốn đầu tư XDCB__1,,,,,,,,,,,,,,,,,,,,,,,,
. Lợi ích cổ đông không kiểm soát__1,,,,,,,,,,,,,,,,,,,,,,,,
. Phụ trội hợp nhất công ty con__1,,,,,,,,,,,,,,,,,,,,,,,,
. Nguồn kinh phí và các quỹ khác__1,,1583166070.0,-1580261378.0,,,,,,,,,,,,,,,,,,,,6233346867.0,13816753036.0
.. Nguồn kinh phí__1,,1583166070.0,-1580261378.0,,,,,,,,,,,,,,,,,,,,3208313000.0,5708313000.0
.. Nguồn kinh phí đã hình thành TSCĐ__1,,,,,,,,,,,,,,,,,,,,,,,3025033867.0,8108440036.0
III - LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ__1,,,,,,,,,,,,,,,,,,,,,,,,
Tổng cộng nguồn vốn__1,51998139050.0,51293661914.0,43535549232.0,,,,,,,,,,,,,,,,,,60923146180.0,59925994382.0,56525891575.0,66262943848.0
.. Đầu tư ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá đầu tư ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Giao dịch mua bán lại trái phiếu chính phủ__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn nội bộ__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Chi phí xây dựng cơ bản dở dang__1,,,,,,,,,,,,,,,,,,,,,,,,
. Các khoản đầu tư tài chính dài hạn__1,,,,,,,,,,,,,,,,,,,,,,,,
. Đầu tư dài hạn khác__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Vay và nợ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Phải trả người bán__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Người mua trả tiền trước__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Chi phí phải trả__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Phải trả nội bộ__1,,,,,,,,,,,,,,,,,,,,,,,,
".. Các khoản phải trả, phải nộp ngắn hạn khác__1",,,,,,,,,,,,,,,,,,,,,,,,
.. Quỹ khen thưởng phúc lợi__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Giao dịch mua bán lại trái phiếu chính phủ__2,,,,,,,,,,,,,,,,,,,,,,,,
.. Doanh thu chưa thực hiện__1,,,,,,,,,,,,,,,,,,,,,,,,
. Quỹ thưởng ban quản lý điều hành công ty__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Phải trả dài hạn nội bộ__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Vay và nợ dài hạn__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Thuế thu nhập hoãn lại phải trả__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng trợ cấp mất việc làm__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Doanh thu chưa thực hiện__2,,,,,,,,,,,,,,,,,,,,,,,,
.. Quỹ phát triển khoa học công nghệ__1,,,,,,,,,,,,,,,,,,,,,,,,
. Vốn chủ sở hữu__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Vốn đầu tư của chủ sở hữu__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Thặng dư vốn cổ phần__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Vốn khác của chủ sở hữu__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Cổ phiếu quỹ (*)__1,,,,,,,,,,,,,,,,,,,,,,,,
