field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2002],[2001],[2003],[2000],[1999]
. Doanh thu bán hàng và cung cấp dịch vụ__1,4370953925441.0,3256082866956.0,4091947786098.0,,,,,,,,,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,42147770528.0,6870425242.0,1214818184.0,,,,,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,4328806154913.0,3249212441714.0,4090732967914.0,,,,,,,,,,,,,,,,,,,,
. Giá vốn hàng bán__1,1667462508756.0,912937070795.0,1413486197625.0,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,2661343646157.0,2336275370919.0,2677246770289.0,,,,,,,,,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,49521699846.0,34325077964.0,127240317654.0,,,,,,,,,,,,,,,,,,,,
. Chi phí tài chính__1,79373792219.0,46411605105.0,32941742365.0,,,,,,,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,77053586524.0,,32880835365.0,,,,,,,,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,689419343886.0,485329088001.0,435182318611.0,,,,,,,,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,706172615429.0,436563121900.0,324584509342.0,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,1235899594469.0,1402296633877.0,2011778517625.0,,,,,,,,,,,,,,,,,,,,
. Thu nhập khác__1,33931152852.0,95445019089.0,73557726086.0,,,,,,,,,,,,,,,,,,,,
. Chi phí khác__1,69773740002.0,53577558022.0,36864439302.0,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận khác__1,-35842587150.0,41867461067.0,36693286784.0,,,,,,,,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,1200057007319.0,1444164094944.0,2048471804409.0,,,,,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,259901753348.0,313628732003.0,421029817752.0,,,,,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,66692843972.0,-5003122787.0,-5502158408.0,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,873462409999.0,1135538485728.0,1632944145065.0,,,,,,,,,,,,,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,334666878490.0,262287806786.0,571550667746.0,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,538795531509.0,873250678942.0,1061393477319.0,,,,,,,,,,,,,,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,1566.0,2817.0,4289.0,,,,,,,,,,,,,,,,,,,,
