field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002]
.. Thuế GTGT được khấu trừ__1,25638729083.0,22954549223.0,11003742374.0,6430115442.0,11355764.0,,,,,,,,,,,,,,,
.. Thuế và các khoản khác phải thu Nhà nước__1,3390864566.0,3313023082.0,5071731.0,7219170.0,,,,,,,,,,,,,,,,
. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,
.. Tài sản ngắn hạn khác__1,,,,,,,,,,,,,,,,,,,,
II - TÀI SẢN DÀI HẠN__1,45951688005.0,49850448983.0,55729389188.0,375764012645.0,199923087018.0,134737158420.0,,,,,,,,,,,,,,
. Các khoản phải thu dài hạn__1,5000000.0,5000000.0,144696000.0,766129341.0,4922105506.0,3150181781.0,,,,,,,,,,,,,,
.. Phải thu dài hạn của khách hàng__1,,,,,,,,,,,,,,,,,,,,
. Trả trước cho người bán dài hạn__1,,,,,,,,,,,,,,,,,,,,
.. Vốn kinh doanh ở đơn vị trực thuộc__1,,,,,,,,,,,,,,,,,,,,
.. Phải thu nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay dài hạn__1,,,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn khác__1,5000000.0,5000000.0,144696000.0,766129341.0,4922105506.0,3150181781.0,,,,,,,,,,,,,,
.. Dự phòng phải thu khó đòi__1,,,,,,,,,,,,,,,,,,,,
. Tài sản cố định__1,16505146440.0,23274989042.0,22652094267.0,19403551776.0,19473679561.0,15195897710.0,,,,,,,,,,,,,,
.. Tài sản cố định hữu hình__1,16310592730.0,22945242000.0,22618117050.0,19297947891.0,19328749009.0,15108022710.0,,,,,,,,,,,,,,
- Nguyên giá__1,28472630448.0,35224650448.0,32552550448.0,28088745938.0,26876550481.0,22402213749.0,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__1,-12162037718.0,-12279408448.0,-9934433398.0,-8790798047.0,-7547801472.0,-7294191039.0,,,,,,,,,,,,,,
.. Tài sản cố định thuê tài chính__1,,,,,,,,,,,,,,,,,,,,
- Nguyên giá__2,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__2,,,,,,,,,,,,,,,,,,,,
.. Tài sản cố định vô hình__1,194553710.0,329747042.0,33977217.0,105603885.0,144930552.0,87875000.0,,,,,,,,,,,,,,
- Nguyên giá__3,701000005.0,701000005.0,314800005.0,314800005.0,282500000.0,172500000.0,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__3,-506446295.0,-371252963.0,-280822788.0,-209196120.0,-137569448.0,-84625000.0,,,,,,,,,,,,,,
. Bất động sản đầu tư__1,,1152025713.0,1152025713.0,1252710887.0,1658601887.0,4044883337.0,,,,,,,,,,,,,,
- Nguyên giá__4,,1152025713.0,1152025713.0,1252710887.0,1658601887.0,4044883337.0,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__4,,,,,,,,,,,,,,,,,,,,
. Tài sản dở dang dài hạn__1,2026405712.0,758608639.0,,315221500091.0,152421493697.0,90618434950.0,,,,,,,,,,,,,,
". Chi phí sản xuất, kinh doanh dở dang dài hạn__1",,,,315221500091.0,152421493697.0,90618434950.0,,,,,,,,,,,,,,
. Chi phí xây dựng cơ bản dở dang__1,2026405712.0,758608639.0,,,,,,,,,,,,,,,,,,
. Đầu tư tài chính dài hạn__1,16425320086.0,5000000000.0,5726999547.0,11020142450.0,6262442391.0,5750000000.0,,,,,,,,,,,,,,
. Đầu tư vào công ty con__1,,,,,,,,,,,,,,,,,,,,
". Đầu tư vào công ty liên kết, liên doanh__1",11425320086.0,,726999547.0,720142450.0,962442391.0,450000000.0,,,,,,,,,,,,,,
. Đầu tư góp vốn vào đơn vị khác__1,,,,5300000000.0,5300000000.0,5300000000.0,,,,,,,,,,,,,,
. Dự phòng giảm giá đầu tư dài hạn__1,,,,,,,,,,,,,,,,,,,,
. Đầu tư nắm giữ đến ngày đáo hạn__1,5000000000.0,5000000000.0,5000000000.0,5000000000.0,,,,,,,,,,,,,,,,
. Tài sản dài hạn khác__1,10989815767.0,19659825589.0,26053573661.0,28099978100.0,15184763976.0,15977760642.0,,,,,,,,,,,,,,
. Chi phí trả trước dài hạn__1,10989815767.0,19659825589.0,20370813782.0,25823550569.0,15184763976.0,15977760642.0,,,,,,,,,,,,,,
