field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002]
. Các khoản phải thu dài hạn__1,,1895795360.0,1895795360.0,,856324843.0,,,,,,,,,,,,,,,
.. Phải thu dài hạn của khách hàng__1,,,,,,,,,,,,,,,,,,,,
. Trả trước cho người bán dài hạn__1,,,,,,,,,,,,,,,,,,,,
.. Vốn kinh doanh ở đơn vị trực thuộc__1,,,,,,,,,,,,,,,,,,,,
.. Phải thu nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay dài hạn__1,,,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn khác__1,,1895795360.0,1895795360.0,,856324843.0,,,,,,,,,,,,,,,
.. Dự phòng phải thu khó đòi__1,,,,,,,,,,,,,,,,,,,,
. Tài sản cố định__1,406151993895.0,433132016146.0,367398831852.0,343417473704.0,268191539709.0,,,,,,,,,,,,,,,
.. Tài sản cố định hữu hình__1,402275200039.0,426617878701.0,360215565608.0,337881544479.0,264176566840.0,,,,,,,,,,,,,,,
- Nguyên giá__1,703223060963.0,690309681886.0,598612748220.0,554912163904.0,461659616809.0,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__1,-300947860924.0,-263691803185.0,-238397182612.0,-217030619425.0,-197483049969.0,,,,,,,,,,,,,,,
.. Tài sản cố định thuê tài chính__1,,,,,,,,,,,,,,,,,,,,
- Nguyên giá__2,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__2,,,,,,,,,,,,,,,,,,,,
.. Tài sản cố định vô hình__1,3876793856.0,6514137445.0,7183266244.0,5535929225.0,4014972869.0,,,,,,,,,,,,,,,
- Nguyên giá__3,7828798850.0,10133603450.0,10133603450.0,7828798850.0,5687415300.0,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__3,-3952004994.0,-3619466005.0,-2950337206.0,-2292869625.0,-1672442431.0,,,,,,,,,,,,,,,
. Bất động sản đầu tư__1,,,,,,,,,,,,,,,,,,,,
- Nguyên giá__4,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__4,,,,,,,,,,,,,,,,,,,,
. Tài sản dở dang dài hạn__1,10503913962.0,8962623864.0,82831533410.0,36712209708.0,56160629043.0,,,,,,,,,,,,,,,
". Chi phí sản xuất, kinh doanh dở dang dài hạn__1",,,,,13201306726.0,,,,,,,,,,,,,,,
. Chi phí xây dựng cơ bản dở dang__1,10503913962.0,8962623864.0,82831533410.0,36712209708.0,42959322317.0,,,,,,,,,,,,,,,
. Đầu tư tài chính dài hạn__1,6621127273.0,5456824843.0,5456824843.0,4506324843.0,1650000000.0,,,,,,,,,,,,,,,
. Đầu tư vào công ty con__1,,,,,,,,,,,,,,,,,,,,
". Đầu tư vào công ty liên kết, liên doanh__1",6621127273.0,5456824843.0,5456824843.0,4506324843.0,1650000000.0,,,,,,,,,,,,,,,
. Đầu tư góp vốn vào đơn vị khác__1,,,,,,,,,,,,,,,,,,,,
. Dự phòng giảm giá đầu tư dài hạn__1,,,,,,,,,,,,,,,,,,,,
. Đầu tư nắm giữ đến ngày đáo hạn__1,,,,,,,,,,,,,,,,,,,,
. Tài sản dài hạn khác__1,11279170044.0,3057150276.0,655256601.0,770648482.0,1178821922.0,,,,,,,,,,,,,,,
. Chi phí trả trước dài hạn__1,11279170044.0,3057150276.0,655256601.0,770648482.0,1178821922.0,,,,,,,,,,,,,,,
. Tài sản thuế thu nhập hoãn lại__1,,,,,,,,,,,,,,,,,,,,
". Thiết bị, vật tư, phụ tùng thay thế dài hạn__1",,,,,,,,,,,,,,,,,,,,
. Tài sản dài hạn khác__2,,,,,,,,,,,,,,,,,,,,
". Ký quỹ, ký cược dài hạn__1",,,,,,,,,,,,,,,,,,,,
. Lợi thế thương mại__1,,,,,,,,,,,,,,,,,,,,
Tổng cộng tài sản__1,602515040270.0,626745851682.0,633183338360.0,622147908352.0,577231153560.0,,,,,,,,,,,,,,,
I - NỢ PHẢI TRẢ__1,193461172508.0,211432526271.0,221708518209.0,215932599241.0,194163520818.0,,,,,,,,,,,,,,,
. Nợ ngắn hạn__1,65713960399.0,67453003638.0,110674699029.0,96573458171.0,61673084371.0,,,,,,,,,,,,,,,
.. Phải trả người bán ngắn hạn__1,9200589534.0,6541352121.0,49795530331.0,19201455096.0,14672442026.0,,,,,,,,,,,,,,,
.. Người mua trả tiền trước ngắn hạn__1,155124000.0,135124000.0,135124000.0,135124000.0,275962289.0,,,,,,,,,,,,,,,
..Thuế và các khoản phải nộp Nhà nước__1,4998318250.0,5040092855.0,7876971461.0,11861770666.0,6029984619.0,,,,,,,,,,,,,,,
.. Phải trả người lao động__1,13368497402.0,13116601267.0,11575425124.0,4215735505.0,5541917629.0,,,,,,,,,,,,,,,
.. Chi phí phải trả ngắn hạn__1,624483218.0,990214826.0,680426920.0,1007972472.0,738534911.0,,,,,,,,,,,,,,,
.. Phải trả nội bộ ngắn hạn__1,,,,,582887354.0,,,,,,,,,,,,,,,
.. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,
.. Doanh thu chưa thực hiện ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
.. Phải trả ngắn hạn khác__1,28784442541.0,32864173115.0,34832417939.0,7971602329.0,5192643060.0,,,,,,,,,,,,,,,
.. Vay và nợ thuê tài chính ngắn hạn__1,7582906000.0,8084306000.0,5572113800.0,52179798103.0,28638712483.0,,,,,,,,,,,,,,,
.. Dự phòng phải trả ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
". Quỹ khen thưởng, phúc lợi__1",999599454.0,681139454.0,206689454.0,,,,,,,,,,,,,,,,,
.. Quỹ bình ổn giá__1,,,,,,,,,,,,,,,,,,,,
.. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,
. Nợ dài hạn__1,127747212109.0,143979522633.0,111033819180.0,119359141070.0,132490436447.0,,,,,,,,,,,,,,,
.. Phải trả dài hạn người bán__1,,,,,730766825.0,,,,,,,,,,,,,,,
. Người mua trả tiền trước dài hạn__1,,,,,,,,,,,,,,,,,,,,
. Chi phí phải trả dài hạn__1,,,,,,,,,,,,,,,,,,,,
. Phải trả nội bộ về vốn kinh doanh__1,,,,,,,,,,,,,,,,,,,,
. Phải trả dài hạn nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,,
. Doanh thu chưa thực hiện dài hạn__1,,,,,,,,,,,,,,,,,,,,
.. Phải trả dài hạn khác__1,89932316866.0,95275662051.0,69863472449.0,72778396739.0,82171277991.0,,,,,,,,,,,,,,,
