field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2011],[2009],[2008],[2006],[2005],[2004],[2002],[2001],[2000],[1999],[1998],[2012],[2010],[2007],[2003]
. Doanh thu bán hàng và cung cấp dịch vụ__1,3057743882845.0,2337891198666.0,2130387704894.0,1819225869221.0,1314654107628.0,890566896229.0,950207897486.0,1085581454172.0,949780557846.0,731819397656.0,75687354269.0,7866382436.0,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,,,,,,,,,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,3057743882845.0,2337891198666.0,2130387704894.0,1819225869221.0,1314654107628.0,890566896229.0,950207897486.0,1085581454172.0,949780557846.0,731819397656.0,75687354269.0,7866382436.0,,,,,,,,,,,,
. Giá vốn hàng bán__1,2849127824804.0,2187590899055.0,1941146371979.0,1582629897065.0,1077452563232.0,652063007671.0,717534764477.0,856053296010.0,744290815621.0,455538486651.0,50606568004.0,7102101957.0,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,208616058041.0,150300299611.0,189241332915.0,236595972156.0,237201544396.0,238503888558.0,232673133009.0,229528158162.0,205489742225.0,276280911005.0,25080786265.0,764280479.0,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,4257681901.0,10724922113.0,13483094198.0,11638298715.0,9699324092.0,7448617947.0,8699779960.0,14308121402.0,19446432219.0,15955936860.0,2092605022.0,1504989426.0,,,,,,,,,,,,
. Chi phí tài chính__1,422972574.0,1423610.0,17603159.0,71924861.0,2007291542.0,6155032345.0,6216468597.0,7574405723.0,14690521660.0,28514866146.0,4087516484.0,1260335881.0,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,421917808.0,,17349700.0,71522308.0,2007127540.0,6154516119.0,6107955735.0,7483151958.0,14508051373.0,26064097664.0,,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,26782423836.0,25533230826.0,24925377766.0,34449632635.0,27928728404.0,26332102520.0,18784468100.0,10767950065.0,11805904561.0,6201241726.0,1931392315.0,1757271060.0,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,76464820254.0,72644516748.0,72901261903.0,75138849257.0,74636959769.0,62971342081.0,70220675819.0,89408732158.0,58652194036.0,26500198908.0,7603527162.0,4101476384.0,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,109203523278.0,62846050540.0,104880184285.0,138573864118.0,142327888773.0,150494029559.0,146151300453.0,136085191618.0,139787554187.0,231020541085.0,13550955326.0,-4849813420.0,,,,,,,,,,,,
. Thu nhập khác__1,76526413.0,2532736891.0,2868783037.0,7304156531.0,127649455.0,133808180.0,32563637.0,1200300428.0,666571988.0,163116154.0,,128895369.0,,,,,,,,,,,,
. Chi phí khác__1,1685376784.0,8432009.0,139286856.0,660589195.0,70732117.0,2886264717.0,1105498429.0,7245260685.0,1418896862.0,4278499434.0,1111967562.0,350663413.0,,,,,,,,,,,,
. Lợi nhuận khác__1,-1608850371.0,2524304882.0,2729496181.0,6643567336.0,56917338.0,-2752456537.0,-1072934792.0,-6044960257.0,-752324874.0,-4115383280.0,-1111967562.0,-221768044.0,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,107594672907.0,65370355422.0,107609680466.0,145217431454.0,142384806111.0,147741573022.0,145078365661.0,130040231361.0,139035229313.0,226905157805.0,12438987764.0,-5071581464.0,,,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,27194453825.0,14940645638.0,21945915260.0,28814683871.0,36419503489.0,25810853372.0,25115396372.0,25196579027.0,15134777854.0,23456470472.0,,,,,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,-1894843554.0,-577757608.0,1316488276.0,2098396276.0,-3286485169.0,1642112908.0,1235875260.0,-7645625743.0,,,207222012.0,-599177250.0,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,82295062636.0,51007467392.0,84347276930.0,114304351307.0,109251787791.0,120288606742.0,118727094029.0,112489278077.0,123900451459.0,203448687333.0,12231765752.0,-4472404214.0,,,,,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,82295062636.0,51007467392.0,84347276930.0,114304351307.0,109251787791.0,120288606742.0,118727094029.0,112489278077.0,123900451459.0,203448687333.0,12231765752.0,-4472404214.0,,,,,,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,2678.0,1556.0,2620.0,3652.0,3591.0,3900.0,3993.0,4166.0,4736.0,10016.0,1820.0,-666.0,,,,,,,,,,,,
. Lãi suy giảm trên cổ phiếu__1,2678.0,1556.0,,,,,,,,,,,,,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,,,,,
I - TÀI SẢN NGẮN HẠN__1,829603569101.0,899326371065.0,660019130589.0,615451203951.0,537110952685.0,500544254289.0,465633340617.0,521087847405.0,510956953793.0,396381629464.0,68494828112.0,29804447039.0,,,,,,,,,316418255598.0,182822614720.0,,
. Tiền và các khoản tương đương tiền__1,282477045395.0,443919521397.0,377381771210.0,348193699715.0,279880076033.0,342673472949.0,281710813470.0,288734892821.0,249841848415.0,179293614903.0,36053940395.0,14589526362.0,,,,,,,,,85305119116.0,92714464442.0,,
..Tiền__1,27477045395.0,26631521397.0,34093771210.0,26693699715.0,18780076033.0,18773472949.0,32310813470.0,126619892821.0,62192126193.0,7844958923.0,12053940395.0,1864088543.0,,,,,,,,,17305119116.0,23714464442.0,,
..Các khoản tương đương tiền__1,255000000000.0,417288000000.0,343288000000.0,321500000000.0,261100000000.0,323900000000.0,249400000000.0,162115000000.0,187649722222.0,171448655980.0,24000000000.0,12725437819.0,,,,,,,,,68000000000.0,69000000000.0,,
