field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002]
. Doanh thu bán hàng và cung cấp dịch vụ__1,391359590054.0,345542706412.0,593391210490.0,561428356080.0,564925200818.0,478598197772.0,441908925784.0,,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,,,,,2163490361.0,1529950182.0,209884000.0,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,391359590054.0,345542706412.0,593391210490.0,561428356080.0,562761710457.0,477068247590.0,441699041784.0,,,,,,,,,,,,,
. Giá vốn hàng bán__1,353361591178.0,316580574297.0,503801016781.0,496619513780.0,481295330657.0,414337923828.0,381866866597.0,,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,37997998876.0,28962132115.0,89590193709.0,64808842300.0,81466379800.0,62730323762.0,59832175187.0,,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,1550338992.0,2775865866.0,1193486534.0,228070408.0,606841307.0,177497138.0,369651927.0,,,,,,,,,,,,,
. Chi phí tài chính__1,1445269703.0,3019183894.0,2832916937.0,2930109490.0,2337849018.0,2889949218.0,5762010215.0,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,1445269703.0,3019183894.0,2832916937.0,2930109490.0,2337849018.0,3090588162.0,5646842485.0,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,1465326064.0,4148259011.0,5052692194.0,5823044260.0,5583157848.0,5915978507.0,2440025591.0,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,15161558774.0,12388661302.0,16613088105.0,13487402146.0,13506874524.0,12383103395.0,11245350071.0,,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,21476183327.0,12181893774.0,66284983007.0,42796356812.0,60645339717.0,41718789780.0,40754441237.0,,,,,,,,,,,,,
. Thu nhập khác__1,503972988.0,115157461.0,42534650.0,133811184.0,41951226.0,24560782.0,37179030.0,,,,,,,,,,,,,
. Chi phí khác__1,103439525.0,21524426.0,,132075523.0,3377409.0,693680062.0,58976925.0,,,,,,,,,,,,,
. Lợi nhuận khác__1,400533463.0,93633035.0,42534650.0,1735661.0,38573817.0,-669119280.0,-21797895.0,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,21876716790.0,12275526809.0,66327517657.0,42798092473.0,60683913534.0,41049670500.0,40732643342.0,,,,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,3413723449.0,984766797.0,5048634029.0,3273352817.0,4616664822.0,3138885263.0,3107235697.0,,,,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,,,75750000.0,-75750000.0,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,18462993341.0,11290760012.0,61203133628.0,39600489656.0,56067248712.0,37910785237.0,37625407645.0,,,,,,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,18462993341.0,11290760012.0,61203133628.0,39600489656.0,56067248712.0,37910785237.0,37625407645.0,,,,,,,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,1477.0,903.0,4281.0,2808.0,4245.0,2785.0,2559.0,,,,,,,,,,,,,
. Lãi suy giảm trên cổ phiếu__1,,,,2808.0,4245.0,,,,,,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,
I - TÀI SẢN NGẮN HẠN__1,167475277642.0,213468608223.0,166130985934.0,89568476011.0,161601759190.0,126406199090.0,174012876046.0,,,,,,,,,,,,,
. Tiền và các khoản tương đương tiền__1,76683583405.0,133066762733.0,56780688071.0,2396341421.0,69829073376.0,65450008669.0,90609879190.0,,,,,,,,,,,,,
..Tiền__1,4837191957.0,40147287771.0,3280688071.0,2396341421.0,629073376.0,1050008669.0,90609879190.0,,,,,,,,,,,,,
..Các khoản tương đương tiền__1,71846391448.0,92919474962.0,53500000000.0,,69200000000.0,64400000000.0,,,,,,,,,,,,,,
. Các khoản đầu tư tài chính ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
.. Chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,
.. Đầu tư nắm giữ đến ngày đáo hạn__1,,,,,,,,,,,,,,,,,,,,
. Các khoản phải thu ngắn hạn__1,19321626812.0,15977545619.0,27364063754.0,39198883203.0,47825624239.0,23816144725.0,38988683308.0,,,,,,,,,,,,,
..Phải thu khách hàng__1,6037635812.0,11500832680.0,24851400970.0,34839407250.0,24961632800.0,16334444800.0,36197719498.0,,,,,,,,,,,,,
..Trả trước cho người bán__1,12736043788.0,4189079300.0,2323758675.0,4359475953.0,22795106995.0,6785901725.0,2091414000.0,,,,,,,,,,,,,
.. Phải thu nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
.. Phải thu theo tiến độ Kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
.. Các khoản phải thu khác__1,547947212.0,287633639.0,188904109.0,,68884444.0,695798200.0,699549810.0,,,,,,,,,,,,,
.. Dự phòng phải thu ngắn hạn khó đòi__1,,,,,,,,,,,,,,,,,,,,
. Tài sản thiếu chờ xử lý__1,,,,,,,,,,,,,,,,,,,,
. Hàng tồn kho__1,70005087482.0,64294669220.0,60901072344.0,47524562355.0,43622600141.0,36702599580.0,43788795269.0,,,,,,,,,,,,,
.. Hàng tồn kho__1,,,,47524562355.0,43622600141.0,36702599580.0,43788795269.0,,,,,,,,,,,,,
.. Dự phòng giảm giá hàng tồn kho__1,,,,,,,,,,,,,,,,,,,,
. Tài sản ngắn hạn khác__1,1464979943.0,129630651.0,21085161765.0,448689032.0,324461434.0,437446116.0,625518279.0,,,,,,,,,,,,,
.. Chi phí trả trước ngắn hạn__1,1464979943.0,129630651.0,520867711.0,448689032.0,324461434.0,437446116.0,540495080.0,,,,,,,,,,,,,
.. Thuế GTGT được khấu trừ__1,,,,,,,,,,,,,,,,,,,,
.. Thuế và các khoản khác phải thu Nhà nước__1,,,20564294054.0,,,,85023199.0,,,,,,,,,,,,,
. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,
.. Tài sản ngắn hạn khác__1,,,,,,,,,,,,,,,,,,,,
II - TÀI SẢN DÀI HẠN__1,164446651495.0,198665186817.0,228327836657.0,247327764695.0,253230151760.0,275276690302.0,265858471871.0,,,,,,,,,,,,,
. Các khoản phải thu dài hạn__1,,,,490000000.0,490000000.0,490000000.0,490000000.0,,,,,,,,,,,,,
.. Phải thu dài hạn của khách hàng__1,,,,,,,,,,,,,,,,,,,,
. Trả trước cho người bán dài hạn__1,,,,,,,,,,,,,,,,,,,,
.. Vốn kinh doanh ở đơn vị trực thuộc__1,,,,,,,,,,,,,,,,,,,,
.. Phải thu nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay dài hạn__1,,,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn khác__1,,,,490000000.0,490000000.0,490000000.0,490000000.0,,,,,,,,,,,,,
.. Dự phòng phải thu khó đòi__1,,,,,,,,,,,,,,,,,,,,
. Tài sản cố định__1,153002318040.0,190964052851.0,219394533815.0,236243805531.0,241201355049.0,263286228582.0,259822985777.0,,,,,,,,,,,,,
.. Tài sản cố định hữu hình__1,153002318040.0,190964052851.0,219394533815.0,236243805531.0,241201355049.0,263286228582.0,259822985777.0,,,,,,,,,,,,,
- Nguyên giá__1,527616057013.0,523222244712.0,509995048427.0,486708025314.0,454409767095.0,441367314126.0,406188933884.0,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__1,-374613738973.0,-332258191861.0,-290600514612.0,-250464219783.0,-213208412046.0,-178081085544.0,-146365948107.0,,,,,,,,,,,,,
.. Tài sản cố định thuê tài chính__1,,,,,,,,,,,,,,,,,,,,
- Nguyên giá__2,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__2,,,,,,,,,,,,,,,,,,,,
.. Tài sản cố định vô hình__1,,,,,,,,,,,,,,,,,,,,
- Nguyên giá__3,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__3,,,,,,,,,,,,,,,,,,,,
. Bất động sản đầu tư__1,,,,,,,,,,,,,,,,,,,,
- Nguyên giá__4,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__4,,,,,,,,,,,,,,,,,,,,
. Tài sản dở dang dài hạn__1,1152967002.0,,,,1756529175.0,826200000.0,,,,,,,,,,,,,,
". Chi phí sản xuất, kinh doanh dở dang dài hạn__1",,,,,,,,,,,,,,,,,,,,
. Chi phí xây dựng cơ bản dở dang__1,1152967002.0,,,,1756529175.0,826200000.0,,,,,,,,,,,,,,
. Đầu tư tài chính dài hạn__1,,,,,,,,,,,,,,,,,,,,
. Đầu tư vào công ty con__1,,,,,,,,,,,,,,,,,,,,
". Đầu tư vào công ty liên kết, liên doanh__1",,,,,,,,,,,,,,,,,,,,
. Đầu tư góp vốn vào đơn vị khác__1,,,,,,,,,,,,,,,,,,,,
. Dự phòng giảm giá đầu tư dài hạn__1,,,,,,,,,,,,,,,,,,,,
. Đầu tư nắm giữ đến ngày đáo hạn__1,,,,,,,,,,,,,,,,,,,,
. Tài sản dài hạn khác__1,10291366453.0,7701133966.0,8933302842.0,10593959164.0,9782267536.0,10674261720.0,5545486094.0,,,,,,,,,,,,,
. Chi phí trả trước dài hạn__1,10291366453.0,7701133966.0,8933302842.0,10518209164.0,9782267536.0,10674261720.0,5545486094.0,,,,,,,,,,,,,
. Tài sản thuế thu nhập hoãn lại__1,,,,75750000.0,,,,,,,,,,,,,,,,
". Thiết bị, vật tư, phụ tùng thay thế dài hạn__1",,,,,,,,,,,,,,,,,,,,
. Tài sản dài hạn khác__2,,,,,,,,,,,,,,,,,,,,
". Ký quỹ, ký cược dài hạn__1",,,,,,,,,,,,,,,,,,,,
. Lợi thế thương mại__1,,,,,,,,,,,,,,,,,,,,
Tổng cộng tài sản__1,331921929137.0,412133795040.0,394458822591.0,336896240706.0,414831910950.0,401682889392.0,439871347917.0,,,,,,,,,,,,,
I - NỢ PHẢI TRẢ__1,108299958441.0,184211910085.0,154600660349.0,106795212092.0,167599699505.0,173981801413.0,213345567520.0,,,,,,,,,,,,,
. Nợ ngắn hạn__1,105158114717.0,175596321995.0,137941072259.0,94934442250.0,153375762505.0,164981801413.0,213345567520.0,,,,,,,,,,,,,
.. Phải trả người bán ngắn hạn__1,7680816809.0,8306051447.0,12381445874.0,13933834519.0,8921690336.0,42218064008.0,48307259332.0,,,,,,,,,,,,,
.. Người mua trả tiền trước ngắn hạn__1,66352917.0,54096300.0,186521382.0,197885656.0,1114189742.0,1721921770.0,106878139.0,,,,,,,,,,,,,
..Thuế và các khoản phải nộp Nhà nước__1,62615439219.0,49145293814.0,2788133829.0,12176132759.0,73414282759.0,100227870562.0,56951517555.0,,,,,,,,,,,,,
.. Phải trả người lao động__1,3427415012.0,2604564000.0,2292249000.0,1831986350.0,1677655300.0,1888059000.0,2304284000.0,,,,,,,,,,,,,
.. Chi phí phải trả ngắn hạn__1,5145774115.0,3751817383.0,3985812702.0,2231158546.0,4625837731.0,1995815910.0,1725795655.0,,,,,,,,,,,,,
.. Phải trả nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
.. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,
.. Doanh thu chưa thực hiện ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
.. Phải trả ngắn hạn khác__1,15920286064.0,15160167250.0,9697978000.0,9456574000.0,8967352774.0,8698875810.0,5058348860.0,,,,,,,,,,,,,
.. Vay và nợ thuê tài chính ngắn hạn__1,7490434790.0,94114834692.0,103544000000.0,53209664948.0,53177774633.0,6000000000.0,96732452012.0,,,,,,,,,,,,,
.. Dự phòng phải trả ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
". Quỹ khen thưởng, phúc lợi__1",2811595791.0,2459497109.0,3064931472.0,1897205472.0,1476979230.0,2231194353.0,2159031967.0,,,,,,,,,,,,,
.. Quỹ bình ổn giá__1,,,,,,,,,,,,,,,,,,,,
.. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,
. Nợ dài hạn__1,3141843724.0,8615588090.0,16659588090.0,11860769842.0,14223937000.0,9000000000.0,,,,,,,,,,,,,,
.. Phải trả dài hạn người bán__1,,,,,,,,,,,,,,,,,,,,
. Người mua trả tiền trước dài hạn__1,,,,,,,,,,,,,,,,,,,,
. Chi phí phải trả dài hạn__1,,,,,,,,,,,,,,,,,,,,
. Phải trả nội bộ về vốn kinh doanh__1,,,,,,,,,,,,,,,,,,,,
. Phải trả dài hạn nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,,
