field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001],[2000]
. Doanh thu bán hàng và cung cấp dịch vụ__1,25241829147.0,84264784491.0,219461394678.0,216600773065.0,196234746774.0,182991544453.0,171777349551.0,164256239584.0,170941387112.0,157123808612.0,134803448984.0,107761564364.0,83012975214.0,80886883695.0,67192029728.0,,,,,,,
. Các khoản giảm trừ doanh thu__1,,,,,,,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,25241829147.0,84264784491.0,219461394678.0,216600773065.0,196234746774.0,182991544453.0,171777349551.0,164256239584.0,170941387112.0,157123808612.0,134803448984.0,107761564364.0,83012975214.0,80886883695.0,67192029728.0,,,,,,,
. Giá vốn hàng bán__1,26823434857.0,33210465520.0,84322261407.0,75807775655.0,68101070310.0,66777929657.0,61860717728.0,61697592401.0,67100096361.0,64248818291.0,54882925098.0,49093368739.0,41008088764.0,39361986398.0,34926033815.0,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,-1581605710.0,51054318971.0,135139133271.0,140792997410.0,128133676464.0,116213614796.0,109916631823.0,102558647183.0,103841290751.0,92874990321.0,79920523886.0,58668195625.0,42004886450.0,41524897297.0,32265995913.0,,,,,,,
. Doanh thu hoạt động tài chính__1,40869379075.0,13299731837.0,16142366767.0,14437674060.0,11854753557.0,10800614784.0,8049605901.0,9078798697.0,11074961429.0,17493620368.0,16034267714.0,8047068695.0,5126162113.0,9835606310.0,3033448516.0,,,,,,,
. Chi phí tài chính__1,-12978125.0,126003017.0,,2000000000.0,,2046589800.0,2955556.0,462164319.0,3015097500.0,5276169000.0,1936116000.0,2200951000.0,4529049000.0,6000000000.0,,,,,,,,
- Trong đó: Chi phí lãi vay__1,322699424.0,101134000.0,,,,,2955556.0,,,50000000.0,2625000.0,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,2197801038.0,6966895696.0,14182128990.0,15472085814.0,15090070499.0,13322546072.0,12256019924.0,11596794492.0,10997306117.0,9815503130.0,8548982663.0,7582841355.0,6992623763.0,6452785251.0,5213800628.0,,,,,,,
. Chi phí quản lý doanh nghiệp__1,8663181294.0,10663674237.0,17476392090.0,17868131452.0,13570401934.0,15767647348.0,14912105944.0,11600971763.0,11124322101.0,10904201479.0,10389192989.0,6949928399.0,5350552648.0,4669248902.0,3845467595.0,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,28439769158.0,46597477858.0,119622978958.0,119890454204.0,111327957588.0,95877446360.0,90795156300.0,87977515306.0,89779526462.0,84372737080.0,75080499953.0,49981543566.0,30258823152.0,34238469454.0,26240176206.0,,,,,,,
. Thu nhập khác__1,205790182.0,1252855819.0,46385981.0,1542454915.0,257268900.0,16610200.0,16057881.0,3700000.0,315899543.0,2223104534.0,385288118.0,30429455.0,464843149.0,156785110.0,438091806.0,,,,,,,
. Chi phí khác__1,,,,1300000000.0,,,,,,,395293242.0,,3850000.0,,5895778.0,,,,,,,
. Lợi nhuận khác__1,205790182.0,1252855819.0,46385981.0,242454915.0,257268900.0,16610200.0,16057881.0,3700000.0,315899543.0,2223104534.0,-10005124.0,30429455.0,460993149.0,156785110.0,432196028.0,,,,,,,
