field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001],[2000]
. Tiền và các khoản tương đương tiền__1,17642505763.0,36724777936.0,,114444855914.0,126796161162.0,434370887524.0,279976122606.0,266377649199.0,,92062681788.0,34836706086.0,5801932472.0,27535652297.0,24583954344.0,15507473676.0,26324008707.0,,,,,,
..Tiền__1,17642505763.0,26724777936.0,,104444855914.0,21796161162.0,18470887524.0,11476122606.0,18077649199.0,,2500201288.0,11034650586.0,5801932472.0,18535652297.0,24583954344.0,15507473676.0,26324008707.0,,,,,,
..Các khoản tương đương tiền__1,,10000000000.0,,10000000000.0,105000000000.0,415900000000.0,268500000000.0,248300000000.0,,89562480500.0,23802055500.0,,9000000000.0,,,,,,,,,
. Các khoản đầu tư tài chính ngắn hạn__1,537000000000.0,926900000000.0,,598489589041.0,260000000000.0,27000000000.0,40000000000.0,5000000000.0,,12000000000.0,22500000000.0,205500000000.0,198926720000.0,57935000000.0,40000000000.0,15000000000.0,,,,,,
.. Chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,,
.. Đầu tư nắm giữ đến ngày đáo hạn__1,537000000000.0,926900000000.0,,598489589041.0,260000000000.0,27000000000.0,40000000000.0,,,,,,,,,,,,,,,
. Các khoản phải thu ngắn hạn__1,176665254670.0,113007869482.0,,37680337364.0,22918866218.0,110343707101.0,85382133060.0,90728172439.0,,122287413430.0,103854075907.0,123654176445.0,67587892648.0,75542720280.0,38382177615.0,56866191305.0,,,,,,
..Phải thu khách hàng__1,83645336677.0,28247673087.0,,15358911467.0,6092209069.0,46853535812.0,45617500901.0,61222597760.0,,105632887665.0,49189635240.0,58779988239.0,45699683757.0,23161584751.0,24839258734.0,27956201643.0,,,,,,
..Trả trước cho người bán__1,52076455588.0,14301629256.0,,4929951525.0,3588145576.0,52112256599.0,2763597960.0,4731874539.0,,5333665168.0,44532440532.0,53154872577.0,9071839885.0,16490146041.0,1086928393.0,3207460554.0,,,,,,
.. Phải thu nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,
.. Phải thu theo tiến độ Kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,25702529108.0,,,,,,
. Phải thu về cho vay ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,
.. Các khoản phải thu khác__1,42600621066.0,71987803918.0,,17877503913.0,13481978569.0,12842293829.0,38191201223.0,27158450060.0,,12215376440.0,10223387135.0,11719315629.0,12816369006.0,35890989488.0,12455990488.0,,,,,,,
.. Dự phòng phải thu ngắn hạn khó đòi__1,-1657158661.0,-1529236779.0,,-486029541.0,-243466996.0,-1464379139.0,-1190167024.0,-2384749920.0,,-894515843.0,-91387000.0,,,,,,,,,,,
. Tài sản thiếu chờ xử lý__1,,,,,,,,,,,,,,,,,,,,,,
. Hàng tồn kho__1,93991441499.0,161235888055.0,,278047198237.0,383286248487.0,427949166515.0,313695863255.0,396940454191.0,,398298459710.0,32825744033.0,39424182387.0,48907637130.0,29592994991.0,49794449665.0,70577399970.0,,,,,,
.. Hàng tồn kho__1,93991441499.0,161235888055.0,,278047198237.0,383286248487.0,427949166515.0,313695863255.0,396940454191.0,,398298459710.0,32825744033.0,39424182387.0,48907637130.0,29592994991.0,49794449665.0,70577399970.0,,,,,,
.. Dự phòng giảm giá hàng tồn kho__1,,,,,,,,,,,,,,,,,,,,,,
. Tài sản ngắn hạn khác__1,36153078635.0,22202285392.0,,9329049962.0,23164678501.0,257912065.0,4273725926.0,6482080556.0,,372014343.0,2478729709.0,278078358.0,631236128.0,274381488.0,614578716.0,2036956142.0,,,,,,
.. Chi phí trả trước ngắn hạn__1,255907059.0,82805233.0,,329049962.0,437061237.0,257912065.0,315362669.0,4174751982.0,,76723271.0,203493150.0,243078358.0,207014128.0,140227159.0,138869392.0,1705388718.0,,,,,,
.. Thuế GTGT được khấu trừ__1,35897171576.0,22119480159.0,,,9426647178.0,,3958363257.0,1881231404.0,,,,,,,,,,,,,,
.. Thuế và các khoản khác phải thu Nhà nước__1,,,,9000000000.0,13300970086.0,,,1304600.0,,,2253298504.0,,,,212709324.0,1567424.0,,,,,,
. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,,,
.. Tài sản ngắn hạn khác__1,,,,,,,,424792570.0,,295291072.0,21938055.0,35000000.0,424222000.0,134154329.0,263000000.0,330000000.0,,,,,,
II - TÀI SẢN DÀI HẠN__1,924560148868.0,743542630509.0,,552556624801.0,428254625870.0,375135954171.0,382454779632.0,348500028752.0,,209223913413.0,523594637881.0,448224102175.0,422596730675.0,380032134499.0,278998040920.0,282789444835.0,,,,,,
. Các khoản phải thu dài hạn__1,11051824770.0,11051824770.0,,,,,14258631860.0,,,8607400000.0,32908234500.0,12963250000.0,19599105222.0,61401220222.0,63743440000.0,55247000000.0,,,,,,
.. Phải thu dài hạn của khách hàng__1,74540000.0,74540000.0,,84540000.0,626315500.0,637115500.0,1881498030.0,,,,32908234500.0,12963250000.0,19599105222.0,61401220222.0,63743440000.0,55247000000.0,,,,,,
. Trả trước cho người bán dài hạn__1,,,,,,,,,,,,,,,,,,,,,,
.. Vốn kinh doanh ở đơn vị trực thuộc__1,,,,,,,,,,,,,,,,,,,,,,
.. Phải thu nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay dài hạn__1,,,,,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn khác__1,17527903170.0,17527903170.0,,6476078400.0,6476078400.0,6476078400.0,21421633995.0,,,8607400000.0,,,,,,,,,,,,
.. Dự phòng phải thu khó đòi__1,-6550618400.0,-6550618400.0,,-6560618400.0,-7102393900.0,-7113193900.0,-9044500165.0,,,,,,,,,,,,,,,
. Tài sản cố định__1,6830129594.0,8101959205.0,,5715379619.0,6619227706.0,10095454833.0,9457752475.0,104624380128.0,,9658369064.0,313582011942.0,250784637442.0,214831644582.0,218998604008.0,151735724310.0,66840548300.0,,,,,,
.. Tài sản cố định hữu hình__1,6773777813.0,8038636084.0,,5635113818.0,6525990565.0,9989246352.0,9338572654.0,60985179491.0,,8853038063.0,50612464561.0,61445987243.0,71996958281.0,48127322328.0,46107160625.0,41044815659.0,,,,,,
- Nguyên giá__1,23996297433.0,23828595433.0,,15611026333.0,15307389969.0,24020805231.0,22240647594.0,102578279502.0,,21996624088.0,138398954635.0,136942987366.0,133718338582.0,96592867178.0,82227939400.0,66116649952.0,,,,,,
- Giá trị hao mòn luỹ kế__1,-17222519620.0,-15789959349.0,,-9975912515.0,-8781399404.0,-14031558879.0,-12902074940.0,-41593100011.0,,-13143586025.0,-87786490074.0,-75497000123.0,-61721380301.0,-48465544850.0,-36120778775.0,-25071834293.0,,,,,,
