field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002]
. Doanh thu bán hàng và cung cấp dịch vụ__1,154081504763.0,133297398801.0,82773692701.0,85695834169.0,130039415396.0,132056255132.0,147879816530.0,198871438500.0,276466670109.0,291537855817.0,270850571359.0,182579511335.0,130489877312.0,93962174328.0,56711310130.0,30857416614.0,,,,
. Các khoản giảm trừ doanh thu__1,,,,,,,,329387549.0,557941102.0,687685071.0,342537631.0,79200053.0,60005219.0,59069997.0,28684448.0,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,154081504763.0,133297398801.0,82773692701.0,85695834169.0,130039415396.0,132056255132.0,147879816530.0,198542050951.0,275908729007.0,290850170746.0,270508033728.0,182500311282.0,130429872093.0,93903104331.0,56682625682.0,30857416614.0,,,,
. Giá vốn hàng bán__1,137079440269.0,110343151314.0,55681076815.0,63904598157.0,100913152504.0,103198878548.0,111032652823.0,146500863374.0,213006783228.0,221068385892.0,205932404893.0,136529020770.0,96713417599.0,70994853044.0,44285666392.0,24391323954.0,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,17002064494.0,22954247487.0,27092615886.0,21791236012.0,29126262892.0,28857376584.0,36847163707.0,52041187577.0,62901945779.0,69781784854.0,64575628835.0,45971290512.0,33716454494.0,22908251287.0,12396959290.0,6466092660.0,,,,
. Doanh thu hoạt động tài chính__1,240989.0,1366824.0,772505202.0,5806103910.0,8685100837.0,109716078.0,52906973.0,371902298.0,422352820.0,506049193.0,688612536.0,776144196.0,151446902.0,709526307.0,1209342988.0,140260356.0,,,,
. Chi phí tài chính__1,10548459905.0,14399685426.0,10571536197.0,9198116174.0,10852840657.0,10749392564.0,15384171346.0,20555554475.0,25763474403.0,21154854258.0,13650993406.0,7768967756.0,5363247591.0,6362812999.0,3792467012.0,1318383534.0,,,,
- Trong đó: Chi phí lãi vay__1,10548459905.0,13662297377.0,10571536197.0,9198116174.0,10852025657.0,10749392564.0,15365105728.0,20355554475.0,20616064547.0,21032404258.0,13095443406.0,7760807756.0,5429607591.0,6156966199.0,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,901399492.0,,,,,,,,,,,,,
. Chi phí bán hàng__1,1328740514.0,3740779197.0,10324900590.0,11805619928.0,19078415109.0,13819178228.0,12576173483.0,16379282708.0,20319104028.0,15921847131.0,13057935183.0,8857740695.0,7809010668.0,3782540265.0,2461616647.0,2691842952.0,,,,
. Chi phí quản lý doanh nghiệp__1,-8784770596.0,2218199646.0,6604424875.0,6547021131.0,10800178431.0,13659374139.0,7661721097.0,10615040547.0,16983897088.0,22921358231.0,19998819125.0,15213946449.0,10594081768.0,8359822675.0,4593507777.0,1139710106.0,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,13909875660.0,2596950042.0,364259426.0,46582689.0,-2920070468.0,-9260852269.0,2179404246.0,4863212145.0,257823080.0,10289774427.0,18556493657.0,14906779808.0,10101561369.0,5112601655.0,2758710842.0,1456416424.0,,,,
. Thu nhập khác__1,25545585.0,312652742.0,80542090.0,828335093.0,3519399355.0,91913703.0,4302898286.0,3959536638.0,1305315168.0,2182542376.0,1177109371.0,376545309.0,485074968.0,1323551877.0,810390389.0,705592673.0,,,,
. Chi phí khác__1,101856351.0,1700407353.0,336996150.0,814088064.0,173757590.0,165885356.0,78155632.0,2724299386.0,763534013.0,1707204493.0,166480384.0,46199375.0,7449779.0,507623422.0,196894593.0,538001295.0,,,,
. Lợi nhuận khác__1,-76310766.0,-1387754611.0,-256454060.0,14247029.0,3345641765.0,-73971653.0,4224742654.0,1235237252.0,541781155.0,475337883.0,1010628987.0,330345934.0,477625189.0,815928455.0,613495796.0,167591378.0,,,,
