field,[2021],[2020],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001],[2019],[2000],[1999]
. Doanh thu bán hàng và cung cấp dịch vụ__1,1549225114572.0,1559588956778.0,1597223578857.0,1814473492437.0,1805899569180.0,1833379733402.0,1984067850728.0,2037367511213.0,2093857706447.0,1933013761247.0,,1186048783651.0,829617940216.0,555441732666.0,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,2925879287.0,4788275388.0,1967830756.0,8195661381.0,3764321326.0,962555576.0,474675016.0,6065713276.0,8850206775.0,1243492035.0,,558515917.0,451976990.0,2025616087.0,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,1546299235285.0,1554800681390.0,1595255748101.0,1806277831056.0,1802135247854.0,1832417177826.0,1983593175712.0,2031301797937.0,2085007499672.0,1931770269212.0,,1185490267734.0,829165963226.0,553416116579.0,,,,,,,,,
. Giá vốn hàng bán__1,1473822945909.0,1484134147071.0,1511692695010.0,1718268855240.0,1713907846779.0,1742768649133.0,1891434753635.0,1930985854208.0,1987511603565.0,1826600367368.0,,1103028044814.0,783640367658.0,523929848939.0,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,72476289376.0,70666534319.0,83563053091.0,88008975816.0,88227401075.0,89648528693.0,92158422077.0,100315943729.0,97495896107.0,105169901844.0,,82462222920.0,45525595568.0,29486267640.0,,,,,,,,,
. Doanh thu hoạt động tài chính__1,4786415220.0,5564654668.0,3891309681.0,3055342463.0,11354778801.0,15703408687.0,8463085127.0,5746990757.0,5594428289.0,15584214119.0,,8715825882.0,7064963909.0,1080605832.0,,,,,,,,,
. Chi phí tài chính__1,2550012504.0,3504091884.0,14378924694.0,11247818167.0,18603056282.0,26012043694.0,18856878350.0,30776123919.0,30707590527.0,62209384734.0,,47736200722.0,13367637883.0,5506064585.0,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,1217215541.0,2084404413.0,7317307490.0,7677700931.0,8898627680.0,9255150684.0,13677991319.0,17273681933.0,23705343824.0,21528881169.0,,5094606669.0,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,42088204704.0,37848378372.0,44411692098.0,37368364148.0,34762303639.0,34543135617.0,34367116535.0,34964735449.0,36707606040.0,29514272441.0,,22780650738.0,22488517509.0,14436462719.0,,,,,,,,,
