field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001]
..Trả trước cho người bán__1,8174233909.0,3010615605.0,2265477793.0,2135046011.0,1549939499.0,607307217.0,19359373322.0,1261487410.0,212620300.0,1239099431.0,15000000.0,,,,,,,,,,
.. Phải thu nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Phải thu theo tiến độ Kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay ngắn hạn__1,,,,208949496.0,,,,,,,,,,,,,,,,,
.. Các khoản phải thu khác__1,196144048.0,326698027.0,493277962.0,,2097874986.0,2269498382.0,1355082440.0,482783709.0,383023569.0,357541990.0,412475132.0,,,,,,,,,,
.. Dự phòng phải thu ngắn hạn khó đòi__1,-1977873495.0,-1981147045.0,-1113187913.0,-497452335.0,-291302085.0,-294455705.0,-211622485.0,-133370710.0,,,,,,,,,,,,,
. Tài sản thiếu chờ xử lý__1,,,,,,,,,,,,,,,,,,,,,
. Hàng tồn kho__1,57552195247.0,52253870499.0,49977844655.0,44579293341.0,75284375021.0,72321821498.0,53194843068.0,57475342440.0,61099815269.0,33992990603.0,21789555996.0,,,,,,,,,,
.. Hàng tồn kho__1,59190504975.0,56457114824.0,50815435848.0,46791662885.0,78992482640.0,73693433598.0,53539542785.0,57475342440.0,61099815269.0,33992990603.0,21789555996.0,,,,,,,,,,
.. Dự phòng giảm giá hàng tồn kho__1,-1638309728.0,-4203244325.0,-837591193.0,-2212369544.0,-3708107619.0,-1371612100.0,-344699717.0,,,,,,,,,,,,,,
. Tài sản ngắn hạn khác__1,3974004983.0,6458299331.0,4794818649.0,4317481925.0,5895216537.0,9477979072.0,11548633344.0,7598454647.0,3643779515.0,1572800321.0,471829897.0,,,,,,,,,,
.. Chi phí trả trước ngắn hạn__1,1481748565.0,2284992484.0,1078322244.0,543433277.0,1262466686.0,1813474232.0,1834249787.0,1661921102.0,1418279856.0,561723315.0,69062447.0,,,,,,,,,,
.. Thuế GTGT được khấu trừ__1,2492256418.0,4172306847.0,3716496405.0,3721032029.0,3981503056.0,7664246360.0,9696690202.0,4843396682.0,2155904837.0,623811355.0,279660778.0,,,,,,,,,,
.. Thuế và các khoản khác phải thu Nhà nước__1,,1000000.0,,53016619.0,651246795.0,258480.0,17693355.0,922271571.0,,,,,,,,,,,,,
. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,,
.. Tài sản ngắn hạn khác__1,,,,,,,,170865292.0,69594822.0,387265651.0,123106672.0,,,,,,,,,,
II - TÀI SẢN DÀI HẠN__1,125687669223.0,130465340987.0,126192425307.0,133311704367.0,147176898038.0,160716342416.0,126052016110.0,24221894394.0,28954760345.0,34142873345.0,41090354308.0,,,,,,,,,,
. Các khoản phải thu dài hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn của khách hàng__1,,,,,,,,,,,,,,,,,,,,,
. Trả trước cho người bán dài hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Vốn kinh doanh ở đơn vị trực thuộc__1,,,,,,,,,,,,,,,,,,,,,
.. Phải thu nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay dài hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn khác__1,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng phải thu khó đòi__1,,,,,,,,,,,,,,,,,,,,,
. Tài sản cố định__1,112106151343.0,116127409807.0,115345984666.0,122397454311.0,134192081232.0,146962736427.0,15175137928.0,16014320854.0,21681680596.0,23855110419.0,31536036885.0,,,,,,,,,,
.. Tài sản cố định hữu hình__1,109781531933.0,113729042009.0,112873868475.0,118188907675.0,129731641709.0,142250404019.0,10270294137.0,13173462748.0,18767074110.0,20903629743.0,28584556209.0,,,,,,,,,,
- Nguyên giá__1,258943433000.0,252296448405.0,251875190327.0,243835756394.0,242664642007.0,241773149882.0,96274192801.0,94501819391.0,93506504130.0,89972491230.0,89052756796.0,,,,,,,,,,
- Giá trị hao mòn luỹ kế__1,-149161901067.0,-138567406396.0,-139001321852.0,-125646848719.0,-112933000298.0,-99522745863.0,-86003898664.0,-81328356643.0,-74739430020.0,-69068861487.0,-60468200587.0,,,,,,,,,,
.. Tài sản cố định thuê tài chính__1,,,,1662682056.0,1840826558.0,2018971062.0,2137734065.0,,,,,,,,,,,,,,
- Nguyên giá__2,,,,2137734065.0,2137734065.0,2137734065.0,2137734065.0,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__2,,,,-475052009.0,-296907507.0,-118763003.0,,,,,,,,,,,,,,,
.. Tài sản cố định vô hình__1,2324619410.0,2398367798.0,2472116191.0,2545864580.0,2619612965.0,2693361346.0,2767109726.0,2840858106.0,2914606486.0,2951480676.0,2951480676.0,,,,,,,,,,
- Nguyên giá__3,3750673200.0,3750673200.0,3750673200.0,3750673200.0,3750673200.0,3750673200.0,3750673200.0,3750673200.0,3750673200.0,3750673200.0,3750673200.0,,,,,,,,,,
- Giá trị hao mòn luỹ kế__3,-1426053790.0,-1352305402.0,-1278557009.0,-1204808620.0,-1131060235.0,-1057311854.0,-983563474.0,-909815094.0,-836066714.0,-799192524.0,-799192524.0,,,,,,,,,,
. Bất động sản đầu tư__1,,,,,,,,,,,,,,,,,,,,,
- Nguyên giá__4,,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__4,,,,,,,,,,,,,,,,,,,,,
. Tài sản dở dang dài hạn__1,,590000000.0,104648000.0,12090380.0,734137753.0,41172000.0,103027195684.0,,,,,,,,,,,,,,
". Chi phí sản xuất, kinh doanh dở dang dài hạn__1",,,,,,,,,,,,,,,,,,,,,
. Chi phí xây dựng cơ bản dở dang__1,,590000000.0,104648000.0,12090380.0,734137753.0,41172000.0,103027195684.0,,,,,,,,,,,,,,
. Đầu tư tài chính dài hạn__1,,,,,,,,,,,,,,,,,,,,,
. Đầu tư vào công ty con__1,,,,,,,,,,,,,,,,,,,,,
". Đầu tư vào công ty liên kết, liên doanh__1",,,,,,,,,,,,,,,,,,,,,
. Đầu tư góp vốn vào đơn vị khác__1,,,,,,,,,,,,,,,,,,,,,
