field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002]
.. Dự phòng giảm giá hàng tồn kho__1,,,,,,,,,,,,,,,,,,,,
. Tài sản ngắn hạn khác__1,5110997960.0,5404468315.0,10198431032.0,8970297099.0,1995615861.0,1720662724.0,1423743380.0,,,,,,,,,,,,,
.. Chi phí trả trước ngắn hạn__1,724175859.0,1216715031.0,10198431032.0,7726654240.0,1971163319.0,1720662724.0,1423743380.0,,,,,,,,,,,,,
.. Thuế GTGT được khấu trừ__1,197885349.0,140025956.0,,,24452542.0,,,,,,,,,,,,,,,
.. Thuế và các khoản khác phải thu Nhà nước__1,4188936752.0,4047727328.0,,1243642859.0,,,,,,,,,,,,,,,,
. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,
.. Tài sản ngắn hạn khác__1,,,,,,,,,,,,,,,,,,,,
II - TÀI SẢN DÀI HẠN__1,195267568499.0,213114858139.0,247759884560.0,255573006500.0,239525609822.0,258316582336.0,254326578206.0,,,,,,,,,,,,,
. Các khoản phải thu dài hạn__1,2395025000.0,2217525000.0,2184525000.0,1237534000.0,1057534000.0,1043965000.0,1041465000.0,,,,,,,,,,,,,
.. Phải thu dài hạn của khách hàng__1,,,,,,,,,,,,,,,,,,,,
. Trả trước cho người bán dài hạn__1,,,,,,,,,,,,,,,,,,,,
.. Vốn kinh doanh ở đơn vị trực thuộc__1,,,,,,,,,,,,,,,,,,,,
.. Phải thu nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay dài hạn__1,,,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn khác__1,2395025000.0,2217525000.0,2184525000.0,1237534000.0,1057534000.0,1043965000.0,1041465000.0,,,,,,,,,,,,,
.. Dự phòng phải thu khó đòi__1,,,,,,,,,,,,,,,,,,,,
. Tài sản cố định__1,53222243130.0,57500885789.0,64073113938.0,69971660905.0,71487850725.0,76677267320.0,84371044583.0,,,,,,,,,,,,,
.. Tài sản cố định hữu hình__1,52008023107.0,55993251620.0,62111845567.0,68641024562.0,69952282354.0,74793404548.0,82554566803.0,,,,,,,,,,,,,
- Nguyên giá__1,154166726607.0,155696248805.0,154828548805.0,154045009753.0,147472665517.0,145313199221.0,152484393654.0,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__1,-102158703500.0,-99702997185.0,-92716703238.0,-85403985191.0,-77520383163.0,-70519794673.0,-69929826851.0,,,,,,,,,,,,,
.. Tài sản cố định thuê tài chính__1,,,,,,,,,,,,,,,,,,,,
- Nguyên giá__2,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__2,,,,,,,,,,,,,,,,,,,,
.. Tài sản cố định vô hình__1,1214220023.0,1507634169.0,1961268371.0,1330636343.0,1535568371.0,1883862772.0,1816477780.0,,,,,,,,,,,,,
- Nguyên giá__3,4141037044.0,4141037044.0,4141037044.0,3060837044.0,2822837044.0,3096623044.0,2626523601.0,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__3,-2926817021.0,-2633402875.0,-2179768673.0,-1730200701.0,-1287268673.0,-1212760272.0,-810045821.0,,,,,,,,,,,,,
. Bất động sản đầu tư__1,24518745080.0,25762051760.0,27007161864.0,28275307968.0,20299387326.0,26502869794.0,18230700121.0,,,,,,,,,,,,,
- Nguyên giá__4,36741573937.0,36741573937.0,36741573937.0,36741573937.0,27853048219.0,43654651828.0,19406894819.0,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__4,-12222828857.0,-10979522177.0,-9734412073.0,-8466265969.0,-7553660893.0,-17151782034.0,-1176194698.0,,,,,,,,,,,,,
. Tài sản dở dang dài hạn__1,194182533.0,194182533.0,194182533.0,534182533.0,6287699441.0,1603279571.0,8846494292.0,,,,,,,,,,,,,
". Chi phí sản xuất, kinh doanh dở dang dài hạn__1",,,,,,,,,,,,,,,,,,,,
. Chi phí xây dựng cơ bản dở dang__1,194182533.0,194182533.0,194182533.0,534182533.0,6287699441.0,1603279571.0,8846494292.0,,,,,,,,,,,,,
. Đầu tư tài chính dài hạn__1,87618224173.0,95275838323.0,115167180933.0,102062287175.0,106740763323.0,101523076448.0,102577610394.0,,,,,,,,,,,,,
. Đầu tư vào công ty con__1,,,16207561312.0,,,,,,,,,,,,,,,,,
". Đầu tư vào công ty liên kết, liên doanh__1",91546951082.0,91546951082.0,91546951082.0,93108151082.0,101273202933.0,90813644950.0,85947132209.0,,,,,,,,,,,,,
. Đầu tư góp vốn vào đơn vị khác__1,11392735540.0,11392735540.0,11392735540.0,11392735540.0,7496486938.0,10709431498.0,16630478185.0,,,,,,,,,,,,,
. Dự phòng giảm giá đầu tư dài hạn__1,-15321462449.0,-7663848299.0,-3980067001.0,-2438599447.0,-2028926548.0,,,,,,,,,,,,,,,
. Đầu tư nắm giữ đến ngày đáo hạn__1,,,,,,,,,,,,,,,,,,,,
. Tài sản dài hạn khác__1,27319148583.0,32164374734.0,39133720292.0,53492033919.0,33652375007.0,50966124203.0,39259263816.0,,,,,,,,,,,,,
. Chi phí trả trước dài hạn__1,27319148583.0,32164374734.0,39133720292.0,53492033919.0,33652375007.0,43133016856.0,39244510563.0,,,,,,,,,,,,,
. Tài sản thuế thu nhập hoãn lại__1,,,,,,,14753253.0,,,,,,,,,,,,,
". Thiết bị, vật tư, phụ tùng thay thế dài hạn__1",,,,,,,,,,,,,,,,,,,,
. Tài sản dài hạn khác__2,,,,,,,,,,,,,,,,,,,,
". Ký quỹ, ký cược dài hạn__1",,,,,,,,,,,,,,,,,,,,
. Lợi thế thương mại__1,,,,,,7833107347.0,,,,,,,,,,,,,,
Tổng cộng tài sản__1,306758775912.0,348454517927.0,444293606965.0,397484417736.0,431212327142.0,395957384939.0,352471028127.0,,,,,,,,,,,,,
I - NỢ PHẢI TRẢ__1,130676805849.0,148340893397.0,176143130513.0,128576648645.0,171850369831.0,140335379085.0,84457304214.0,,,,,,,,,,,,,
. Nợ ngắn hạn__1,94523263151.0,119287660483.0,149729113383.0,102135120799.0,144356228201.0,109260782857.0,38831478704.0,,,,,,,,,,,,,
.. Phải trả người bán ngắn hạn__1,11746398092.0,17369243165.0,17998491085.0,18164428946.0,17248605615.0,8939008489.0,10989730156.0,,,,,,,,,,,,,
.. Người mua trả tiền trước ngắn hạn__1,6853051690.0,5171470289.0,11757147189.0,14566518899.0,20774274421.0,16022678118.0,9391344339.0,,,,,,,,,,,,,
..Thuế và các khoản phải nộp Nhà nước__1,116100092.0,3113900823.0,2359764265.0,1656741175.0,2490730167.0,4637265501.0,3108234392.0,,,,,,,,,,,,,
.. Phải trả người lao động__1,2300000000.0,1951464307.0,8753065600.0,8842689000.0,8219422100.0,7930187750.0,6047277540.0,,,,,,,,,,,,,
.. Chi phí phải trả ngắn hạn__1,1499343307.0,5847530173.0,2549683967.0,1953838406.0,2061389116.0,2458408729.0,1345394636.0,,,,,,,,,,,,,
.. Phải trả nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
.. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,
.. Doanh thu chưa thực hiện ngắn hạn__1,17141802329.0,16178209833.0,9991825625.0,10388886939.0,8411258233.0,5800794267.0,3094432303.0,,,,,,,,,,,,,
.. Phải trả ngắn hạn khác__1,4109996403.0,7392622751.0,5713282938.0,5698330402.0,27232472656.0,24702225824.0,2976936213.0,,,,,,,,,,,,,
.. Vay và nợ thuê tài chính ngắn hạn__1,41864458000.0,53371105904.0,88654327167.0,36958139085.0,49936456762.0,36475821750.0,,,,,,,,,,,,,,
.. Dự phòng phải trả ngắn hạn__1,8892113238.0,8892113238.0,1951525547.0,3905547947.0,5748014381.0,,,,,,,,,,,,,,,
". Quỹ khen thưởng, phúc lợi__1",,,,,2233604750.0,2294392429.0,1878129125.0,,,,,,,,,,,,,
.. Quỹ bình ổn giá__1,,,,,,,,,,,,,,,,,,,,
.. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,
. Nợ dài hạn__1,36153542698.0,29053232914.0,26414017130.0,26441527846.0,27494141630.0,31074596228.0,45625825510.0,,,,,,,,,,,,,
.. Phải trả dài hạn người bán__1,,,,,,,,,,,,,,,,,,,,
. Người mua trả tiền trước dài hạn__1,,,,,,,,,,,,,,,,,,,,
. Chi phí phải trả dài hạn__1,,,,,,,,,,,,,,,,,,,,
. Phải trả nội bộ về vốn kinh doanh__1,,,,,,,,,,,,,,,,,,,,
. Phải trả dài hạn nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,,
. Doanh thu chưa thực hiện dài hạn__1,10821231898.0,11827858114.0,12834484330.0,13841110546.0,14847736762.0,15854362978.0,17867615410.0,,,,,,,,,,,,,
.. Phải trả dài hạn khác__1,25332310800.0,17225374800.0,13579532800.0,12600417300.0,10070996868.0,10069417250.0,17456578100.0,,,,,,,,,,,,,
. Vay và nợ thuê tài chính dài hạn__1,,,,,2575408000.0,5150816000.0,10301632000.0,,,,,,,,,,,,,
. Trái phiếu chuyển đổi__1,,,,,,,,,,,,,,,,,,,,
. Thuế thu nhập hoãn lại phải trả__1,,,,,,,,,,,,,,,,,,,,
.. Dự phòng phải trả dài hạn__1,,,,,,,,,,,,,,,,,,,,
.. Quỹ phát triển khoa học và công nghệ__1,,,,,,,,,,,,,,,,,,,,
II - VỐN CHỦ SỞ HỮU__1,176081970063.0,200113624530.0,268150476452.0,268907769091.0,259361957311.0,255622005854.0,268013723913.0,,,,,,,,,,,,,
I. Vốn chủ sở hữu__1,176081970063.0,200113624530.0,268150476452.0,268907769091.0,259361957311.0,255622005854.0,268013723913.0,,,,,,,,,,,,,
. Vốn góp của chủ sở hữu__1,250000000000.0,250000000000.0,250000000000.0,250000000000.0,250000000000.0,250000000000.0,250000000000.0,,,,,,,,,,,,,
- Cổ phiếu phổ thông có quyền biểu quyết__1,250000000000.0,250000000000.0,250000000000.0,250000000000.0,250000000000.0,250000000000.0,250000000000.0,,,,,,,,,,,,,
- Cổ phiếu ưu đãi__1,,,,,,,,,,,,,,,,,,,,
