field,[2021],[2020],[2019],[2018],[2017],[2016],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2006],[2005],[2002],[2001],[1999],[1998],[1997],[2015],[2007],[2004],[2003]
. Doanh thu bán hàng và cung cấp dịch vụ__1,134110305244.0,122651245150.0,225542898242.0,219916892024.0,225795571644.0,278648773346.0,441396275416.0,537068098296.0,486776790489.0,640620122323.0,512557289371.0,475598089252.0,401073619302.0,338576047730.0,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,,1764722520.0,9420961893.0,1653001976.0,1606384800.0,3870567472.0,2379534848.0,3581178129.0,1209665043.0,1323809074.0,12154592124.0,12222115600.0,2556512600.0,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,134110305244.0,120886522630.0,216121936349.0,218263890048.0,224189186844.0,274778205874.0,439016740568.0,533486920167.0,485567125446.0,639296313249.0,500402697247.0,463375973652.0,398517106702.0,338576047730.0,,,,,,,,,,
. Giá vốn hàng bán__1,126638446298.0,120739525348.0,194982437674.0,195139379102.0,205602824635.0,253726836877.0,395911696402.0,471142801812.0,432823220354.0,526645101309.0,406929607918.0,368758129584.0,330426778368.0,292062345165.0,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,7471858946.0,146997282.0,21139498675.0,23124510946.0,18586362209.0,21051368997.0,43105044166.0,62344118355.0,52743905092.0,112651211940.0,93473089329.0,94617844068.0,68090328334.0,46513702565.0,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,4419482077.0,3002310313.0,5365438208.0,7347930282.0,4485344396.0,4398044159.0,8542437970.0,2991238807.0,7702621038.0,25792791306.0,27313146577.0,65881478946.0,24935638589.0,417128881.0,,,,,,,,,,
. Chi phí tài chính__1,207910426.0,225236031.0,135959609.0,312510941.0,-1161839809.0,2533438942.0,612869021.0,411451490.0,3235526940.0,5138971336.0,12784071884.0,39365550879.0,48396237969.0,2833472920.0,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,99939316.0,215894445.0,149788570.0,,,737750739.0,333714617.0,369259336.0,339324616.0,1014039540.0,751602737.0,184132026.0,164588742.0,2248635869.0,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,6242311631.0,8182671805.0,9405642814.0,9810361128.0,12077375014.0,13891210831.0,29113198590.0,41050547512.0,33734661858.0,40978991239.0,46729429096.0,48720358172.0,35100639614.0,22929995938.0,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,6424610723.0,7866720432.0,9863117856.0,9717449618.0,8407367160.0,7510575347.0,10158678522.0,12898438531.0,9977088488.0,14424100538.0,11128524067.0,9773860155.0,8098965825.0,8244668920.0,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,-983491757.0,-13125320673.0,7100216604.0,10632119541.0,3748804240.0,1514188036.0,11762736003.0,10974919629.0,13499248844.0,77901940133.0,50144210859.0,62639553808.0,1430123515.0,12922693668.0,,,,,,,,,,
. Thu nhập khác__1,5017550308.0,1203200579.0,3236837475.0,1355076542.0,62716688.0,490676950.0,310909199.0,397237146.0,16192349899.0,1252997780.0,501610343.0,796954980.0,1814861536.0,7832349567.0,,,,,,,,,,
. Chi phí khác__1,3806478197.0,73205071.0,71875231.0,75816657.0,2636147420.0,100713975.0,360138327.0,441883897.0,11867846127.0,632776913.0,109989217.0,655313948.0,14884144.0,837226798.0,,,,,,,,,,
. Lợi nhuận khác__1,1211072111.0,1129995508.0,3164962244.0,1279259885.0,-2573430732.0,389962975.0,-49229128.0,-44646751.0,4324503772.0,620220867.0,391621126.0,141641032.0,1799977392.0,6995122769.0,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,227580354.0,-11995325165.0,10265178848.0,11911379426.0,1175373508.0,1904151011.0,11713506875.0,10930272878.0,17823752616.0,78522161000.0,50535831985.0,62781194840.0,3230100907.0,19917816437.0,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,,,1718235596.0,2548062623.0,61763690.0,383591293.0,1386052311.0,3722807487.0,3368356678.0,14485871416.0,4296609918.0,11771365815.0,792828518.0,1493836233.0,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,2070343.0,-27979306.0,238103096.0,-227913878.0,-17988268.0,-48962964.0,1446172494.0,-979886952.0,454884756.0,39097168.0,564405313.0,-1503445900.0,31009097.0,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,225510011.0,-11967345859.0,8308840156.0,9591230681.0,1131598086.0,1569522682.0,8881282070.0,8187352343.0,14000511182.0,63997192416.0,45674816754.0,52513274925.0,2406263292.0,18423980204.0,,,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,225510011.0,-11967345859.0,8308840156.0,9591230681.0,1131598086.0,1569522682.0,8881282070.0,8187352343.0,14000511182.0,63997192416.0,45674816754.0,52513274925.0,2406263292.0,18423980204.0,,,,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,22.0,-1145.0,700.0,881.0,95.0,129.0,894.0,824.0,1562.0,6647.0,4075.0,4976.0,297.0,9212.0,,,,,,,,,,
. Lãi suy giảm trên cổ phiếu__1,22.0,-1145.0,700.0,881.0,95.0,129.0,,,,,,,,,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,,,,,
I - TÀI SẢN NGẮN HẠN__1,163042481781.0,171282053841.0,185708953316.0,185331960146.0,196300575712.0,211692755720.0,231503666882.0,235018658799.0,224235786436.0,249859019258.0,249309682154.0,279226997163.0,216187555332.0,59880556291.0,,,,,,,270531281331.0,237079186419.0,,
. Tiền và các khoản tương đương tiền__1,61812295456.0,26258747855.0,13793393220.0,11098787731.0,13656304758.0,13386493510.0,55865516720.0,54686997644.0,42872361640.0,49648277426.0,76365463774.0,128442791176.0,62523760431.0,6702658991.0,,,,,,,27955052472.0,106309039705.0,,
..Tiền__1,12812295456.0,15258747855.0,13793393220.0,11098787731.0,3656304758.0,8386493510.0,11865516720.0,27686997644.0,3072361640.0,27148277426.0,25165463774.0,38884091176.0,10623760431.0,6702658991.0,,,,,,,27955052472.0,34309039705.0,,
