field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001],[2000],[1999]
. Doanh thu bán hàng và cung cấp dịch vụ__1,2618253996316.0,1855006595313.0,1575879320250.0,1114094273491.0,1990917189159.0,1649930898590.0,975098385347.0,17394727270.0,5404660495.0,,,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,28795402541.0,61675185.0,,773279397.0,33672980.0,1526085588.0,56036597.0,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,2589458593775.0,1854944920128.0,1575879320250.0,1113320994094.0,1990883516179.0,1648404813002.0,975042348750.0,17394727270.0,5404660495.0,,,,,,,,,,,,,,
. Giá vốn hàng bán__1,1650466787299.0,1434689298404.0,1296835969473.0,881947146239.0,1758010033594.0,1441903752131.0,877485516369.0,780000000.0,1774336314.0,,,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,938991806476.0,420255621724.0,279043350777.0,231373847855.0,232873482585.0,206501060871.0,97556832381.0,16614727270.0,3630324181.0,,,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,2346063057042.0,854305930333.0,327474585666.0,208628320184.0,264328714717.0,210684653619.0,59128625265.0,4900797967.0,4367138.0,,,,,,,,,,,,,,
. Chi phí tài chính__1,1483743470592.0,554636710060.0,185468325232.0,224878059174.0,242281415109.0,180715036450.0,19169804040.0,,263023200.0,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,1012043165222.0,302906288145.0,176139970926.0,169643124063.0,55499008856.0,14775729388.0,16677024758.0,,,,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",-56409574561.0,-52390007604.0,15980445945.0,-3807773282.0,-1052439347.0,-1700095670.0,9650301405.0,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,98413395312.0,110384533662.0,71375466552.0,64443731118.0,74652901229.0,64776248332.0,16472692391.0,,,,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,369133623849.0,222506858853.0,176125224111.0,105831576188.0,98970759595.0,84792351651.0,61311929130.0,2431160558.0,3209868511.0,,,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,1277354799204.0,334643441878.0,189529366493.0,41041028277.0,80244682022.0,85201982387.0,69381333490.0,19084364679.0,161799608.0,,,,,,,,,,,,,,
. Thu nhập khác__1,11749421741.0,12260760294.0,8998123436.0,4373293319.0,2327328249.0,2082524097.0,2731011645.0,404545.0,,,,,,,,,,,,,,,
. Chi phí khác__1,23145374511.0,13655214226.0,6193039189.0,9812196871.0,3476877717.0,1057498322.0,1217139648.0,97312674.0,20116075.0,,,,,,,,,,,,,,
. Lợi nhuận khác__1,-11395952770.0,-1394453932.0,2805084247.0,-5438903552.0,-1149549468.0,1025025775.0,1513871997.0,-96908129.0,-20116075.0,,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,1265958846434.0,333248987946.0,192334450740.0,35602124725.0,79095132554.0,86227008162.0,70895205487.0,18987456550.0,141683533.0,,,,,,,,,,,,,,
