field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001],[2000]
. Doanh thu bán hàng và cung cấp dịch vụ__1,254578699126.0,259599857377.0,262067563242.0,246436309611.0,212356946515.0,199586072563.0,,,,,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,,,,,,,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,254578699126.0,259599857377.0,262067563242.0,246436309611.0,212356946515.0,199586072563.0,,,,,,,,,,,,,,,,
. Giá vốn hàng bán__1,230219930294.0,234092887909.0,232960802116.0,220988072537.0,193811351445.0,179754886837.0,,,,,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,24358768832.0,25506969468.0,29106761126.0,25448237074.0,18545595070.0,19831185726.0,,,,,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,944803270.0,1123121252.0,585522655.0,124294113.0,88860570.0,756974173.0,,,,,,,,,,,,,,,,
. Chi phí tài chính__1,7500.0,38500.0,,52301750.0,,,,,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,,,,52301750.0,,,,,,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,,,,,33731001.0,,,,,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,13019227548.0,13195936850.0,14984880604.0,12389065802.0,10581975744.0,10945596810.0,,,,,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,12284337054.0,13434115370.0,14707403177.0,13131163635.0,8018748895.0,9642563089.0,,,,,,,,,,,,,,,,
. Thu nhập khác__1,505781764.0,922054607.0,57727275.0,13359092.0,613596267.0,36620905.0,,,,,,,,,,,,,,,,
. Chi phí khác__1,728230173.0,503236083.0,379630016.0,224977078.0,342361844.0,21488601.0,,,,,,,,,,,,,,,,
. Lợi nhuận khác__1,-222448409.0,418818524.0,-321902741.0,-211617986.0,271234423.0,15132304.0,,,,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,12061888645.0,13852933894.0,14385500436.0,12919545649.0,8289983318.0,9657695393.0,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,1327581713.0,1711496850.0,1656313552.0,1357901839.0,930291013.0,1076339958.0,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,10734306932.0,12141437044.0,12729186884.0,11561643810.0,7359692305.0,8581355435.0,,,,,,,,,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,,,,,,,,,,,,,,,
