field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001],[2000],[1999]
. Doanh thu bán hàng và cung cấp dịch vụ__1,519482152543.0,376790734834.0,365865490239.0,388637381881.0,272608171585.0,322819971378.0,306863524831.0,299852828173.0,281130221494.0,275752922928.0,236179579068.0,159900137195.0,135943024111.0,112472993559.0,103997313427.0,,,,,,,,
. Các khoản giảm trừ doanh thu__1,1513347100.0,1080423600.0,,,231489000.0,,,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,517968805443.0,375710311234.0,365865490239.0,388637381881.0,272376682585.0,322819971378.0,306863524831.0,299852828173.0,281130221494.0,275752922928.0,236179579068.0,159900137195.0,135943024111.0,112472993559.0,103997313427.0,,,,,,,,
. Giá vốn hàng bán__1,420170198433.0,307591014544.0,312356150449.0,319061587557.0,225418690783.0,271413107175.0,246109289456.0,245173775891.0,233545224420.0,228154489750.0,198060962362.0,131640927506.0,116383671878.0,100043085802.0,90850118798.0,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,97798607010.0,68119296690.0,53509339790.0,69575794324.0,46957991802.0,51406864203.0,60754235375.0,54679052282.0,47584997074.0,47598433178.0,38118616706.0,28259209689.0,19559352233.0,12429907757.0,13147194629.0,,,,,,,,
. Doanh thu hoạt động tài chính__1,1180257970.0,1343132134.0,368776170.0,1216530967.0,1093040018.0,1437387410.0,1496632481.0,952661832.0,1388804950.0,1556013516.0,709235337.0,317291675.0,115814454.0,145975372.0,95042131.0,,,,,,,,
. Chi phí tài chính__1,1693379884.0,363459722.0,2075268045.0,1053404665.0,220986408.0,914090320.0,691795640.0,1328134791.0,2432506940.0,2642980170.0,2574917527.0,3178777782.0,3048363179.0,4005906490.0,2197278198.0,,,,,,,,
- Trong đó: Chi phí lãi vay__1,1525328840.0,227072619.0,2035754491.0,961818909.0,156857621.0,834324432.0,597195210.0,1180265914.0,2396110446.0,2597898598.0,2502832771.0,3043245738.0,3018277043.0,3956219636.0,2157228752.0,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,12454302686.0,8980366564.0,7086604734.0,8215344687.0,7965809102.0,12164371451.0,13020181917.0,13990205245.0,11428159663.0,9411280960.0,7634525580.0,6127464340.0,5116780184.0,4303379449.0,3609326784.0,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,17777272058.0,23731375160.0,16203496711.0,20874114241.0,14053840904.0,16532356284.0,10554127927.0,19288529800.0,14715645322.0,14669771831.0,10568739401.0,9637314853.0,6766506093.0,3588878190.0,4574341482.0,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,67053910352.0,36387227378.0,28512746470.0,40649461698.0,25810395406.0,23233433558.0,37984762372.0,21024844278.0,20397490099.0,22430413733.0,18049669535.0,9632944389.0,4743517231.0,677719000.0,2861290296.0,,,,,,,,
. Thu nhập khác__1,355625791.0,284309092.0,127375287.0,15156970.0,,184982683.0,182659090.0,313636364.0,31809397.0,856546514.0,390464685.0,241396315.0,69634350.0,150432424.0,26238605.0,,,,,,,,
. Chi phí khác__1,101186355.0,1147315930.0,2921980105.0,88505835.0,1457896725.0,1183924068.0,752104764.0,22000000.0,122719246.0,37062405.0,338746341.0,24310070.0,80959490.0,91681263.0,67888926.0,,,,,,,,
. Lợi nhuận khác__1,254439436.0,-863006838.0,-2794604818.0,-73348865.0,-1457896725.0,-998941385.0,-569445674.0,291636364.0,-90909849.0,819484109.0,51718344.0,217086245.0,-11325140.0,58751161.0,-41650321.0,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,67308349788.0,35524220540.0,25718141652.0,40576112833.0,24352498681.0,22234492173.0,37415316698.0,21316480642.0,20306580250.0,23249897842.0,18101387879.0,9850030634.0,4732192091.0,736470161.0,2819639975.0,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,10057222158.0,5407884028.0,4215878173.0,5936509790.0,9671409531.0,3198556066.0,5424121694.0,4283758848.0,4131508878.0,3017496441.0,1592915734.0,1082245899.0,520363760.0,121033238.0,224561352.0,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,,,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,57251127630.0,30116336512.0,21502263479.0,34639603043.0,14681089150.0,19035936107.0,31991195004.0,17032721793.0,16175071372.0,20232401401.0,16508472145.0,8767784735.0,4211828331.0,615436923.0,2595078623.0,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,57251127630.0,30116336512.0,21502263479.0,34639603043.0,14681089150.0,19035936107.0,31991195004.0,17032721793.0,16175071372.0,20232401401.0,16508472145.0,8767784735.0,4211828331.0,615436923.0,2595078623.0,,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,10059.0,5292.0,3778.0,6695.0,2832.0,4411.0,8656.0,5009.0,4761.0,11964.0,9762.0,8042.0,3864.0,560.0,2557.0,,,,,,,,
. Lãi suy giảm trên cổ phiếu__1,,,,,,,,,,,,,,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,,,,
I - TÀI SẢN NGẮN HẠN__1,100667134097.0,76364131676.0,76620474829.0,95903149740.0,91562318670.0,78542648851.0,76647699984.0,62099526513.0,,62563124467.0,41305703059.0,37309729340.0,22446585360.0,26977938143.0,18761779483.0,,,,,,,,
. Tiền và các khoản tương đương tiền__1,78943429566.0,39632790637.0,50545556785.0,12459337966.0,11039159664.0,32455265230.0,23491834910.0,20814666125.0,,29690263885.0,9123422686.0,8891668491.0,5258730900.0,2756964101.0,1585382304.0,,,,,,,,
..Tiền__1,11843429566.0,4032790637.0,6945556785.0,12459337966.0,8039159664.0,2725215230.0,5161784910.0,2914666125.0,,12984349243.0,6523422686.0,6921668491.0,5258730900.0,2756964101.0,1585382304.0,,,,,,,,
..Các khoản tương đương tiền__1,67100000000.0,35600000000.0,43600000000.0,,3000000000.0,29730050000.0,18330050000.0,17900000000.0,,16705914642.0,2600000000.0,1970000000.0,,,,,,,,,,,
. Các khoản đầu tư tài chính ngắn hạn__1,,,,,,,2525545774.0,2415989180.0,,5319419842.0,,,,,,,,,,,,,
.. Chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,,,
.. Đầu tư nắm giữ đến ngày đáo hạn__1,,,,,,,2525545774.0,,,,,,,,,,,,,,,,
. Các khoản phải thu ngắn hạn__1,6157233822.0,24724125540.0,8911191854.0,12799106574.0,6894733101.0,5121217388.0,8420788060.0,7604073553.0,,5733986611.0,6199980171.0,2620388176.0,4740639706.0,7343802963.0,6531221554.0,,,,,,,,
