field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002]
. Doanh thu bán hàng và cung cấp dịch vụ__1,281196575625.0,398435637747.0,577410613142.0,628936414559.0,564447384686.0,,692085641881.0,,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,,,,,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,281196575625.0,398435637747.0,577410613142.0,628936414559.0,564447384686.0,,692085641881.0,,,,,,,,,,,,,
. Giá vốn hàng bán__1,267891968256.0,359716806562.0,588496430243.0,607350077698.0,502593666770.0,,619645731119.0,,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,13304607369.0,38718831185.0,-11085817101.0,21586336861.0,61853717916.0,,72439910762.0,,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,1168266665.0,412833010.0,273480626.0,647405780.0,4673485664.0,,696750701.0,,,,,,,,,,,,,
. Chi phí tài chính__1,4782944715.0,8911929005.0,11123488263.0,11938554170.0,10184592975.0,,2268044047.0,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,4691186382.0,6870460531.0,9714543661.0,10024441764.0,9828903649.0,,2268044047.0,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,46604616.0,118004492.0,542450500.0,1137374157.0,1020775814.0,,1263810244.0,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,49585583011.0,79609760682.0,61412689780.0,60693046814.0,55196291927.0,,62620525328.0,,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,-39942258308.0,-49508029984.0,-83890965018.0,-51535232500.0,125542864.0,,6984281844.0,,,,,,,,,,,,,
. Thu nhập khác__1,1140936398.0,5812486986.0,16424658756.0,15461074854.0,15721848631.0,,18516729054.0,,,,,,,,,,,,,
. Chi phí khác__1,25684078639.0,5733457845.0,1605132190.0,1333132376.0,10781582023.0,,1985020598.0,,,,,,,,,,,,,
. Lợi nhuận khác__1,-24543142241.0,79029141.0,14819526566.0,14127942478.0,4940266608.0,,16531708456.0,,,,,,,,,,,,,
