field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003]
.. Hàng tồn kho__1,289723600756.0,356975953720.0,,469505846539.0,404108690705.0,721296213296.0,711653416259.0,288285662526.0,244684013155.0,243416546849.0,,,,,,,,,
.. Dự phòng giảm giá hàng tồn kho__1,,,,,,,,,,,,,,,,,,,
. Tài sản ngắn hạn khác__1,328341606353.0,122538001388.0,,299557306054.0,104755752520.0,376046653902.0,294651737319.0,477717264970.0,484307324934.0,248553160280.0,,,,,,,,,
.. Chi phí trả trước ngắn hạn__1,13576772812.0,23383556523.0,,32501705783.0,17868964518.0,25612411826.0,36432030600.0,2465312538.0,1822867413.0,374047004.0,,,,,,,,,
.. Thuế GTGT được khấu trừ__1,91570869233.0,23159245366.0,,194016386385.0,53728777815.0,232586883004.0,160457773343.0,452810650122.0,478589300191.0,241428613506.0,,,,,,,,,
.. Thuế và các khoản khác phải thu Nhà nước__1,223193964308.0,75995199499.0,,73039213886.0,33158010187.0,117847359072.0,97761933376.0,19778997106.0,983317131.0,683368348.0,,,,,,,,,
.. Tài sản ngắn hạn khác__1,,,,,,,,2662305204.0,2911840199.0,6067131422.0,,,,,,,,,
.. Giao dịch mua bán lại trái phiếu chính phủ__1,,,,,,,,,,,,,,,,,,,
II - TÀI SẢN DÀI HẠN__1,17411530059912.0,18928112953631.0,,22259856917460.0,22819792141215.0,25185221297129.0,23036327432825.0,24024246541449.0,16050415478602.0,12723849307297.0,,,,,,,,,
. Các khoản phải thu dài hạn__1,271101804917.0,277516804917.0,,321162713296.0,352941856676.0,258668230217.0,179312342416.0,,,,,,,,,,,,
.. Phải thu dài hạn của khách hàng__1,5600000200.0,6300000200.0,,6300000200.0,,,,,,,,,,,,,,,
.. Vốn kinh doanh ở đơn vị trực thuộc__1,,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn nội bộ__1,,,,,,,,,,,,,,,,,,,
