field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001],[2000],[1999]
. Doanh thu bán hàng và cung cấp dịch vụ__1,75630790321.0,56035979443.0,56211867808.0,81796808529.0,75170432087.0,74204618432.0,72713049067.0,83510302630.0,,150494443521.0,122212114004.0,70517057816.0,86966278084.0,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,123554416.0,2111674598.0,13569500.0,151610581.0,228914187.0,563991010.0,225367072.0,284493251.0,,5072632700.0,12407685548.0,515351723.0,237672806.0,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,75507235905.0,53924304845.0,56198298308.0,81645197948.0,74941517900.0,73640627422.0,72487681995.0,83225809379.0,,145421810821.0,109804428456.0,70001706093.0,86728605278.0,,,,,,,,,,
. Giá vốn hàng bán__1,66594885510.0,53381516942.0,47379773503.0,53634030376.0,52516307369.0,50928190811.0,53691017643.0,58422087268.0,,114261015632.0,88549808566.0,55946230504.0,79503524457.0,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,8912350395.0,542787903.0,8818524805.0,28011167572.0,22425210531.0,22712436611.0,18796664352.0,24803722111.0,,31160795189.0,21254619890.0,14055475589.0,7225080821.0,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,42208242.0,760137909.0,755360338.0,170881153.0,3302837.0,6465188.0,6269424.0,8042546.0,,76274840.0,1022452115.0,116926353.0,494126785.0,,,,,,,,,,
. Chi phí tài chính__1,1360598470.0,308579337.0,66066385.0,505324993.0,2206319134.0,2295938014.0,2416893353.0,2151602724.0,,2783946009.0,6995782617.0,2922875528.0,250240059.0,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,1277018606.0,296689967.0,43233385.0,503875743.0,2206319134.0,2295938014.0,2416893353.0,2151602724.0,,2644803824.0,6608008092.0,2803130256.0,163337740.0,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,4311792262.0,3353438221.0,5516157536.0,5834868353.0,4952697042.0,4799882182.0,4284308235.0,5855072238.0,,5599431003.0,4715318640.0,2773186125.0,2872022613.0,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,9319971473.0,9502242590.0,6786471327.0,7923542164.0,9049883497.0,11598010568.0,9855111184.0,8692863235.0,,8256466646.0,6711767754.0,5961679400.0,4618328424.0,,,,,,,,,,
