field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001],[2000],[1998]
. Doanh thu bán hàng và cung cấp dịch vụ__1,,1403321665180.0,991006976885.0,1466711634956.0,1356212113695.0,1156951636811.0,913221718524.0,1158137298429.0,1027845030389.0,,,820797594068.0,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,,,112349060.0,,,,,17174158000.0,28165359720.0,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,,1403321665180.0,990894627825.0,1466711634956.0,1356212113695.0,1156951636811.0,913221718524.0,1140963140429.0,999679670669.0,,,820797594068.0,,,,,,,,,,,
. Giá vốn hàng bán__1,,1346638981510.0,985419408801.0,1375272772770.0,1243202988955.0,1056545043840.0,903588458538.0,1092062732858.0,972889970411.0,,,755267184858.0,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,,56682683670.0,5475219024.0,91438862186.0,113009124740.0,100406592971.0,9633259986.0,48900407571.0,26789700258.0,,,65530409210.0,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,,8433903209.0,4905459335.0,4813682855.0,5490582382.0,7466969621.0,3286493870.0,8350938529.0,2805161889.0,,,2479095641.0,,,,,,,,,,,
. Chi phí tài chính__1,,16483407918.0,22343515041.0,19837761363.0,35676346854.0,21735362077.0,21774841808.0,23725722196.0,17740250299.0,,,28126902005.0,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,,15445826869.0,21226416488.0,15972425084.0,14262667813.0,,,21546335021.0,14290392333.0,,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,,20867913041.0,14981482401.0,21535389244.0,22149167329.0,9206984769.0,6071938618.0,14780416460.0,19904877652.0,,,6867517763.0,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,,23777110493.0,21838715616.0,31289760822.0,26157189991.0,21869073400.0,20334001015.0,20768276866.0,21362999328.0,,,22786584016.0,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,,3988155427.0,-48783034699.0,23589633612.0,34517002948.0,55062142346.0,-35261027585.0,-2023069422.0,-29413265132.0,,,10228501067.0,,,,,,,,,,,
. Thu nhập khác__1,,1440757376.0,2785035126.0,5721424277.0,182805803.0,331686900.0,1810333640.0,3167474826.0,2801683599.0,,,9681322978.0,,,,,,,,,,,
. Chi phí khác__1,,,257369.0,1824470084.0,107649917.0,336050795.0,595082433.0,535907473.0,358193315.0,,,1364520602.0,,,,,,,,,,,
. Lợi nhuận khác__1,,1440757376.0,2784777757.0,3896954193.0,75155886.0,-4363895.0,1215251207.0,2631567353.0,2443490284.0,,,8316802376.0,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,,5428912803.0,-45998256942.0,27486587805.0,34592158834.0,55057778451.0,-34045776378.0,608497931.0,-26969774848.0,,,18545303443.0,,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,,,,5907419506.0,5433238084.0,,,,,,,3770116517.0,,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,,,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,,5428912803.0,-45998256942.0,21579168299.0,29158920750.0,55057778451.0,-34045776378.0,608497931.0,-26969774848.0,,,14775186926.0,,,,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,,5428912803.0,-45998256942.0,21579168299.0,29158920750.0,55057778451.0,-34045776378.0,608497931.0,-26969774848.0,,,14775186926.0,,,,,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,,251.0,-2130.0,999.0,1350.0,,,28.0,-1249.0,,,1393.0,,,,,,,,,,,
. Lãi suy giảm trên cổ phiếu__1,,,,,1350.0,,,,,,,,,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,,,,
I - TÀI SẢN NGẮN HẠN__1,,341501046409.0,434946929436.0,490857854727.0,507842216135.0,421173183903.0,399713254278.0,395032327076.0,,,,,,,,,,,,,,,
