field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001]
. Doanh thu bán hàng và cung cấp dịch vụ__1,112028051406.0,108888279286.0,107362098877.0,117875167592.0,101896439989.0,95119908273.0,,,,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,,,,,,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,112028051406.0,108888279286.0,107362098877.0,117875167592.0,101896439989.0,95119908273.0,,,,,,,,,,,,,,,
. Giá vốn hàng bán__1,82376339670.0,76598603893.0,75210002129.0,82039502465.0,70591568784.0,66061746243.0,,,,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,29651711736.0,32289675393.0,32152096748.0,35835665127.0,31304871205.0,29058162030.0,,,,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,237775699.0,350152587.0,386450342.0,64299965.0,732586551.0,1152389794.0,,,,,,,,,,,,,,,
. Chi phí tài chính__1,206356.0,1398079.0,,36023973.0,,,,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,,,,36023973.0,,,,,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,1986268000.0,2047021000.0,1491035000.0,1617060000.0,1498432000.0,1844137000.0,,,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,20534609030.0,18575522714.0,17400450706.0,20317638417.0,17753021882.0,16175807675.0,,,,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,7368404049.0,12015886187.0,13647061384.0,13929242702.0,12786003874.0,12190607149.0,,,,,,,,,,,,,,,
. Thu nhập khác__1,4992154935.0,921380338.0,1065650362.0,701795176.0,964340145.0,756324579.0,,,,,,,,,,,,,,,
. Chi phí khác__1,1044856643.0,1595668625.0,3172167889.0,3336257743.0,2948117592.0,1269156103.0,,,,,,,,,,,,,,,
. Lợi nhuận khác__1,3947298292.0,-674288287.0,-2106517527.0,-2634462567.0,-1983777447.0,-512831524.0,,,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,11315702341.0,11341597900.0,11540543857.0,11294780135.0,10802226427.0,11677775625.0,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,7565285268.0,3194408261.0,3420166579.0,4056691613.0,994673257.0,2253208928.0,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,-5284014800.0,-916908681.0,-941545740.0,-1788583962.0,1165775210.0,253211138.0,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,9034431873.0,9064098320.0,9061923018.0,9026672484.0,8641777960.0,9171355559.0,,,,,,,,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,9034431873.0,9064098320.0,9061923018.0,9026672484.0,8641777960.0,9171355559.0,,,,,,,,,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,1745.0,1751.0,1751.0,1744.0,1669.0,177.0,,,,,,,,,,,,,,,
. Lãi suy giảm trên cổ phiếu__1,,,,,,,,,,,,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,,
I - TÀI SẢN NGẮN HẠN__1,92773167472.0,70659892119.0,62798802226.0,53671342107.0,42214262435.0,53497448067.0,48979987821.0,,,,,,,,,,,,,,
. Tiền và các khoản tương đương tiền__1,18676800374.0,8751237794.0,13192295839.0,13649209031.0,10904564801.0,16148904721.0,19745534196.0,,,,,,,,,,,,,,
..Tiền__1,3558534818.0,599436371.0,1113387646.0,4624837818.0,1608346734.0,1357818645.0,2941372468.0,,,,,,,,,,,,,,
..Các khoản tương đương tiền__1,15118265556.0,8151801423.0,12078908193.0,9024371213.0,9296218067.0,14791086076.0,16804161728.0,,,,,,,,,,,,,,
. Các khoản đầu tư tài chính ngắn hạn__1,,,,,,764268741.0,720412778.0,,,,,,,,,,,,,,
.. Chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,
.. Đầu tư nắm giữ đến ngày đáo hạn__1,,,,,,764268741.0,720412778.0,,,,,,,,,,,,,,
. Các khoản phải thu ngắn hạn__1,6818399752.0,5248921590.0,5909948566.0,3681993729.0,2591801453.0,5771987412.0,5185212442.0,,,,,,,,,,,,,,
..Phải thu khách hàng__1,1794318000.0,1790590500.0,1381452000.0,407401000.0,2274912000.0,256697000.0,57736000.0,,,,,,,,,,,,,,
..Trả trước cho người bán__1,1657063000.0,160500000.0,540456000.0,200000000.0,,,,,,,,,,,,,,,,,
.. Phải thu nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Phải thu theo tiến độ Kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay ngắn hạn__1,,,,,,5210000000.0,4810000000.0,,,,,,,,,,,,,,
.. Các khoản phải thu khác__1,3366470052.0,3256085252.0,3947396905.0,3040545620.0,295890600.0,204394638.0,246050004.0,,,,,,,,,,,,,,
.. Dự phòng phải thu ngắn hạn khó đòi__1,,,,,,,,,,,,,,,,,,,,,
. Tài sản thiếu chờ xử lý__1,548700.0,41745838.0,40643661.0,34047109.0,20998853.0,100895774.0,71426438.0,,,,,,,,,,,,,,
. Hàng tồn kho__1,67277967346.0,56313102280.0,43307200321.0,35997287447.0,28106406374.0,30650871711.0,23208133405.0,,,,,,,,,,,,,,
.. Hàng tồn kho__1,67277967346.0,56313102280.0,43307200321.0,35997287447.0,28106406374.0,30650871711.0,23208133405.0,,,,,,,,,,,,,,
.. Dự phòng giảm giá hàng tồn kho__1,,,,,,,,,,,,,,,,,,,,,
. Tài sản ngắn hạn khác__1,,346630455.0,389357500.0,342851900.0,611489807.0,161415482.0,120695000.0,,,,,,,,,,,,,,
.. Chi phí trả trước ngắn hạn__1,,,118996500.0,91454700.0,,9434000.0,120695000.0,,,,,,,,,,,,,,
.. Thuế GTGT được khấu trừ__1,,346630455.0,270361000.0,251397200.0,,,,,,,,,,,,,,,,,
.. Thuế và các khoản khác phải thu Nhà nước__1,,,,,611489807.0,151981482.0,,,,,,,,,,,,,,,
. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,,
.. Tài sản ngắn hạn khác__1,,,,,,,,,,,,,,,,,,,,,
II - TÀI SẢN DÀI HẠN__1,43832639489.0,41808144628.0,43122886765.0,47242277063.0,45758390958.0,44041933891.0,37969962208.0,,,,,,,,,,,,,,
. Các khoản phải thu dài hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn của khách hàng__1,,,,,,,,,,,,,,,,,,,,,
. Trả trước cho người bán dài hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Vốn kinh doanh ở đơn vị trực thuộc__1,,,,,,,,,,,,,,,,,,,,,
.. Phải thu nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay dài hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn khác__1,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng phải thu khó đòi__1,,,,,,,,,,,,,,,,,,,,,
. Tài sản cố định__1,24905949238.0,29396205343.0,33144274810.0,38153796370.0,35702299691.0,36482934053.0,30659909957.0,,,,,,,,,,,,,,
.. Tài sản cố định hữu hình__1,24905949238.0,29396205343.0,33144274810.0,38153796370.0,35702299691.0,36482934053.0,30659909957.0,,,,,,,,,,,,,,
- Nguyên giá__1,79639172107.0,83025389978.0,81787208867.0,81522242867.0,74061763867.0,69939633111.0,59425288111.0,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__1,-54733222869.0,-53629184635.0,-48642934057.0,-43368446497.0,-38359464176.0,-33456699058.0,-28765378154.0,,,,,,,,,,,,,,
.. Tài sản cố định thuê tài chính__1,,,,,,,,,,,,,,,,,,,,,
- Nguyên giá__2,,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__2,,,,,,,,,,,,,,,,,,,,,
.. Tài sản cố định vô hình__1,,,,,,,,,,,,,,,,,,,,,
- Nguyên giá__3,,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__3,,,,,,,,,,,,,,,,,,,,,
. Bất động sản đầu tư__1,,,,,,,,,,,,,,,,,,,,,
- Nguyên giá__4,,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__4,,,,,,,,,,,,,,,,,,,,,
. Tài sản dở dang dài hạn__1,1432268300.0,1295429300.0,535263400.0,794018400.0,2929214000.0,728730000.0,152050000.0,,,,,,,,,,,,,,
". Chi phí sản xuất, kinh doanh dở dang dài hạn__1",,,,,,,,,,,,,,,,,,,,,
. Chi phí xây dựng cơ bản dở dang__1,1432268300.0,1295429300.0,535263400.0,794018400.0,2929214000.0,728730000.0,152050000.0,,,,,,,,,,,,,,
. Đầu tư tài chính dài hạn__1,,,,,,,,,,,,,,,,,,,,,
. Đầu tư vào công ty con__1,,,,,,,,,,,,,,,,,,,,,
". Đầu tư vào công ty liên kết, liên doanh__1",,,,,,,,,,,,,,,,,,,,,
. Đầu tư góp vốn vào đơn vị khác__1,,,,,,,,,,,,,,,,,,,,,
. Dự phòng giảm giá đầu tư dài hạn__1,,,,,,,,,,,,,,,,,,,,,
. Đầu tư nắm giữ đến ngày đáo hạn__1,,,,,,,,,,,,,,,,,,,,,
. Tài sản dài hạn khác__1,17494421951.0,11116509985.0,9443348555.0,8294462293.0,7126877267.0,6830269838.0,7158002251.0,,,,,,,,,,,,,,
