field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[1999],[1998],[2001],[2000]
. Doanh thu bán hàng và cung cấp dịch vụ__1,2475118748288.0,1686110693140.0,2195242396344.0,2398560602153.0,1663635765665.0,1391912398583.0,,,,,,,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,,,,,,,,,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,2475118748288.0,1686110693140.0,2195242396344.0,2398560602153.0,1663635765665.0,1391912398583.0,,,,,,,,,,,,,,,,,,
. Giá vốn hàng bán__1,941619808110.0,841814187724.0,843171721613.0,789098811425.0,792201357632.0,709002655834.0,,,,,,,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,1533498940178.0,844296505416.0,1352070674731.0,1609461790728.0,871434408033.0,682909742749.0,,,,,,,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,228533015590.0,132971353378.0,131638545109.0,131341733880.0,123774752644.0,162095441866.0,,,,,,,,,,,,,,,,,,
. Chi phí tài chính__1,64058896787.0,117086565946.0,149905783589.0,92148896115.0,108629790698.0,186920913473.0,,,,,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,62434528611.0,79749834629.0,55082600412.0,48941728266.0,56779965296.0,83490476708.0,,,,,,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",24989337871.0,-7324749545.0,6764087447.0,12020998350.0,-13365954439.0,8209412281.0,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,,,,,,,,,,,,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,73485496007.0,56507318013.0,59771753817.0,58754767277.0,54381779308.0,53228379425.0,,,,,,,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,1649476900845.0,796349225290.0,1280795769881.0,1601920859566.0,818831636232.0,613065303998.0,,,,,,,,,,,,,,,,,,
. Thu nhập khác__1,56206464.0,,83902987.0,126758482.0,480630293.0,113696796.0,,,,,,,,,,,,,,,,,,
. Chi phí khác__1,,197587824.0,6046298441.0,1078134584.0,,17176136.0,,,,,,,,,,,,,,,,,,
. Lợi nhuận khác__1,56206464.0,-197587824.0,-5962395454.0,-951376102.0,480630293.0,96520660.0,,,,,,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,1649533107309.0,796151637466.0,1274833374427.0,1600969483464.0,819312266525.0,613161824658.0,,,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,276740852125.0,135449297376.0,227317526357.0,316746641701.0,159650031461.0,117503258450.0,,,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,-359400992.0,359400992.0,,-954580123.0,954580123.0,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,1373151656176.0,660342939098.0,1047515848070.0,1285177421886.0,658707654941.0,495658566208.0,,,,,,,,,,,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,5690505164.0,1746930950.0,1228540988.0,4065369275.0,6246622316.0,3864943351.0,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,1367461151012.0,658596008148.0,1046287307082.0,1281112052611.0,652461032625.0,491793622857.0,,,,,,,,,,,,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,3237.0,,2477.0,3033.0,1545.0,1164.0,,,,,,,,,,,,,,,,,,
. Lãi suy giảm trên cổ phiếu__1,,,,,,,,,,,,,,,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,,,,,
I - TÀI SẢN NGẮN HẠN__1,2170241001990.0,1494459105437.0,1960440525002.0,2596281287493.0,1802307836313.0,2372908985259.0,,,,,,,,,,,,,,,,,,
. Tiền và các khoản tương đương tiền__1,734363672465.0,144301260966.0,730564116171.0,212882538874.0,460210215393.0,57625548166.0,,,,,,,,,,,,,,,,,,
..Tiền__1,10352843765.0,13801260966.0,123790305186.0,112882538874.0,47752305574.0,15579525336.0,,,,,,,,,,,,,,,,,,
..Các khoản tương đương tiền__1,724010828700.0,130500000000.0,606773810985.0,100000000000.0,412457909819.0,42046022830.0,,,,,,,,,,,,,,,,,,
. Các khoản đầu tư tài chính ngắn hạn__1,805543013699.0,906609863014.0,685897861813.0,1136444857992.0,268817781781.0,1427005190482.0,,,,,,,,,,,,,,,,,,
.. Chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Đầu tư nắm giữ đến ngày đáo hạn__1,805543013699.0,906609863014.0,685897861813.0,1136444857992.0,268817781781.0,1427005190482.0,,,,,,,,,,,,,,,,,,
. Các khoản phải thu ngắn hạn__1,599463041941.0,407101224604.0,452817305174.0,1202619953730.0,1037004362414.0,799505675659.0,,,,,,,,,,,,,,,,,,
..Phải thu khách hàng__1,547444087058.0,319655796608.0,358393390591.0,702724084112.0,973149579052.0,525371255037.0,,,,,,,,,,,,,,,,,,
..Trả trước cho người bán__1,3585007005.0,617453789.0,44047760014.0,214455345488.0,12812426113.0,194133819213.0,,,,,,,,,,,,,,,,,,
.. Phải thu nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Phải thu theo tiến độ Kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay ngắn hạn__1,,,,200000000000.0,,,,,,,,,,,,,,,,,,,,
.. Các khoản phải thu khác__1,49737204911.0,86827974207.0,50376154569.0,85487274130.0,51089107249.0,80000601409.0,,,,,,,,,,,,,,,,,,
.. Dự phòng phải thu ngắn hạn khó đòi__1,-1303257033.0,,,-46750000.0,-46750000.0,,,,,,,,,,,,,,,,,,,
. Tài sản thiếu chờ xử lý__1,,,,,,,,,,,,,,,,,,,,,,,,
. Hàng tồn kho__1,28666796418.0,34701177033.0,89198264643.0,41094736869.0,35937541446.0,87228856900.0,,,,,,,,,,,,,,,,,,
.. Hàng tồn kho__1,28666796418.0,34701177033.0,89198264643.0,41094736869.0,35937541446.0,87228856900.0,,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá hàng tồn kho__1,,,,,,,,,,,,,,,,,,,,,,,,
. Tài sản ngắn hạn khác__1,2204477467.0,1745579820.0,1962977201.0,3239200028.0,337935279.0,1543714052.0,,,,,,,,,,,,,,,,,,
.. Chi phí trả trước ngắn hạn__1,2204477467.0,1665330983.0,1734874568.0,299627449.0,324175940.0,1529954713.0,,,,,,,,,,,,,,,,,,
.. Thuế GTGT được khấu trừ__1,,,,2925813240.0,,,,,,,,,,,,,,,,,,,,
.. Thuế và các khoản khác phải thu Nhà nước__1,,80248837.0,228102633.0,13759339.0,13759339.0,13759339.0,,,,,,,,,,,,,,,,,,
. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Tài sản ngắn hạn khác__1,,,,,,,,,,,,,,,,,,,,,,,,
II - TÀI SẢN DÀI HẠN__1,6788445799447.0,6857512522708.0,7271262527287.0,6464944606866.0,5871980408290.0,5587323760652.0,,,,,,,,,,,,,,,,,,
. Các khoản phải thu dài hạn__1,799932824894.0,799932824894.0,799932824894.0,599932824894.0,964420123321.0,799932824894.0,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn của khách hàng__1,,,,,,,,,,,,,,,,,,,,,,,,
. Trả trước cho người bán dài hạn__1,,,,,164487298427.0,,,,,,,,,,,,,,,,,,,
.. Vốn kinh doanh ở đơn vị trực thuộc__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Phải thu nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay dài hạn__1,799932824894.0,799932824894.0,799932824894.0,599932824894.0,799932824894.0,799932824894.0,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn khác__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng phải thu khó đòi__1,,,,,,,,,,,,,,,,,,,,,,,,
. Tài sản cố định__1,5645125985715.0,5461979964333.0,5764183782771.0,3883150920002.0,4071339205066.0,4366482016977.0,,,,,,,,,,,,,,,,,,
.. Tài sản cố định hữu hình__1,5644287824864.0,5460953119682.0,5763347963176.0,3882162216603.0,4070197617863.0,4365187545970.0,,,,,,,,,,,,,,,,,,
- Nguyên giá__1,15361520809415.0,14828272944701.0,14780687683939.0,12582084046249.0,12529631270781.0,12526746350586.0,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__1,-9717232984551.0,-9367319825019.0,-9017339720763.0,-8699921829646.0,-8459433652918.0,-8161558804616.0,,,,,,,,,,,,,,,,,,
.. Tài sản cố định thuê tài chính__1,,,,,,,,,,,,,,,,,,,,,,,,
- Nguyên giá__2,,,,,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__2,,,,,,,,,,,,,,,,,,,,,,,,
.. Tài sản cố định vô hình__1,838160851.0,1026844651.0,835819595.0,988703399.0,1141587203.0,1294471007.0,,,,,,,,,,,,,,,,,,
- Nguyên giá__3,1886838057.0,1886838057.0,1528838057.0,1528838057.0,1528838057.0,1528838057.0,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__3,-1048677206.0,-859993406.0,-693018462.0,-540134658.0,-387250854.0,-234367050.0,,,,,,,,,,,,,,,,,,
. Bất động sản đầu tư__1,,,,,,,,,,,,,,,,,,,,,,,,
- Nguyên giá__4,,,,,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__4,,,,,,,,,,,,,,,,,,,,,,,,
. Tài sản dở dang dài hạn__1,5411419557.0,435135170408.0,402864223360.0,1804706088811.0,720972109699.0,285114113350.0,,,,,,,,,,,,,,,,,,
". Chi phí sản xuất, kinh doanh dở dang dài hạn__1",,,,,,,,,,,,,,,,,,,,,,,,
. Chi phí xây dựng cơ bản dở dang__1,5411419557.0,435135170408.0,402864223360.0,1804706088811.0,720972109699.0,285114113350.0,,,,,,,,,,,,,,,,,,
. Đầu tư tài chính dài hạn__1,268658696981.0,98669359110.0,288483008655.0,150977821208.0,69976822858.0,132142777297.0,,,,,,,,,,,,,,,,,,
. Đầu tư vào công ty con__1,,,,,,,,,,,,,,,,,,,,,,,,
". Đầu tư vào công ty liên kết, liên doanh__1",123318696981.0,53329359110.0,43143008655.0,39637821208.0,27616822858.0,34782777297.0,,,,,,,,,,,,,,,,,,
. Đầu tư góp vốn vào đơn vị khác__1,37360000000.0,37360000000.0,37360000000.0,37360000000.0,37360000000.0,37360000000.0,,,,,,,,,,,,,,,,,,
. Dự phòng giảm giá đầu tư dài hạn__1,,,,,,,,,,,,,,,,,,,,,,,,
. Đầu tư nắm giữ đến ngày đáo hạn__1,107980000000.0,7980000000.0,207980000000.0,73980000000.0,5000000000.0,60000000000.0,,,,,,,,,,,,,,,,,,
. Tài sản dài hạn khác__1,69316872300.0,61795203963.0,15798687607.0,26176951951.0,45272147346.0,3652028134.0,,,,,,,,,,,,,,,,,,
. Chi phí trả trước dài hạn__1,4527618178.0,8740750100.0,14086419514.0,24400771519.0,43543191679.0,1988521723.0,,,,,,,,,,,,,,,,,,
. Tài sản thuế thu nhập hoãn lại__1,,,,,,,,,,,,,,,,,,,,,,,,
". Thiết bị, vật tư, phụ tùng thay thế dài hạn__1",64789254122.0,53054453863.0,1712268093.0,1776180432.0,1728955667.0,1663506411.0,,,,,,,,,,,,,,,,,,
. Tài sản dài hạn khác__2,,,,,,,,,,,,,,,,,,,,,,,,
". Ký quỹ, ký cược dài hạn__1",,,,,,,,,,,,,,,,,,,,,,,,
. Lợi thế thương mại__1,,,,,,,,,,,,,,,,,,,,,,,,
Tổng cộng tài sản__1,8958686801437.0,8351971628145.0,9231703052289.0,9061225894359.0,7674288244603.0,7960232745911.0,,,,,,,,,,,,,,,,,,
