field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001],[2000],[1999],[1998],[1997]
. Doanh thu bán hàng và cung cấp dịch vụ__1,70513648994.0,49587118605.0,121200857215.0,107683337901.0,131410476687.0,125161471532.0,100216576597.0,133547897444.0,75656662189.0,65348484436.0,62237318420.0,105188449518.0,130737197068.0,109920419960.0,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,,,,,,,,,,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,70513648994.0,49587118605.0,121200857215.0,107683337901.0,131410476687.0,125161471532.0,100216576597.0,133547897444.0,75656662189.0,65348484436.0,62237318420.0,105188449518.0,130737197068.0,109920419960.0,,,,,,,,,,,
. Giá vốn hàng bán__1,67111777969.0,46153339396.0,116637932302.0,102981143365.0,127258221641.0,121157551961.0,96233210424.0,129697964855.0,72492200510.0,61336473651.0,57512325961.0,100691205891.0,125964016638.0,106260065693.0,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,3401871025.0,3433779209.0,4562924913.0,4702194536.0,4152255046.0,4003919571.0,3983366173.0,3849932589.0,3164461679.0,4012010785.0,4724992459.0,4497243627.0,4773180430.0,3660354267.0,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,9216569.0,6158175.0,4952756.0,187694602.0,257621543.0,343496538.0,240087393.0,208640111.0,192736762.0,655887016.0,2759705560.0,3333780833.0,2674241563.0,3270268669.0,,,,,,,,,,,
. Chi phí tài chính__1,,66645394.0,,,,,,13421579.0,506724434.0,1877537950.0,2495316364.0,1399327871.0,825527194.0,900136036.0,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,,66645394.0,,,,,,,,1877537950.0,2495316364.0,1399327871.0,825527194.0,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,3173159561.0,2958638297.0,,3273837630.0,3074798437.0,,,,,,,,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,,,3262400710.0,,,2846119664.0,2631368905.0,2297607552.0,2179800638.0,2138964761.0,2562141170.0,2258609237.0,1941095004.0,1853379942.0,,,,,,,,,,,
