field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002]
. Doanh thu bán hàng và cung cấp dịch vụ__1,157803608857.0,153539180123.0,139175749937.0,144586012825.0,147497010879.0,166425730723.0,162214595860.0,139130209161.0,113897128629.0,100552559813.0,88935484317.0,63038571831.0,47751654068.0,18305063259.0,,,,,,
. Các khoản giảm trừ doanh thu__1,,,,,,36318182.0,,2913698258.0,3430346474.0,3313637205.0,4045856751.0,1231952226.0,343035336.0,23936961.0,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,157803608857.0,153539180123.0,139175749937.0,144586012825.0,147497010879.0,166389412541.0,162214595860.0,136216510903.0,110466782155.0,97238922608.0,84889627566.0,61806619605.0,47408618732.0,18281126298.0,,,,,,
. Giá vốn hàng bán__1,87009376770.0,82947804515.0,74792352152.0,82351013110.0,86612778669.0,100765319105.0,92696059497.0,72930417404.0,58448275711.0,50871032355.0,45617570844.0,32958610425.0,26063229418.0,9425425684.0,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,70794232087.0,70591375608.0,64383397785.0,62234999715.0,60884232210.0,65624093436.0,69518536363.0,63286093499.0,52018506444.0,46367890253.0,39272056722.0,28848009180.0,21345389314.0,8855700614.0,,,,,,
. Doanh thu hoạt động tài chính__1,394367227.0,129280485.0,75880770.0,89009112.0,205207717.0,152062212.0,130559024.0,458361924.0,220416120.0,246146038.0,639337944.0,668706154.0,69239079.0,166668503.0,,,,,,
. Chi phí tài chính__1,916971405.0,1455513034.0,1195517489.0,1454069159.0,915707845.0,990729227.0,1543594050.0,686390421.0,186464489.0,1096741202.0,2854188990.0,1360792456.0,871705071.0,447926539.0,,,,,,
- Trong đó: Chi phí lãi vay__1,627905053.0,1337400044.0,1163753668.0,1245280711.0,726879006.0,766531050.0,810663620.0,389097146.0,110738526.0,1043435978.0,1476714947.0,1188603719.0,737562758.0,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,53873236823.0,49788334273.0,43857888034.0,39562042044.0,38779074086.0,43275899677.0,47721351835.0,48030617412.0,36101423020.0,31070599500.0,24308661359.0,14876179008.0,11416185398.0,4599886829.0,,,,,,
. Chi phí quản lý doanh nghiệp__1,8351115404.0,11331315147.0,9391038462.0,9031562864.0,8462194160.0,8060660489.0,7406387465.0,4993199750.0,5546946332.0,5390338528.0,6383025634.0,4167584102.0,3541336865.0,2077390894.0,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,8047275682.0,8145493639.0,10014834570.0,12276334760.0,12932463836.0,13448866255.0,12977762037.0,10034247840.0,10404088723.0,9056357061.0,6365518682.0,9112159768.0,5585401059.0,1897164855.0,,,,,,
. Thu nhập khác__1,650.0,169204119.0,150000756.0,11920.0,205222.0,6000.0,29708426.0,7188845.0,7400385.0,150838956.0,11678726.0,19985738.0,112831665.0,49222650.0,,,,,,
