field,[2021],[2020],[2019],[2018],[2017],[2015],[2013],[2012],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001],[2000],[1999],[2016],[2014],[2011],[1998]
. Doanh thu bán hàng và cung cấp dịch vụ__1,,266344642642.0,278044520730.0,280511365870.0,,,,,,,,,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,,,,,,,,,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,,266344642642.0,278044520730.0,280511365870.0,,,,,,,,,,,,,,,,,,,,
. Giá vốn hàng bán__1,,242422632380.0,246791871089.0,244693529042.0,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,,23922010262.0,31252649641.0,35817836828.0,,,,,,,,,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,,1534250817.0,882776651.0,1300354834.0,,,,,,,,,,,,,,,,,,,,
. Chi phí tài chính__1,,2519943987.0,1543282544.0,3006242933.0,,,,,,,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,,1775344030.0,1227855516.0,1615802459.0,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,,9516629939.0,8208391049.0,7450996951.0,,,,,,,,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,,14207084670.0,18978769301.0,20484678489.0,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,,-787397517.0,3404983398.0,6176273289.0,,,,,,,,,,,,,,,,,,,,
. Thu nhập khác__1,,1148059817.0,1364795279.0,1984933018.0,,,,,,,,,,,,,,,,,,,,
. Chi phí khác__1,,230722868.0,59416217.0,247499335.0,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận khác__1,,917336949.0,1305379062.0,1737433683.0,,,,,,,,,,,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,,129939432.0,4710362460.0,7913706972.0,,,,,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,,211534977.0,995472937.0,1049537549.0,,,,,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,,,,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,,-81595545.0,3714889523.0,6864169423.0,,,,,,,,,,,,,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,,-81595545.0,3714889523.0,6864169423.0,,,,,,,,,,,,,,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,,-53.0,2458.0,4543.0,,,,,,,,,,,,,,,,,,,,
