field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001]
. Doanh thu bán hàng và cung cấp dịch vụ__1,,,,,,1512989403.0,7116892649.0,87519763521.0,106377035834.0,65021185211.0,,46220419812.0,46465624583.0,64298943068.0,15286513604.0,18261287647.0,39199288236.0,27602866519.0,,,
. Các khoản giảm trừ doanh thu__1,,,,,,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,,,,,,1512989403.0,7116892649.0,87519763521.0,106377035834.0,65021185211.0,,46220419812.0,46465624583.0,64298943068.0,15286513604.0,18261287647.0,39199288236.0,27602866519.0,,,
. Giá vốn hàng bán__1,,,,,,1062809587.0,9765145168.0,69367356494.0,91168667326.0,54928397947.0,,37803879101.0,40158898794.0,55933357807.0,12685583831.0,15623399915.0,36465904754.0,30849149750.0,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,,,,,,450179816.0,-2648252519.0,18152407027.0,15208368508.0,10092787264.0,,8416540711.0,6306725789.0,8365585261.0,2600929773.0,2637887732.0,2733383482.0,-3246283231.0,,,
. Doanh thu hoạt động tài chính__1,,,,,884943900.0,90338910.0,387051238.0,861982259.0,1362100115.0,4392041267.0,,298529396.0,1306703837.0,1561065669.0,170451432.0,12375448.0,41550058.0,13229227.0,,,
. Chi phí tài chính__1,,,,,,26878966.0,15195428.0,442503750.0,28117942.0,1681333529.0,,591686031.0,630091711.0,2512862275.0,147245341.0,267612509.0,153909513.0,609655371.0,,,
- Trong đó: Chi phí lãi vay__1,,,,,,,,,,9450000.0,,193686000.0,401812573.0,,89442536.0,267612509.0,153909513.0,,,,
. Chi phí bán hàng__1,,,,,,,,,,830154429.0,,,204650000.0,10118836.0,334251638.0,133445288.0,162807588.0,21181818.0,,,
. Chi phí quản lý doanh nghiệp__1,,,,1656034162.0,631606411.0,2120124402.0,5314873516.0,7266535213.0,10101008808.0,7377167536.0,,6680267046.0,4725121299.0,2162794379.0,1196997134.0,2083847154.0,2697380512.0,1853724649.0,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,,,,-1656034162.0,253337489.0,-1606484642.0,-7591270225.0,11305350323.0,6441341873.0,4596173037.0,,1443117030.0,2053566616.0,5240875440.0,1092887092.0,165358229.0,-239164073.0,-5717615842.0,,,
. Thu nhập khác__1,,,,9644808.0,22805000.0,441057027.0,127146785.0,1055983112.0,806789342.0,4863775870.0,,3095754232.0,3878516811.0,2194359457.0,2558703334.0,1326720089.0,456654964.0,710172409.0,,,
. Chi phí khác__1,,,,1110072928.0,413135541.0,12295367554.0,3018321859.0,956279724.0,501369970.0,3232019337.0,,1447417840.0,1686333322.0,500580171.0,3014622626.0,1197477392.0,,7559956.0,,,
. Lợi nhuận khác__1,,,,-1100428120.0,-390330541.0,-11854310527.0,-2891175074.0,99703388.0,305419372.0,1631756533.0,,1648336392.0,2192183489.0,1693779286.0,-455919292.0,129242697.0,456654964.0,702612453.0,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,,,,-2756462282.0,-136993052.0,-13460795169.0,-10482445299.0,11405053711.0,6746761245.0,6227929570.0,,3091453422.0,4245750105.0,6934654726.0,636967800.0,294600926.0,217490891.0,-5015003389.0,,,
. Chi phí thuế TNDN hiện hành__1,,,,8890226141.0,,6674550.0,152175083.0,2648744714.0,1802770391.0,1481809810.0,,981096268.0,1037826033.0,417568862.0,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,,,,-8890226141.0,922666371.0,-2326354866.0,-1970636588.0,,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,,,,-2756462282.0,-1059659423.0,-11141114853.0,-8663983794.0,8756308997.0,4943990854.0,4746119760.0,,2110357154.0,3207924072.0,6517085864.0,636967800.0,294600926.0,217490891.0,-5015003389.0,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,,,,-2756462282.0,-1059659423.0,-11141114853.0,-8663983794.0,8756308997.0,4943990854.0,4746119760.0,,2110357154.0,3207924072.0,6517085864.0,636967800.0,294600926.0,217490891.0,-5015003389.0,,,
. Lãi cơ bản trên cổ phiếu__1,,,,-92.0,-102.0,-7796.0,-6063.0,6127.0,3563.0,3421.0,,1593.0,,5167.0,,,172.0,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,,
. Lãi suy giảm trên cổ phiếu__1,,,,-92.0,,,,,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,
I - TÀI SẢN NGẮN HẠN__1,,,,1835537546287.0,2263028651872.0,22673247653.0,,24184147350.0,53516012266.0,70179443182.0,,41034696399.0,45405243454.0,75221582475.0,47128691025.0,23437085017.0,23040399420.0,21686235815.0,,,
. Tiền và các khoản tương đương tiền__1,,,,281954676500.0,374704220315.0,1052189301.0,,17159975923.0,20966597355.0,19571595583.0,,5246288693.0,5856410101.0,4166692085.0,5618035030.0,600150744.0,584674037.0,757506411.0,,,
..Tiền__1,,,,281954676500.0,374704220315.0,1052189301.0,,1110975923.0,10144097355.0,4158875583.0,,5246288693.0,5856410101.0,3958794410.0,5618035030.0,600150744.0,584674037.0,757506411.0,,,
..Các khoản tương đương tiền__1,,,,,,,,16049000000.0,10822500000.0,15412720000.0,,,,207897675.0,,,,,,,
. Các khoản đầu tư tài chính ngắn hạn__1,,,,,,,,,,1145614900.0,,17083145606.0,13791982625.0,13755120255.0,,,,,,,
.. Đầu tư ngắn hạn__1,,,,,,,,,,3141346902.0,,18863835590.0,15226136959.0,16031228923.0,,,,,,,
.. Dự phòng giảm giá đầu tư ngắn hạn__1,,,,,,,,,,-1995732002.0,,-1780689984.0,-1434154334.0,-2276108668.0,,,,,,,
. Các khoản phải thu ngắn hạn__1,,,,532877230433.0,1251898487116.0,1129851210.0,,4706432136.0,8215287011.0,6966857382.0,,14171882670.0,14191669109.0,45548741053.0,22339954589.0,13615465350.0,17010293708.0,12576500313.0,,,
..Phải thu khách hàng__1,,,,2307272282.0,1033233974.0,1033233974.0,,4619425655.0,6633438865.0,6865586680.0,,8448679781.0,8053685283.0,23251121391.0,10821631861.0,9904473161.0,9146247844.0,6428514179.0,,,
..Trả trước cho người bán__1,,,,298408568492.0,681385000000.0,1128923210.0,,7408790.0,1540434530.0,1647568187.0,,1327586587.0,722996300.0,16502992081.0,10345665734.0,674071840.0,3133101892.0,2239274298.0,,,
.. Phải thu nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Phải thu theo tiến độ Kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,,
.. Các khoản phải thu khác__1,,,,233194623633.0,570513487116.0,928000.0,,79597691.0,41413616.0,464494962.0,,4669986302.0,5414987526.0,5794627581.0,1172656994.0,3036920349.0,4730943972.0,3908711836.0,,,
.. Dự phòng phải thu ngắn hạn khó đòi__1,,,,-1033233974.0,-1033233974.0,-1033233974.0,,,,-2010792447.0,,-274370000.0,,,,,,,,,
. Hàng tồn kho__1,,,,852616241377.0,549630570885.0,19022241322.0,,1400000910.0,18608276597.0,39425057011.0,,3723361791.0,9853989132.0,9394652193.0,15575435943.0,5882103426.0,5415249138.0,8352229091.0,,,
.. Hàng tồn kho__1,,,,852616241377.0,549630570885.0,19022241322.0,,1400000910.0,18608276597.0,39425057011.0,,3723361791.0,9853989132.0,9394652193.0,15575435943.0,5882103426.0,5415249138.0,8352229091.0,,,
.. Dự phòng giảm giá hàng tồn kho__1,,,,,,,,,,,,,,,,,,,,,
. Tài sản ngắn hạn khác__1,,,,168089397977.0,86795373556.0,1468965820.0,,917738381.0,5725851303.0,3070318306.0,,810017639.0,1711192487.0,2356376889.0,3595265463.0,3339365497.0,30182537.0,,,,
.. Chi phí trả trước ngắn hạn__1,,,,164151227253.0,86752932874.0,,,,128767530.0,,,,,3750000.0,,3339365497.0,,,,,
.. Thuế GTGT được khấu trừ__1,,,,3898024942.0,,1425649118.0,,911110129.0,5074728151.0,2240450197.0,,,246058529.0,61795761.0,,,30182537.0,,,,
.. Thuế và các khoản khác phải thu Nhà nước__1,,,,40145782.0,42440682.0,43316702.0,,3000000.0,71062943.0,27426792.0,,7987207.0,,16633908.0,474161409.0,,,,,,
.. Tài sản ngắn hạn khác__1,,,,,,,,3628252.0,451292679.0,802441317.0,,802030432.0,1465133958.0,2274197220.0,3121104054.0,,,,,,
.. Giao dịch mua bán lại trái phiếu chính phủ__1,,,,,,,,,,,,,,,,,,,,,
II - TÀI SẢN DÀI HẠN__1,,,,40964551224.0,32074325083.0,32999788654.0,,11872962506.0,15276992057.0,16095684065.0,,10556548597.0,10030329084.0,10475299427.0,1537615927.0,1880980460.0,2528755230.0,3222950616.0,,,
. Các khoản phải thu dài hạn__1,,,,28700000000.0,28700000000.0,28700000000.0,,,,,,,,,15000000.0,15000000.0,15000000.0,,,,
.. Phải thu dài hạn của khách hàng__1,,,,,,,,,,,,,,,,,,,,,
.. Vốn kinh doanh ở đơn vị trực thuộc__1,,,,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn nội bộ__1,,,,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn khác__1,,,,28700000000.0,28700000000.0,28700000000.0,,,,,,,,,15000000.0,15000000.0,15000000.0,,,,
.. Dự phòng phải thu khó đòi__1,,,,,,,,,,,,,,,,,,,,,
. Tài sản cố định__1,,,,,,2797200.0,,8377883007.0,6181764673.0,6219447680.0,,1556548597.0,757932263.0,987902606.0,1035641106.0,1779005639.0,2426780409.0,3049000974.0,,,
.. Tài sản cố định hữu hình__1,,,,,,2797200.0,,144257624.0,1866665220.0,1904348227.0,,1486332824.0,687716490.0,917686833.0,965425333.0,1708789866.0,2356564636.0,2978785201.0,,,
- Nguyên giá__1,,,,,36363636.0,36363636.0,,164700000.0,13131407380.0,13820456850.0,,12712110730.0,12586999456.0,12465167884.0,12360813186.0,14019665224.0,15429639033.0,15419128533.0,,,
- Giá trị hao mòn luỹ kế__1,,,,,-36363636.0,-33566436.0,,-20442376.0,-11264742160.0,-11916108623.0,,-11225777906.0,-11899282966.0,-11547481051.0,-11395387853.0,-12310875358.0,-13073074397.0,-12440343332.0,,,
.. Tài sản cố định thuê tài chính__1,,,,,,,,,,,,,,,,,,,,,
- Nguyên giá__2,,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__2,,,,,,,,,,,,,,,,,,,,,
.. Tài sản cố định vô hình__1,,,,,,,,,,,,,,,,,,,,,
- Nguyên giá__3,,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__3,,,,,,,,,,,,,,,,,,,,,
.. Chi phí xây dựng cơ bản dở dang__1,,,,,,,,8233625383.0,4315099453.0,4315099453.0,,70215773.0,70215773.0,70215773.0,70215773.0,70215773.0,70215773.0,70215773.0,,,
. Lợi thế thương mại__1,,,,,,,,,,,,,,,,,,,,,
. Bất động sản đầu tư__1,,,,,,,,,,,,,,,,,,,,,
- Nguyên giá__4,,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__4,,,,,,,,,,,,,,,,,,,,,
. Các khoản đầu tư tài chính dài hạn__1,,,,,,,,3495079499.0,9000000000.0,9000000000.0,,9000000000.0,9000000000.0,9000000000.0,,,,,,,
. Đầu tư vào công ty con__1,,,,,,,,1608771128.0,,,,,,,,,,,,,
". Đầu tư vào công ty liên kết, liên doanh__1",,,,,,,,,9000000000.0,9000000000.0,,9000000000.0,9000000000.0,9000000000.0,,,,,,,
. Đầu tư dài hạn khác__1,,,,,,,,1886308371.0,,,,,,,,,,,,,
. Dự phòng giảm giá đầu tư dài hạn__1,,,,,,,,,,,,,,,,,,,,,
. Tài sản dài hạn khác__1,,,,12264551224.0,3374325083.0,4296991454.0,,,95227384.0,876236385.0,,,272396821.0,487396821.0,486974821.0,86974821.0,86974821.0,173949642.0,,,
. Chi phí trả trước dài hạn__1,,,,,,,,,95227384.0,876236385.0,,,86974821.0,286974821.0,486974821.0,86974821.0,86974821.0,173949642.0,,,
". Ký quỹ, ký cược dài hạn__1",,,,,,,,,,,,,,,,,,,,,
. Tài sản thuế thu nhập hoãn lại__1,,,,12264551224.0,3374325083.0,4296991454.0,,,,,,,,,,,,,,,
. Tài sản dài hạn khác__2,,,,,,,,,,,,,185422000.0,200422000.0,,,,,,,
Tổng cộng tài sản__1,,,,1876502097511.0,2295102976955.0,55673036307.0,,36057109856.0,68793004323.0,86275127247.0,,51591244996.0,55435572538.0,85696881902.0,48666306952.0,25318065477.0,25569154650.0,24909186431.0,,,
I - NỢ PHẢI TRẢ__1,,,,1503114676535.0,1918959093697.0,49891154626.0,,10161936043.0,45560836101.0,64101597549.0,,32554949028.0,38387555904.0,71458869182.0,40868300096.0,18135126421.0,18453556722.0,18033719394.0,,,
. Nợ ngắn hạn__1,,,,1396448009866.0,1598959093697.0,49891154626.0,,10016383443.0,45557836101.0,64098597549.0,,32401532865.0,38134139741.0,70464864508.0,39965300096.0,18132126421.0,18453556722.0,18030719394.0,,,
.. Vay và nợ ngắn hạn__1,,,,,,,,,,12000000.0,,33000000.0,33000000.0,5319820000.0,1353265927.0,662163927.0,465769927.0,452261146.0,,,
.. Phải trả người bán__1,,,,,,,,476621015.0,673336851.0,1643355757.0,,2479878844.0,2752839130.0,5316248408.0,3621468403.0,3625296583.0,3443785923.0,3201967444.0,,,
.. Người mua trả tiền trước__1,,,,,,,,,20548177725.0,32770971789.0,,5908327312.0,6837431726.0,31642118408.0,24547908700.0,7700624629.0,5943926699.0,11746216790.0,,,
..Thuế và các khoản phải nộp Nhà nước__1,,,,172351439509.0,364412275980.0,4283129374.0,,2303734892.0,1578052663.0,5720330258.0,,2833062965.0,7054161824.0,5524359911.0,3795864860.0,2380127046.0,1254569287.0,323278348.0,,,
.. Phải trả người lao động__1,,,,422252747.0,,,,4104726167.0,1593820000.0,,,771693366.0,578427594.0,,1004641962.0,1025676477.0,1540309852.0,1055718889.0,,,
.. Chi phí phải trả__1,,,,,,,,,,,,,,568055063.0,568055063.0,543455063.0,1732440678.0,1251276777.0,,,
.. Phải trả nội bộ__1,,,,,,,,,,,,,,,,,,,,,
.. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,,
".. Các khoản phải trả, phải nộp ngắn hạn khác__1",,,,,,,,2489606764.0,20526969943.0,23360276602.0,,20159069351.0,20861172467.0,22094262718.0,2392276999.0,2194782696.0,4072754356.0,,,,
.. Dự phòng phải trả ngắn hạn__1,,,,,,,,,,,,,,,2681818182.0,,,,,,
.. Quỹ khen thưởng phúc lợi__1,,,,,,,,641694605.0,,,,216501027.0,,,,-341571608.0,-347659608.0,,,,
.. Giao dịch mua bán lại trái phiếu chính phủ__2,,,,,,,,,,,,,,,,,,,,,
.. Doanh thu chưa thực hiện__1,,,,,,,,,,,,,,,,,,,,,
. Quỹ thưởng ban quản lý điều hành công ty__1,,,,,,,,,,,,,,,,,,,,,
. Nợ dài hạn__1,,,,106666666669.0,320000000000.0,,,145552600.0,3000000.0,3000000.0,,153416163.0,253416163.0,994004674.0,903000000.0,3000000.0,,3000000.0,,,
.. Phải trả dài hạn người bán__1,,,,,,,,,,,,,,,,,,,,,
.. Phải trả dài hạn nội bộ__1,,,,,,,,,,,,,,,,,,,,,
.. Phải trả dài hạn khác__1,,,,,,,,145552600.0,3000000.0,3000000.0,,3000000.0,103000000.0,903000000.0,903000000.0,3000000.0,,3000000.0,,,
.. Vay và nợ dài hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Thuế thu nhập hoãn lại phải trả__1,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng trợ cấp mất việc làm__1,,,,,,,,,,,,150416163.0,150416163.0,91004674.0,,,,,,,
.. Dự phòng phải trả dài hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Doanh thu chưa thực hiện__2,,,,,,,,,,,,,,,,,,,,,
.. Quỹ phát triển khoa học công nghệ__1,,,,,,,,,,,,,,,,,,,,,
II - VỐN CHỦ SỞ HỮU__1,,,,373387420976.0,376143883258.0,5781881681.0,,25895173813.0,23232168222.0,22173529698.0,,19036295968.0,17048016634.0,14238012720.0,7798006856.0,7182939056.0,7115597928.0,6875467037.0,,,
. Vốn chủ sở hữu__1,,,,,,,,25895173813.0,23232168222.0,22173529698.0,,19036295968.0,17048016634.0,14238012720.0,8141998464.0,7524510664.0,7463257536.0,7245766645.0,,,
