field,[2021],[2020],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001],[2000],[2019],[2018]
.. Dự phòng giảm giá hàng tồn kho__1,,,,,,,,,,,,,,,,,,,,,,
. Tài sản ngắn hạn khác__1,,,911281879.0,911281879.0,911281879.0,324590092.0,490029760.0,565349062.0,,,,,,,,,,,,,,
.. Chi phí trả trước ngắn hạn__1,,,,,,60178105.0,29084885.0,28486438.0,,,,,,,,,,,,,,
.. Thuế GTGT được khấu trừ__1,,,,,,,144158620.0,15211446.0,,,,,,,,,,,,,,
.. Thuế và các khoản khác phải thu Nhà nước__1,,,911281879.0,911281879.0,911281879.0,33354953.0,33563377.0,24489628.0,,,,,,,,,,,,,,
.. Tài sản ngắn hạn khác__1,,,,,,231057034.0,283222878.0,497161550.0,,,,,,,,,,,,,,
.. Giao dịch mua bán lại trái phiếu chính phủ__1,,,,,,,,,,,,,,,,,,,,,,
II - TÀI SẢN DÀI HẠN__1,,,32876654487.0,11206577464.0,9060975631.0,12625936494.0,15176247529.0,16343987650.0,,,,,,,,,,,,,,
. Các khoản phải thu dài hạn__1,,,,3000000000.0,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn của khách hàng__1,,,,,,,,,,,,,,,,,,,,,,
.. Vốn kinh doanh ở đơn vị trực thuộc__1,,,,,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn nội bộ__1,,,,,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn khác__1,,,,3000000000.0,,,,,,,,,,,,,,,,,,
.. Dự phòng phải thu khó đòi__1,,,,,,,,,,,,,,,,,,,,,,
. Tài sản cố định__1,,,12005723922.0,6066577464.0,6850975631.0,11758300860.0,14589209790.0,15668630764.0,,,,,,,,,,,,,,
.. Tài sản cố định hữu hình__1,,,12005723922.0,6066577464.0,6850975631.0,10041558568.0,12824913990.0,13846486973.0,,,,,,,,,,,,,,
- Nguyên giá__1,,,70555327449.0,62399552449.0,61336792473.0,62743582716.0,61830965566.0,61055936507.0,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__1,,,-58549603527.0,-56332974985.0,-54485816842.0,-52702024148.0,-49006051576.0,-47209449534.0,,,,,,,,,,,,,,
.. Tài sản cố định thuê tài chính__1,,,,,,,,,,,,,,,,,,,,,,
- Nguyên giá__2,,,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__2,,,,,,,,,,,,,,,,,,,,,,
.. Tài sản cố định vô hình__1,,,,,,1716742292.0,1745313720.0,1822143791.0,,,,,,,,,,,,,,
- Nguyên giá__3,,,1687186140.0,1687186140.0,1687186140.0,3375357000.0,3375357000.0,3375357000.0,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__3,,,-1687186140.0,-1687186140.0,-1687186140.0,-1658614708.0,-1630043280.0,-1553213209.0,,,,,,,,,,,,,,
.. Chi phí xây dựng cơ bản dở dang__1,,,,,,,18982080.0,,,,,,,,,,,,,,,
. Lợi thế thương mại__1,,,,,,,,,,,,,,,,,,,,,,
. Bất động sản đầu tư__1,,,,,,,,,,,,,,,,,,,,,,
- Nguyên giá__4,,,2374201599.0,2374201599.0,2374201599.0,2374201599.0,2374201599.0,2374201599.0,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__4,,,-2374201599.0,-2374201599.0,-2374201599.0,-2374201599.0,-2374201599.0,-2374201599.0,,,,,,,,,,,,,,
. Các khoản đầu tư tài chính dài hạn__1,,,,,,100000000.0,100000000.0,100000000.0,,,,,,,,,,,,,,
. Đầu tư vào công ty con__1,,,,,,,,,,,,,,,,,,,,,,
". Đầu tư vào công ty liên kết, liên doanh__1",,,2040000000.0,2040000000.0,2040000000.0,,,,,,,,,,,,,,,,,
. Đầu tư dài hạn khác__1,,,,,,100000000.0,100000000.0,100000000.0,,,,,,,,,,,,,,
. Dự phòng giảm giá đầu tư dài hạn__1,,,,,,,,,,,,,,,,,,,,,,
. Tài sản dài hạn khác__1,,,,,70000000.0,767635634.0,487037739.0,575356886.0,,,,,,,,,,,,,,
. Chi phí trả trước dài hạn__1,,,,,70000000.0,519497822.0,276788212.0,324975313.0,,,,,,,,,,,,,,
". Ký quỹ, ký cược dài hạn__1",,,,,,,,,,,,,,,,,,,,,,
. Tài sản thuế thu nhập hoãn lại__1,,,,,,248137812.0,210249527.0,250381573.0,,,,,,,,,,,,,,
. Tài sản dài hạn khác__2,,,,,,,,,,,,,,,,,,,,,,
Tổng cộng tài sản__1,,,137370338000.0,81229650713.0,83701111600.0,168568823263.0,179412713297.0,211145103346.0,,,,,,,,,,,,,,
I - NỢ PHẢI TRẢ__1,,,34961370760.0,77122524655.0,87665531519.0,104994307833.0,115630554744.0,146541001569.0,,,,,,,,,,,,,,
. Nợ ngắn hạn__1,,,34961370760.0,77122524655.0,87665531519.0,103407307833.0,112151554744.0,144393511569.0,,,,,,,,,,,,,,
.. Vay và nợ ngắn hạn__1,,,,,,64571861295.0,73595345697.0,107707038707.0,,,,,,,,,,,,,,
.. Phải trả người bán__1,,,,,,17876808154.0,19273644571.0,12187219756.0,,,,,,,,,,,,,,
.. Người mua trả tiền trước__1,,,,,,7509248542.0,4018792457.0,1330799764.0,,,,,,,,,,,,,,
..Thuế và các khoản phải nộp Nhà nước__1,,,759595947.0,789839304.0,1009564989.0,2997855897.0,6066241171.0,6649522149.0,,,,,,,,,,,,,,
.. Phải trả người lao động__1,,,505733281.0,2962654804.0,1390049313.0,2393049546.0,2498502890.0,4027748203.0,,,,,,,,,,,,,,
.. Chi phí phải trả__1,,,,,,4183570763.0,2822320325.0,8745978979.0,,,,,,,,,,,,,,
.. Phải trả nội bộ__1,,,,,,,,,,,,,,,,,,,,,,
.. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,,,
".. Các khoản phải trả, phải nộp ngắn hạn khác__1",,,,,,3277294689.0,3703901686.0,3677666347.0,,,,,,,,,,,,,,
.. Dự phòng phải trả ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,
.. Quỹ khen thưởng phúc lợi__1,,,,,,597618947.0,,,,,,,,,,,,,,,,
.. Giao dịch mua bán lại trái phiếu chính phủ__2,,,,,,,,,,,,,,,,,,,,,,
.. Doanh thu chưa thực hiện__1,,,,,,,,,,,,,,,,,,,,,,
. Quỹ thưởng ban quản lý điều hành công ty__1,,,,,,,,,,,,,,,,,,,,,,
. Nợ dài hạn__1,,,,,,1587000000.0,3479000000.0,2147490000.0,,,,,,,,,,,,,,
.. Phải trả dài hạn người bán__1,,,,,,,,,,,,,,,,,,,,,,
.. Phải trả dài hạn nội bộ__1,,,,,,,,,,,,,,,,,,,,,,
.. Phải trả dài hạn khác__1,,,,,,300000000.0,300000000.0,300000000.0,,,,,,,,,,,,,,
.. Vay và nợ dài hạn__1,,,,,,1287000000.0,3179000000.0,1847490000.0,,,,,,,,,,,,,,
.. Thuế thu nhập hoãn lại phải trả__1,,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng trợ cấp mất việc làm__1,,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng phải trả dài hạn__1,,,,,,,,,,,,,,,,,,,,,,
.. Doanh thu chưa thực hiện__2,,,,,,,,,,,,,,,,,,,,,,
.. Quỹ phát triển khoa học công nghệ__1,,,,,,,,,,,,,,,,,,,,,,
II - VỐN CHỦ SỞ HỮU__1,,,102408967240.0,4107126058.0,-3964419919.0,59658835127.0,61653826014.0,62746388189.0,,,,,,,,,,,,,,
. Vốn chủ sở hữu__1,,,,,,58191000944.0,59812933809.0,60518549071.0,,,,,,,,,,,,,,
.. Vốn đầu tư của chủ sở hữu__1,,,,,,43500000000.0,43500000000.0,43500000000.0,,,,,,,,,,,,,,
.. Thặng dư vốn cổ phần__1,,,,,,1413000000.0,1413000000.0,1413000000.0,,,,,,,,,,,,,,
.. Vốn khác của chủ sở hữu__1,,,,,,,,,,,,,,,,,,,,,,
.. Cổ phiếu quỹ (*)__1,,,,,,,,,,,,,,,,,,,,,,
.. Chênh lệch đánh giá lại tài sản__1,,,,,,,,,,,,,,,,,,,,,,
.. Chênh lệch tỷ giá hối đoái__1,,,,,,,,,,,,,,,,,,,,,,
.. Quỹ đầu tư phát triển__1,,,,,,8537566936.0,8227305667.0,6076007971.0,,,,,,,,,,,,,,
.. Quỹ dự phòng tài chính__1,,,,,,,,,,,,,,,,,,,,,,
.. Quỹ khác thuộc vốn chủ sở hữu__1,,,,,,,,,,,,,,,,,,,,,,
.. Lợi nhuận sau thuế chưa phân phối__1,,,,,,4740434008.0,6672628142.0,9529541100.0,,,,,,,,,,,,,,
.. Nguồn vốn đầu tư XDCB__1,,,,,,,,,,,,,,,,,,,,,,
.. Quỹ hỗ trợ sắp xếp doanh nghiệp__1,,,,,,,,,,,,,,,,,,,,,,
.. Quỹ dự trữ vốn điều lệ__1,,,,,,,,,,,,,,,,,,,,,,
. Nguồn kinh phí và các quỹ khác__1,,,886923214.0,1230389878.0,1130523210.0,1467834183.0,1840892205.0,2227839118.0,,,,,,,,,,,,,,
.. Quỹ khen thưởng phúc lợi__2,,,,,,,,,,,,,,,,,,,,,,
.. Nguồn kinh phí__1,,,,,,,,,,,,,,,,,,,,,,
.. Nguồn kinh phí đã hình thành TSCĐ__1,,,886923214.0,1230389878.0,1130523210.0,1467834183.0,1840892205.0,2227839118.0,,,,,,,,,,,,,,
III - LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ__1,,,,,,3915680303.0,2128332539.0,1857713588.0,,,,,,,,,,,,,,
Tổng cộng nguồn vốn__1,,,137370338000.0,81229650713.0,83701111600.0,168568823263.0,179412713297.0,211145103346.0,,,,,,,,,,,,,,
.. Chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,,
.. Đầu tư nắm giữ đến ngày đáo hạn__1,,,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,
. Tài sản thiếu chờ xử lý__1,,,,,,,,,,,,,,,,,,,,,,
. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,,,
. Trả trước cho người bán dài hạn__1,,,,,,,,,,,,,,,,,,,,,,
.. Phải thu nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay dài hạn__1,,,,,,,,,,,,,,,,,,,,,,
. Tài sản dở dang dài hạn__1,,,516972232.0,,,,,,,,,,,,,,,,,,,
". Chi phí sản xuất, kinh doanh dở dang dài hạn__1",,,,,,,,,,,,,,,,,,,,,,
. Chi phí xây dựng cơ bản dở dang__1,,,516972232.0,,,,,,,,,,,,,,,,,,,
. Đầu tư tài chính dài hạn__1,,,20353958333.0,2140000000.0,2140000000.0,,,,,,,,,,,,,,,,,
. Đầu tư góp vốn vào đơn vị khác__1,,,100000000.0,100000000.0,100000000.0,,,,,,,,,,,,,,,,,
. Đầu tư nắm giữ đến ngày đáo hạn__1,,,18213958333.0,,,,,,,,,,,,,,,,,,,
". Thiết bị, vật tư, phụ tùng thay thế dài hạn__1",,,,,,,,,,,,,,,,,,,,,,
.. Phải trả người bán ngắn hạn__1,,,6799265047.0,15959445843.0,13155708999.0,,,,,,,,,,,,,,,,,
.. Người mua trả tiền trước ngắn hạn__1,,,1483383742.0,10273009926.0,6817442873.0,,,,,,,,,,,,,,,,,
.. Chi phí phải trả ngắn hạn__1,,,2094017732.0,3736387726.0,4883267480.0,,,,,,,,,,,,,,,,,
.. Phải trả nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,
.. Doanh thu chưa thực hiện ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,
.. Phải trả ngắn hạn khác__1,,,2999805415.0,2954903437.0,2980981709.0,,,,,,,,,,,,,,,,,
.. Vay và nợ thuê tài chính ngắn hạn__1,,,20170596691.0,40367496857.0,57039677398.0,,,,,,,,,,,,,,,,,
". Quỹ khen thưởng, phúc lợi__1",,,148972905.0,78786758.0,388838758.0,,,,,,,,,,,,,,,,,
.. Quỹ bình ổn giá__1,,,,,,,,,,,,,,,,,,,,,,
.. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,,,
. Người mua trả tiền trước dài hạn__1,,,,,,,,,,,,,,,,,,,,,,
. Chi phí phải trả dài hạn__1,,,,,,,,,,,,,,,,,,,,,,
. Phải trả nội bộ về vốn kinh doanh__1,,,,,,,,,,,,,,,,,,,,,,
. Phải trả dài hạn nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,,,,
. Doanh thu chưa thực hiện dài hạn__1,,,,,,,,,,,,,,,,,,,,,,
. Vay và nợ thuê tài chính dài hạn__1,,,,,,,,,,,,,,,,,,,,,,
. Trái phiếu chuyển đổi__1,,,,,,,,,,,,,,,,,,,,,,
. Thuế thu nhập hoãn lại phải trả__1,,,,,,,,,,,,,,,,,,,,,,
.. Quỹ phát triển khoa học và công nghệ__1,,,,,,,,,,,,,,,,,,,,,,
I. Vốn chủ sở hữu__1,,,101522044026.0,2876736180.0,-5094943129.0,,,,,,,,,,,,,,,,,
. Vốn góp của chủ sở hữu__1,,,110000000000.0,43500000000.0,43500000000.0,,,,,,,,,,,,,,,,,
- Cổ phiếu phổ thông có quyền biểu quyết__1,,,110000000000.0,43500000000.0,43500000000.0,,,,,,,,,,,,,,,,,
- Cổ phiếu ưu đãi__1,,,,,,,,,,,,,,,,,,,,,,
. Cổ phiếu ưu đãi__1,,,,,,,,,,,,,,,,,,,,,,
. Thặng dư vốn cổ phần__1,,,11316500000.0,1413000000.0,1413000000.0,,,,,,,,,,,,,,,,,
. Quyền chọn chuyển đổi trái phiếu__1,,,,,,,,,,,,,,,,,,,,,,
. Vốn khác của chủ sở hữu__1,,,,,,,,,,,,,,,,,,,,,,
. Cổ phiếu quỹ (*)__1,,,,,,,,,,,,,,,,,,,,,,
. Chênh lệch đánh giá lại tài sản__1,,,,,,,,,,,,,,,,,,,,,,
. Chênh lệch tỷ giá hối đoái__1,,,,,,,,,,,,,,,,,,,,,,
. Quỹ đầu tư phát triển__1,,,9018312075.0,9018312075.0,9018312075.0,,,,,,,,,,,,,,,,,
. Quỹ hỗ trợ sắp xếp doanh nghiệp__1,,,,,,,,,,,,,,,,,,,,,,
