field,[2021],[2020],[2019],[2018],[2017],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2003],[2002],[2001],[2000],[1999],[2016],[2015],[2004]
. Doanh thu bán hàng và cung cấp dịch vụ__1,4330090558349.0,4299593774132.0,3826942370854.0,3680581488336.0,3475367196338.0,4453071251730.0,3893349653128.0,3747498620368.0,3287091369861.0,2720759373666.0,2422518594329.0,1936157248275.0,1547001074194.0,990783701426.0,1539701700803.0,,,,,,,,
. Các khoản giảm trừ doanh thu__1,39308637.0,760564293.0,929497718.0,2075051711.0,,119125964125.0,164657583527.0,231163038352.0,8801100.0,10268040.0,,10920000.0,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,4330051249712.0,4298833209839.0,3826012873136.0,3678506436625.0,3475367196338.0,4333945287605.0,3728692069601.0,3516335582016.0,3287082568761.0,2720749105626.0,2422518594329.0,1936146328275.0,1547001074194.0,990783701426.0,1539701700803.0,,,,,,,,
. Giá vốn hàng bán__1,3842440710588.0,3760158437764.0,3270748346828.0,3225232810219.0,3062683250276.0,3418907993241.0,3019746113314.0,2716272766065.0,2409249260435.0,2233892524656.0,1932422418611.0,1546589187769.0,1164503983898.0,725683548519.0,1151204044639.0,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,487610539124.0,538674772075.0,555264526308.0,453273626406.0,412683946062.0,915037294364.0,708945956287.0,800062815951.0,877833308326.0,486856580970.0,490096175718.0,389557140506.0,382497090296.0,265100152907.0,388497656164.0,,,,,,,,
. Doanh thu hoạt động tài chính__1,622005815.0,37870496.0,604316783.0,834668329.0,266783001.0,147902811680.0,9131760366.0,43882038159.0,5861575074.0,6572602304.0,2183323236.0,1688183497.0,1134047107.0,1102020602.0,3715019714.0,,,,,,,,
. Chi phí tài chính__1,44670687881.0,76362824479.0,111099842584.0,90026528381.0,117018230652.0,398460510731.0,381451490244.0,444546697178.0,529716415020.0,183125530474.0,68586503122.0,30751515011.0,22531757348.0,24748630098.0,36521473953.0,,,,,,,,
- Trong đó: Chi phí lãi vay__1,44529126461.0,76362824479.0,111072794175.0,89885577984.0,84216155217.0,221114266341.0,275332362621.0,366799755935.0,425065607634.0,,14751320907.0,22420273133.0,22208772801.0,21822393074.0,4492224131.0,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,161444544657.0,142061562954.0,126788308062.0,124929203288.0,168442529185.0,280204151436.0,195836193780.0,178308335432.0,180127323883.0,138078631793.0,81353741576.0,75504306194.0,135946263058.0,111882121896.0,196736308876.0,,,,,,,,
