field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001],[2000],[1999],[1996],[1995]
. Doanh thu bán hàng và cung cấp dịch vụ__1,,47445137871.0,54219846647.0,36277811759.0,26030249350.0,27827354144.0,35893326536.0,35883708220.0,23627723244.0,42590181310.0,69936579442.0,109479781493.0,4535249655.0,8990540246.0,2498774044.0,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,,4298029496.0,1156710970.0,5363030044.0,8327494129.0,4693701443.0,,7822414672.0,6403609179.0,559281011.0,6227131558.0,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,,43147108375.0,53063135677.0,30914781715.0,17702755221.0,23133652701.0,35893326536.0,28061293548.0,17224114065.0,42030900299.0,63709447884.0,109479781493.0,4535249655.0,8990540246.0,2498774044.0,,,,,,,,,,
. Giá vốn hàng bán__1,,35840993950.0,36891535450.0,17765786203.0,11966280305.0,18122144126.0,29617307350.0,18478561903.0,17734859715.0,30965516749.0,53280266601.0,78144813163.0,611505450.0,8246151136.0,1968143856.0,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,,7306114425.0,16171600227.0,13148995512.0,5736474916.0,5011508575.0,6276019186.0,9582731645.0,-510745650.0,11065383550.0,10429181283.0,31334968330.0,3923744205.0,744389110.0,530630188.0,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,,967027950.0,905550670.0,175002233.0,4400477969.0,5792838.0,203688478.0,1077661361.0,14000266.0,351117520.0,737346474.0,714834515.0,144870216.0,234022841.0,12339127.0,,,,,,,,,,
. Chi phí tài chính__1,,4437004554.0,3334678260.0,4496725672.0,3332293158.0,2102831568.0,1916528113.0,3776135138.0,2642029064.0,5877772666.0,3205213277.0,459987500.0,13813780.0,,22513177.0,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,,4437004554.0,3334678260.0,4496725672.0,3332293158.0,1588988091.0,1793232113.0,2521044228.0,2489897890.0,4879936676.0,3205213277.0,459987500.0,5434063.0,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,,3324651032.0,3273520205.0,987594978.0,1101245417.0,502790901.0,162207580.0,1576663689.0,1207955710.0,1056616050.0,1028115799.0,825216707.0,251628185.0,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,,5099400060.0,4263281227.0,4138752979.0,3367698643.0,2522843136.0,3503647096.0,4828174363.0,3743642568.0,3720256452.0,4354584904.0,3505485169.0,776470460.0,934003648.0,449878762.0,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,,-4587913271.0,6205671205.0,3700924116.0,2335715667.0,-111164192.0,897324875.0,479419816.0,-8090372726.0,761855902.0,2578613777.0,27259113469.0,3026701996.0,44408303.0,70577376.0,,,,,,,,,,
. Thu nhập khác__1,,1381203769.0,1931822055.0,1496372594.0,1995421375.0,1554884216.0,627669820.0,198076917.0,439652302.0,291320384.0,159068798.0,6662765493.0,56309.0,933114.0,,,,,,,,,,,
. Chi phí khác__1,,606769119.0,248178048.0,39614587.0,258367414.0,1247314638.0,1448797528.0,73450497.0,283879374.0,,105694474.0,1.0,,33182823.0,,,,,,,,,,,
