field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2006],[2005],[2004],[2002],[2001],[2000],[1999],[2008],[2007],[2003]
. Doanh thu bán hàng và cung cấp dịch vụ__1,,169387562555.0,327448783303.0,307936259950.0,,,,,,,,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,,2136864537.0,5175701429.0,10464743990.0,,,,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,,167250698018.0,322273081874.0,297471515960.0,,,,,,,,,,,,,,,,,,,
. Giá vốn hàng bán__1,,161400442894.0,310576581058.0,280977460761.0,,,,,,,,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,,5850255124.0,11696500816.0,16494055199.0,,,,,,,,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,,856715983.0,1024608357.0,163427510.0,,,,,,,,,,,,,,,,,,,
. Chi phí tài chính__1,,6254166163.0,5931018059.0,5186644788.0,,,,,,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,,6254166163.0,5931018059.0,5186644788.0,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,,,,,,,,,,,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,,5544562718.0,12344310476.0,14223836780.0,,,,,,,,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,,-5091757774.0,-5554219362.0,-2752998859.0,,,,,,,,,,,,,,,,,,,
. Thu nhập khác__1,,6976679418.0,13018129277.0,6947912377.0,,,,,,,,,,,,,,,,,,,
. Chi phí khác__1,,620627341.0,4105229532.0,2490397512.0,,,,,,,,,,,,,,,,,,,
. Lợi nhuận khác__1,,6356052077.0,8912899745.0,4457514865.0,,,,,,,,,,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,,1264294303.0,3358680383.0,1704516006.0,,,,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,,220633123.0,766883194.0,375155580.0,,,,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,,,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,,1043661180.0,2591797189.0,1329360426.0,,,,,,,,,,,,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,,1043661180.0,2591797189.0,1329360426.0,,,,,,,,,,,,,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,,211.0,,269.0,,,,,,,,,,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,,,,
. Lãi suy giảm trên cổ phiếu__1,,,,,,,,,,,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,,,
I - TÀI SẢN NGẮN HẠN__1,,368963629527.0,392979414479.0,449769250414.0,,,,,,,,,,,,,,,,,,,
. Tiền và các khoản tương đương tiền__1,,34177756583.0,42659388643.0,74147413560.0,,,,,,,,,,,,,,,,,,,
..Tiền__1,,34177756583.0,42659388643.0,74147413560.0,,,,,,,,,,,,,,,,,,,
..Các khoản tương đương tiền__1,,,,,,,,,,,,,,,,,,,,,,,
. Các khoản đầu tư tài chính ngắn hạn__1,,10700000000.0,,,,,,,,,,,,,,,,,,,,,
.. Đầu tư ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá đầu tư ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,,
