field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2009],[2008],[2007],[2006],[2005],[2004],[2002],[2001],[2000],[2010],[2003],[1999],[1998]
. Doanh thu bán hàng và cung cấp dịch vụ__1,344892643345.0,130285141116.0,124080354575.0,,,,,,,,,,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,,,,,,,,,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,344892643345.0,130285141116.0,124080354575.0,,,,,,,,,,,,,,,,,,,,,
. Giá vốn hàng bán__1,313163842309.0,115727882255.0,111212350065.0,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,31728801036.0,14557258861.0,12868004510.0,,,,,,,,,,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,1655590941.0,964918774.0,265982408.0,,,,,,,,,,,,,,,,,,,,,
. Chi phí tài chính__1,1853049150.0,1882914881.0,1425248835.0,,,,,,,,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,1848741262.0,1746251233.0,1362642705.0,,,,,,,,,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,4546824922.0,3299338638.0,2170859353.0,,,,,,,,,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,7815841019.0,3956667529.0,4360267903.0,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,19168676886.0,6383256587.0,5177610827.0,,,,,,,,,,,,,,,,,,,,,
. Thu nhập khác__1,317030120.0,2871347042.0,3714220.0,,,,,,,,,,,,,,,,,,,,,
. Chi phí khác__1,513201659.0,16111733.0,291438405.0,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận khác__1,-196171539.0,2855235309.0,-287724185.0,,,,,,,,,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,18972505347.0,9238491896.0,4889886642.0,,,,,,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,4030385232.0,929412241.0,1136802134.0,,,,,,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,,,,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,14942120115.0,8309079655.0,3753084508.0,,,,,,,,,,,,,,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,1507468562.0,,,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,13434651553.0,8309079655.0,3753084508.0,,,,,,,,,,,,,,,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,,2044.0,938.0,,,,,,,,,,,,,,,,,,,,,
. Lãi suy giảm trên cổ phiếu__1,,,,,,,,,,,,,,,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,,,,,
I - TÀI SẢN NGẮN HẠN__1,338067478396.0,346185249560.0,81985469081.0,,,,,,,,,,,,,,,,,,,,,
. Tiền và các khoản tương đương tiền__1,20741605403.0,3474204403.0,1377642705.0,,,,,,,,,,,,,,,,,,,,,
..Tiền__1,5381605403.0,3474204403.0,1377642705.0,,,,,,,,,,,,,,,,,,,,,
..Các khoản tương đương tiền__1,15360000000.0,,,,,,,,,,,,,,,,,,,,,,,
. Các khoản đầu tư tài chính ngắn hạn__1,6300000000.0,8200000000.0,14200000000.0,,,,,,,,,,,,,,,,,,,,,
.. Chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Đầu tư nắm giữ đến ngày đáo hạn__1,6300000000.0,8200000000.0,14200000000.0,,,,,,,,,,,,,,,,,,,,,
. Các khoản phải thu ngắn hạn__1,224806261438.0,277774436230.0,42774786129.0,,,,,,,,,,,,,,,,,,,,,
..Phải thu khách hàng__1,76838139370.0,89711004795.0,22571570873.0,,,,,,,,,,,,,,,,,,,,,
..Trả trước cho người bán__1,32089624039.0,179541817763.0,17032761162.0,,,,,,,,,,,,,,,,,,,,,
.. Phải thu nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,,,
.. Phải thu theo tiến độ Kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay ngắn hạn__1,6600000000.0,,,,,,,,,,,,,,,,,,,,,,,
