field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002]
. Doanh thu bán hàng và cung cấp dịch vụ__1,7305592782.0,12536697995.0,24375092209.0,26712808742.0,22546914635.0,47397185573.0,26169706669.0,27901209751.0,26894998550.0,29607605478.0,68540464568.0,72817562474.0,75299406407.0,,,,,,,
. Các khoản giảm trừ doanh thu__1,,,,,,,,,,,,,6866513.0,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,7305592782.0,12536697995.0,24375092209.0,26712808742.0,22546914635.0,47397185573.0,26169706669.0,27901209751.0,26894998550.0,29607605478.0,68540464568.0,72817562474.0,75292539894.0,,,,,,,
. Giá vốn hàng bán__1,3136602224.0,8359644995.0,14511609688.0,13487713179.0,11405814598.0,32898774629.0,12359311147.0,14501601246.0,14531318140.0,14936629217.0,49936456074.0,52924520123.0,54688035498.0,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,4168990558.0,4177053000.0,9863482521.0,13225095563.0,11141100037.0,14498410944.0,13810395522.0,13399608505.0,12363680410.0,14670976261.0,18604008494.0,19893042351.0,20604504396.0,,,,,,,
. Doanh thu hoạt động tài chính__1,2285765518.0,2897634041.0,2150033955.0,2631943605.0,2280288738.0,1264539548.0,5076172601.0,4344156474.0,811428446.0,1396651120.0,1127480186.0,704736260.0,1477711885.0,,,,,,,
. Chi phí tài chính__1,2511441425.0,580458567.0,,726598919.0,74437650.0,3269822255.0,2463363480.0,2409425732.0,228547267.0,494991605.0,295389149.0,322188080.0,1857049724.0,,,,,,,
- Trong đó: Chi phí lãi vay__1,,,,,,,,,649920.0,12214436.0,23954183.0,270269311.0,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,-369281769.0,-205856286.0,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,,105630757.0,324819945.0,1033967222.0,2016325872.0,2181933235.0,2792316096.0,4058674339.0,3742501560.0,4057603213.0,4538377968.0,9247471449.0,9304076504.0,,,,,,,
. Chi phí quản lý doanh nghiệp__1,3787641954.0,6172166996.0,10297605797.0,12526225142.0,9980476686.0,9473370256.0,10628820902.0,9562759400.0,9057165001.0,8686038877.0,9137468856.0,8446367745.0,10026923884.0,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,155672697.0,216430721.0,1391090734.0,1200966116.0,1144292281.0,837824746.0,3002067645.0,1712905508.0,146895028.0,2828993686.0,5760252707.0,2581751337.0,894166169.0,,,,,,,
. Thu nhập khác__1,262.0,922791594.0,3132.0,56653306.0,15844.0,1382949889.0,313643206.0,8508190728.0,4513373119.0,3968771806.0,2078770714.0,5549273593.0,6705652731.0,,,,,,,
. Chi phí khác__1,,14603459.0,466587841.0,800000.0,609183.0,64854916.0,799994957.0,396374353.0,2370415959.0,2596887789.0,2792341725.0,3311181764.0,4294964573.0,,,,,,,
. Lợi nhuận khác__1,262.0,908188135.0,-466584709.0,55853306.0,-593339.0,1318094973.0,-486351751.0,8111816375.0,2142957160.0,1371884017.0,-713571011.0,2238091829.0,2410688158.0,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,155672959.0,1124618856.0,924506025.0,1256819422.0,1143698942.0,2155919719.0,2515715894.0,9824721883.0,2289852188.0,4200877703.0,5201047980.0,4932013013.0,3304854327.0,,,,,,,
