field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001]
. Doanh thu bán hàng và cung cấp dịch vụ__1,2513046159418.0,2263874948973.0,2176099387460.0,1954200548516.0,1604522732044.0,1427532471713.0,1327412943279.0,1065138729121.0,890657423930.0,668480338889.0,506028429158.0,391121788478.0,291207911328.0,,,,,,,,
. Các khoản giảm trừ doanh thu__1,4445104204.0,545482482.0,341553515.0,851435379.0,794444912.0,2789867215.0,58884267624.0,47708007065.0,37547010602.0,27432226426.0,17976267180.0,13927241929.0,9062521952.0,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,2508601055214.0,2263329466491.0,2175757833945.0,1953349113137.0,1603728287132.0,1424742604498.0,1268528675655.0,1017430722056.0,853110413328.0,641048112463.0,488052161978.0,377194546549.0,282145389376.0,,,,,,,,
. Giá vốn hàng bán__1,1834808392179.0,1615194805043.0,1546247758799.0,1427380368817.0,1245093916912.0,1116114301411.0,948349388884.0,779982594355.0,659299509047.0,494751184672.0,363100715892.0,284656347024.0,206607585866.0,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,673792663035.0,648134661448.0,629510075146.0,525968744320.0,358634370220.0,308628303087.0,320179286771.0,237448127701.0,193810904281.0,146296927791.0,124951446086.0,92538199525.0,75537803510.0,,,,,,,,
. Doanh thu hoạt động tài chính__1,22735883891.0,17828637629.0,6535666044.0,4612926777.0,460735775.0,2916549872.0,2544609930.0,1642920028.0,494492334.0,857670318.0,4922708925.0,758263328.0,2826359414.0,,,,,,,,
. Chi phí tài chính__1,2114983535.0,6175385226.0,7110309980.0,13524817572.0,8973733905.0,6829089702.0,7684174083.0,5720725703.0,3989744170.0,2477272911.0,5844473040.0,3262830069.0,2636966183.0,,,,,,,,
- Trong đó: Chi phí lãi vay__1,2267053065.0,5550612330.0,6361700968.0,10639793898.0,10631312448.0,6213702095.0,4501699947.0,4568337518.0,3601243478.0,2078400236.0,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,347961147961.0,306168148468.0,281549094119.0,268631138306.0,195251262386.0,182972031704.0,186274414852.0,134905156165.0,109210508464.0,71915062253.0,56512519907.0,40479351559.0,33100766817.0,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,117814766582.0,133802508620.0,138434517303.0,114939573016.0,85336952159.0,61628083530.0,68264072040.0,48407393504.0,40316540970.0,33201621580.0,29567302308.0,22113727704.0,19463711903.0,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,228637648848.0,219817256763.0,208951819788.0,133486142203.0,69533157545.0,60115648023.0,60501235726.0,50057772357.0,40788603011.0,39560641365.0,37949859756.0,27440553521.0,23162718021.0,,,,,,,,
. Thu nhập khác__1,4210233237.0,5034813947.0,1773728522.0,3718760126.0,3288452937.0,3464799254.0,1459107842.0,1641762040.0,1924156040.0,872993736.0,3174245752.0,3098611671.0,1072961729.0,,,,,,,,
. Chi phí khác__1,363663550.0,1530163780.0,2194458645.0,6387659313.0,1585669753.0,210448955.0,1952247362.0,1650238253.0,286931933.0,46129250.0,645983368.0,,21962585.0,,,,,,,,
. Lợi nhuận khác__1,3846569687.0,3504650167.0,-420730123.0,-2668899187.0,1702783184.0,3254350299.0,-493139520.0,-8476213.0,1637224107.0,826864486.0,2528262384.0,3098611671.0,1050999144.0,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,232484218535.0,223321906930.0,208531089665.0,130817243016.0,71235940729.0,63369998322.0,60008096206.0,50049296144.0,42425827118.0,40387505851.0,40478122140.0,30539165192.0,24213717165.0,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,46496843707.0,44695577851.0,41934605941.0,30814613187.0,14376952434.0,12717507343.0,13705565741.0,10009859229.0,8485165424.0,5654250819.0,5666937100.0,3525902664.0,2326841798.0,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,185987374828.0,178626329079.0,166596483724.0,100002629829.0,56858988295.0,50652490979.0,46302530465.0,40039436915.0,33940661694.0,34733255032.0,34811185040.0,27013262528.0,21886875367.0,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,185987374828.0,178626329079.0,166596483724.0,100002629829.0,56858988295.0,50652490979.0,46302530465.0,40039436915.0,33940661694.0,34733255032.0,34811185040.0,27013262528.0,21886875367.0,,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,21813.0,20950.0,16454.0,9877.0,5616.0,4878.0,4425.0,,,,,,,,,,,,,,
. Lãi suy giảm trên cổ phiếu__1,,,,,,,,,,,,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,,
I - TÀI SẢN NGẮN HẠN__1,863962937046.0,750527051413.0,581931987325.0,449286730431.0,375277671366.0,332352550198.0,315333193993.0,260508878206.0,,181210937096.0,124228833398.0,113223836497.0,88276428766.0,,,,,,,,
. Tiền và các khoản tương đương tiền__1,167675646977.0,104037276936.0,134181845745.0,77493894833.0,85278504902.0,83043494590.0,48565974374.0,23292097140.0,,1524496843.0,3318724665.0,5194920382.0,1989957943.0,,,,,,,,
..Tiền__1,163050646977.0,99412276936.0,129556845745.0,73023094833.0,70807704902.0,68572694590.0,48235974374.0,23292097140.0,,1524496843.0,3318724665.0,5194920382.0,1989957943.0,,,,,,,,
..Các khoản tương đương tiền__1,4625000000.0,4625000000.0,4625000000.0,4470800000.0,14470800000.0,14470800000.0,330000000.0,,,,,,,,,,,,,,
. Các khoản đầu tư tài chính ngắn hạn__1,376803560429.0,317603955600.0,107603955600.0,23403955600.0,2068316200.0,1455442200.0,1455442200.0,29245358400.0,,1079985800.0,1079985800.0,4414595336.0,5871407136.0,,,,,,,,
.. Chứng khoán kinh doanh__1,6728500972.0,7007751097.0,7007751097.0,7007751097.0,7007751097.0,8232526618.0,8232526618.0,,,,,,,,,,,,,,
.. Dự phòng giảm giá chứng khoán kinh doanh__1,-3477047372.0,-5403795497.0,-5403795497.0,-5403795497.0,-4939434897.0,-6777084418.0,-6777084418.0,,,,,,,,,,,,,,
.. Đầu tư nắm giữ đến ngày đáo hạn__1,373552106829.0,316000000000.0,106000000000.0,21800000000.0,,,,,,,,,,,,,,,,,
. Các khoản phải thu ngắn hạn__1,167353215911.0,149137831131.0,165207397517.0,186266196567.0,142757286908.0,98362574325.0,118175533862.0,80187681072.0,,69914334722.0,45437012485.0,49832122114.0,41714147640.0,,,,,,,,
..Phải thu khách hàng__1,155502179504.0,132109934649.0,158117547452.0,179485240703.0,131621729505.0,81639527531.0,97707753062.0,74458117631.0,,65471194473.0,39178019990.0,44974444896.0,35509880578.0,,,,,,,,
..Trả trước cho người bán__1,2054125327.0,1000858627.0,644418093.0,3149984013.0,6919204519.0,11363259036.0,16661075408.0,1632568076.0,,1453585232.0,3423316612.0,1853356214.0,1395462617.0,,,,,,,,
.. Phải thu nội bộ ngắn hạn__1,,,,,,,,4272090537.0,,2846172506.0,1101612086.0,1168983613.0,1083515660.0,,,,,,,,
.. Phải thu theo tiến độ Kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Các khoản phải thu khác__1,9697667790.0,16027037855.0,6445431972.0,4017188525.0,4602569558.0,5747306432.0,4194224066.0,77600000.0,,255831364.0,1846512650.0,1889216561.0,3725288785.0,,,,,,,,
.. Dự phòng phải thu ngắn hạn khó đòi__1,,,,-386216674.0,-386216674.0,-387518674.0,-387518674.0,-252695172.0,,-112448853.0,-112448853.0,-53879170.0,,,,,,,,,
. Tài sản thiếu chờ xử lý__1,99243290.0,,,,,,,,,,,,,,,,,,,,
. Hàng tồn kho__1,152130513729.0,179653924940.0,174938788463.0,162122683431.0,144500999364.0,148031096569.0,146053831725.0,123606376519.0,,94752315736.0,71082316384.0,51616350615.0,35028985767.0,,,,,,,,
.. Hàng tồn kho__1,152130513729.0,179653924940.0,174938788463.0,162122683431.0,144500999364.0,148031096569.0,146053831725.0,123606376519.0,,94752315736.0,71082316384.0,51616350615.0,35028985767.0,,,,,,,,
.. Dự phòng giảm giá hàng tồn kho__1,,,,,,,,,,,,,,,,,,,,,
. Tài sản ngắn hạn khác__1,,94062806.0,,,672563992.0,1459942514.0,1082411832.0,4177365075.0,,13939803995.0,3310794064.0,2165848050.0,3671930280.0,,,,,,,,
.. Chi phí trả trước ngắn hạn__1,,,,,662539229.0,818350000.0,,627186170.0,,9656414819.0,1131840536.0,,1996442547.0,,,,,,,,
.. Thuế GTGT được khấu trừ__1,,,,,,,,,,100106505.0,100106505.0,122242313.0,,,,,,,,,
.. Thuế và các khoản khác phải thu Nhà nước__1,,94062806.0,,,10024763.0,641592514.0,1082411832.0,876881597.0,,2173570363.0,47914715.0,1017412145.0,725846141.0,,,,,,,,
. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,,
.. Tài sản ngắn hạn khác__1,,,,,,,,2673297308.0,,2009712308.0,2030932308.0,1026193592.0,949641592.0,,,,,,,,
II - TÀI SẢN DÀI HẠN__1,297840815633.0,260817625009.0,282775499046.0,286460247855.0,253021819886.0,230354120753.0,152429648068.0,148085235147.0,,142847505214.0,120111723285.0,111894289375.0,91104566790.0,,,,,,,,
. Các khoản phải thu dài hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn của khách hàng__1,,,,,,,,,,,,,,,,,,,,,
. Trả trước cho người bán dài hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Vốn kinh doanh ở đơn vị trực thuộc__1,,,,,,,,,,,,,,,,,,,,,
.. Phải thu nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay dài hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn khác__1,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng phải thu khó đòi__1,,,,,,,,,,,,,,,,,,,,,
. Tài sản cố định__1,242903758230.0,258257925009.0,267435080864.0,272188011491.0,246138380076.0,148740262105.0,142297883171.0,131277831890.0,,122899598168.0,104196723779.0,96310179883.0,81307513358.0,,,,,,,,
.. Tài sản cố định hữu hình__1,209491670589.0,224505877425.0,232393796078.0,236720973986.0,209483510284.0,110871160643.0,103240949421.0,90978762844.0,,80826758280.0,68510530290.0,59808045803.0,44013754582.0,,,,,,,,
- Nguyên giá__1,398460848626.0,386717939146.0,369178704763.0,351029255909.0,302010133662.0,189503856191.0,169932099575.0,148821268252.0,,120803776118.0,100575267364.0,85695779198.0,65139696462.0,,,,,,,,
- Giá trị hao mòn luỹ kế__1,-188969178037.0,-162212061721.0,-136784908685.0,-114308281923.0,-92526623378.0,-78632695548.0,-66691150154.0,-57842505408.0,,-39977017838.0,-32064737074.0,-25887733395.0,-21125941880.0,,,,,,,,
.. Tài sản cố định thuê tài chính__1,,,,,,,,,,,,,,,,,,,,,
- Nguyên giá__2,,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__2,,,,,,,,,,,,,,,,,,,,,
.. Tài sản cố định vô hình__1,33412087641.0,33752047584.0,35041284786.0,35467037505.0,36654869792.0,37869101462.0,39056933750.0,40299069046.0,,42072839888.0,35686193489.0,36502134080.0,37293758776.0,,,,,,,,
- Nguyên giá__3,48862336787.0,47885836787.0,47885836787.0,47052982027.0,47052982027.0,47103746880.0,47103746880.0,47103746880.0,,46501466680.0,38952113853.0,38952113853.0,38917113853.0,,,,,,,,
- Giá trị hao mòn luỹ kế__3,-15450249146.0,-14133789203.0,-12844552001.0,-11585944522.0,-10398112235.0,-9234645418.0,-8046813130.0,-6804677834.0,,-4428626792.0,-3265920364.0,-2449979773.0,-1623355077.0,,,,,,,,
. Bất động sản đầu tư__1,,,,,,,,,,,,,,,,,,,,,
- Nguyên giá__4,,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__4,,,,,,,,,,,,,,,,,,,,,
. Tài sản dở dang dài hạn__1,54937057403.0,2559700000.0,5340418182.0,4272236364.0,383841008.0,71201604227.0,4066254431.0,,,,,,,,,,,,,,
". Chi phí sản xuất, kinh doanh dở dang dài hạn__1",,,,,,,,,,,,,,,,,,,,,
. Chi phí xây dựng cơ bản dở dang__1,54937057403.0,2559700000.0,5340418182.0,4272236364.0,383841008.0,71201604227.0,4066254431.0,,,,,,,,,,,,,,
. Đầu tư tài chính dài hạn__1,,,10000000000.0,10000000000.0,,,,,,,,,,,,,,,,,
. Đầu tư vào công ty con__1,,,,,,,,,,,,,,,,,,,,,
". Đầu tư vào công ty liên kết, liên doanh__1",,,,,,,,,,300000000.0,300000000.0,300000000.0,300000000.0,,,,,,,,
. Đầu tư góp vốn vào đơn vị khác__1,,,,,,,,,,,,,,,,,,,,,
. Dự phòng giảm giá đầu tư dài hạn__1,,,,,,,,,,-300000000.0,-300000000.0,-300000000.0,-300000000.0,,,,,,,,
. Đầu tư nắm giữ đến ngày đáo hạn__1,,,10000000000.0,10000000000.0,,,,,,,,,,,,,,,,,
. Tài sản dài hạn khác__1,,,,,6499598802.0,10412254421.0,6065510466.0,4401266014.0,,10912172679.0,4228256666.0,6253191445.0,953028174.0,,,,,,,,
. Chi phí trả trước dài hạn__1,,,,,6499598802.0,10412254421.0,6065510466.0,4401266014.0,,10912172679.0,4228256666.0,6253191445.0,953028174.0,,,,,,,,
. Tài sản thuế thu nhập hoãn lại__1,,,,,,,,,,,,,,,,,,,,,
". Thiết bị, vật tư, phụ tùng thay thế dài hạn__1",,,,,,,,,,,,,,,,,,,,,
. Tài sản dài hạn khác__2,,,,,,,,,,,,,,,,,,,,,
". Ký quỹ, ký cược dài hạn__1",,,,,,,,,,,,,,,,,,,,,
. Lợi thế thương mại__1,,,,,,,,,,,,,,,,,,,,,
Tổng cộng tài sản__1,1161803752679.0,1011344676422.0,864707486371.0,735746978286.0,628299491252.0,562706670951.0,467762842061.0,408594113353.0,,324058442310.0,244340556683.0,225118125872.0,179380995556.0,,,,,,,,
I - NỢ PHẢI TRẢ__1,492459438242.0,467477154543.0,414498700081.0,399190675720.0,362503020856.0,326696690654.0,243676218644.0,206200441664.0,,136795193659.0,72000181953.0,103820808088.0,67004049120.0,,,,,,,,
. Nợ ngắn hạn__1,486314312492.0,461332028793.0,397224523237.0,359787396621.0,311661543875.0,290356162654.0,243676218644.0,206200441664.0,,136304192684.0,71509180978.0,103616025717.0,66753390620.0,,,,,,,,
.. Phải trả người bán ngắn hạn__1,171623933320.0,139370501843.0,110141320723.0,133345212918.0,121655529329.0,100520677089.0,105425111846.0,,,,,,,,,,,,,,
.. Người mua trả tiền trước ngắn hạn__1,13499775052.0,8026856228.0,4065553749.0,4196970046.0,4900830341.0,5125767493.0,4568167516.0,,,,,,,,,,,,,,
..Thuế và các khoản phải nộp Nhà nước__1,19773871659.0,4127769687.0,19920390613.0,28582598068.0,4855184006.0,2691864281.0,6282464421.0,9064095999.0,,1469927436.0,3224232209.0,1808427302.0,2729293332.0,,,,,,,,
.. Phải trả người lao động__1,57055225003.0,78568696532.0,39890461479.0,15703054115.0,21888807091.0,6399507345.0,16258817023.0,8077875553.0,,5878256938.0,5037147659.0,3870397277.0,2508991180.0,,,,,,,,
.. Chi phí phải trả ngắn hạn__1,51237250612.0,52791391934.0,99225551478.0,74279086125.0,,415430106.0,899145036.0,,,,,,,,,,,,,,
.. Phải trả nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,,
.. Doanh thu chưa thực hiện ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Phải trả ngắn hạn khác__1,2341062034.0,974621737.0,149446719.0,1429548914.0,3021725760.0,953916340.0,10984720666.0,,,,,,,,,,,,,,
.. Vay và nợ thuê tài chính ngắn hạn__1,104050000000.0,104126051111.0,85354102245.0,91476102204.0,154658490776.0,174249000000.0,105963000000.0,,,,,,,,,,,,,,
.. Dự phòng phải trả ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,
". Quỹ khen thưởng, phúc lợi__1",66733194812.0,73346139721.0,38477696231.0,10774824231.0,680976572.0,,-6705207864.0,,,,,,,,,,,,,,
.. Quỹ bình ổn giá__1,,,,,,,,,,,,,,,,,,,,,
.. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,,
. Nợ dài hạn__1,6145125750.0,6145125750.0,17274176844.0,39403279099.0,50841476981.0,36340528000.0,,,,491000975.0,491000975.0,204782371.0,250658500.0,,,,,,,,
.. Phải trả dài hạn người bán__1,,,,,,,,,,,,,,,,,,,,,
. Người mua trả tiền trước dài hạn__1,,,,,,,,,,,,,,,,,,,,,
. Chi phí phải trả dài hạn__1,,,,,,,,,,,,,,,,,,,,,
. Phải trả nội bộ về vốn kinh doanh__1,,,,,,,,,,,,,,,,,,,,,
. Phải trả dài hạn nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,,,
. Doanh thu chưa thực hiện dài hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Phải trả dài hạn khác__1,,,,,90000000.0,,,,,,,,,,,,,,,,
. Vay và nợ thuê tài chính dài hạn__1,,,11129051094.0,33258153349.0,50751476981.0,36340528000.0,,,,,,,,,,,,,,,
. Trái phiếu chuyển đổi__1,,,,,,,,,,,,,,,,,,,,,
