field,[2021],[2020],[2019],[2018],[2016],[2015],[2014],[2012],[2011],[2010],[2009],[2007],[2006],[2005],[2004],[2002],[2001],[2000],[1999],[1998],[2017],[2013],[2008],[2003]
. Doanh thu bán hàng và cung cấp dịch vụ__1,,,,,,,,,,,1024822163037.0,528255264000.0,28855899000.0,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,,,,,,,,,,,107635855723.0,2515949000.0,100166000.0,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,,,,,,,,,,,917186307314.0,525739315000.0,28755733000.0,,,,,,,,,,,
. Giá vốn hàng bán__1,,,,,,,,,,,701404552199.0,465003958000.0,25885070000.0,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,,,,,,,,,,,215781755115.0,60735357000.0,2870663000.0,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,,,,,,,,,,,857239394.0,15786000.0,995000.0,,,,,,,,,,,
. Chi phí tài chính__1,,,,,,,,,,,11615101508.0,2058436000.0,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,,,,,,,,,,,10838224427.0,1451482000.0,,,,,,,,,,,,
. Chi phí bán hàng__1,,,,,,,,,,,33522664284.0,4451159000.0,79968000.0,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,,,,,,,,,,,34977786719.0,27898594000.0,2425755000.0,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,,,,,,,,,,,136523441998.0,26342954000.0,365935000.0,,,,,,,,,,,
. Thu nhập khác__1,,,,,,,,,,,596946446.0,753674000.0,55000.0,,,,,,,,,,,
. Chi phí khác__1,,,,,,,,,,,2646608550.0,791392000.0,38945000.0,,,,,,,,,,,
. Lợi nhuận khác__1,,,,,,,,,,,-2049662104.0,-37718000.0,-38890000.0,,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,,,,,,,,,,,134473779894.0,26305236000.0,327045000.0,,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,,,,,,,,,,,25978551234.0,8003357000.0,93059000.0,,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,,,,,,,,,,,-252738946.0,-231923000.0,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,,,,,,,,,,,108747967606.0,18533802000.0,233986000.0,,,,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,,,,-425738035.0,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,,,,,,,,,,,109173705641.0,18533802000.0,233986000.0,,,,,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,,,,,,,,,,,11977.0,5310.0,310.0,,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,,,,,
. Lãi suy giảm trên cổ phiếu__1,,,,,,,,,,,,,,,,,,,,,,,,
I - TÀI SẢN NGẮN HẠN__1,,,,,,,,,,,571730656815.0,109022825099.0,9436179000.0,,,,,,,,,,198521148321.0,
. Tiền và các khoản tương đương tiền__1,,,,,,,,,,,102047757377.0,4508357953.0,469122000.0,,,,,,,,,,3659859568.0,
