field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001],[2000]
. Doanh thu bán hàng và cung cấp dịch vụ__1,1202118007800.0,1181292670827.0,929511364655.0,951861392159.0,966645073944.0,774467380086.0,627367336690.0,,,,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,,,,225442396.0,,,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,1202118007800.0,1181292670827.0,929511364655.0,951635949763.0,966645073944.0,774467380086.0,627367336690.0,,,,,,,,,,,,,,,
. Giá vốn hàng bán__1,1086291346579.0,1037415460670.0,821531807195.0,853031436742.0,850057619934.0,658167304905.0,531357604255.0,,,,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,115826661221.0,143877210157.0,107979557460.0,98604513021.0,116587454010.0,116300075181.0,96009732435.0,,,,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,1905162437.0,1570094702.0,742470127.0,2005997913.0,2632951333.0,2616628534.0,943650907.0,,,,,,,,,,,,,,,
. Chi phí tài chính__1,12560084214.0,12866387256.0,12656777415.0,9087675653.0,6421852195.0,5390178514.0,5545087182.0,,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,11846446610.0,11516025588.0,11009535601.0,7666838099.0,3434106593.0,2639233579.0,3038729296.0,,,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",-1062102528.0,-1300320055.0,-590667737.0,-636379268.0,-1623254729.0,134070485.0,1251580520.0,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,4971226705.0,7882734541.0,10022562775.0,1472090170.0,8710881806.0,12164843271.0,7150894901.0,,,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,41991983140.0,56093772071.0,37568120332.0,40756298149.0,43761137031.0,47478644983.0,40811942968.0,,,,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,57146427071.0,67304090936.0,47883899328.0,48658067694.0,58703279582.0,54017107432.0,44697038811.0,,,,,,,,,,,,,,,
. Thu nhập khác__1,2688277997.0,1019892803.0,2059974125.0,645067443.0,436589081.0,688951184.0,750414499.0,,,,,,,,,,,,,,,
. Chi phí khác__1,3155531376.0,81388998.0,139814928.0,105946243.0,294308969.0,317606477.0,1092352896.0,,,,,,,,,,,,,,,
. Lợi nhuận khác__1,-467253379.0,938503805.0,1920159197.0,539121200.0,142280112.0,371344707.0,-341938397.0,,,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,56679173692.0,68242594741.0,49804058525.0,49197188894.0,58845559694.0,54388452139.0,44355100414.0,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,11447703707.0,13800198551.0,10098291122.0,10003800519.0,11981269102.0,11308700244.0,10320202620.0,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,212420506.0,260064011.0,118133547.0,20664279.0,-8063996.0,-240873282.0,604678265.0,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,45019049479.0,54182332179.0,39587633856.0,39172724096.0,46872354588.0,43320625177.0,33430219529.0,,,,,,,,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,12513398541.0,14639884305.0,9181563742.0,10318069254.0,12183873868.0,10862170332.0,7146096149.0,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,32505650938.0,39542447874.0,30406070114.0,28854654842.0,34688480720.0,32458454845.0,26284123380.0,,,,,,,,,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,5069.0,8450.0,4742.0,4500.0,5410.0,4450.0,3257.0,,,,,,,,,,,,,,,
. Lãi suy giảm trên cổ phiếu__1,,,,,,,,,,,,,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,,,
I - TÀI SẢN NGẮN HẠN__1,556487421777.0,535658053569.0,470889460086.0,581653389715.0,490540872224.0,346158313899.0,308703154656.0,,,,,,,,,,,,,,,
. Tiền và các khoản tương đương tiền__1,44965236121.0,70109561123.0,35374841313.0,48178243503.0,75332190905.0,76188346394.0,55844511786.0,,,,,,,,,,,,,,,
..Tiền__1,41465236121.0,69599561123.0,30374841313.0,35678243503.0,28832190905.0,28688346394.0,18344511786.0,,,,,,,,,,,,,,,
..Các khoản tương đương tiền__1,3500000000.0,510000000.0,5000000000.0,12500000000.0,46500000000.0,47500000000.0,37500000000.0,,,,,,,,,,,,,,,
. Các khoản đầu tư tài chính ngắn hạn__1,7400000000.0,31900000000.0,,,,,5000000000.0,,,,,,,,,,,,,,,
.. Chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,,
.. Đầu tư nắm giữ đến ngày đáo hạn__1,7400000000.0,31900000000.0,,,,,5000000000.0,,,,,,,,,,,,,,,
. Các khoản phải thu ngắn hạn__1,294923214798.0,260640118065.0,301489462247.0,323721816490.0,245273682491.0,138298177604.0,109842845673.0,,,,,,,,,,,,,,,
..Phải thu khách hàng__1,347489833817.0,301585062242.0,338430539317.0,363537539819.0,278086288220.0,160910926727.0,142398063084.0,,,,,,,,,,,,,,,
..Trả trước cho người bán__1,3234505223.0,13613034687.0,4647394125.0,5387353999.0,12454882650.0,20440846346.0,1240182833.0,,,,,,,,,,,,,,,
.. Phải thu nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,
.. Phải thu theo tiến độ Kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay ngắn hạn__1,,2931804810.0,2931804810.0,2931804810.0,2931804810.0,2931804810.0,2931804810.0,,,,,,,,,,,,,,,
.. Các khoản phải thu khác__1,6044522128.0,3906528522.0,6174719268.0,2515566209.0,2054039741.0,1863145877.0,1256084238.0,,,,,,,,,,,,,,,
.. Dự phòng phải thu ngắn hạn khó đòi__1,-61845646370.0,-61396312196.0,-50694995273.0,-50650448347.0,-50253332930.0,-47848546156.0,-37983289292.0,,,,,,,,,,,,,,,
. Tài sản thiếu chờ xử lý__1,,,,,,,,,,,,,,,,,,,,,,
. Hàng tồn kho__1,207037719255.0,170060380218.0,134025156526.0,207592480580.0,167900027247.0,131671789901.0,138015797197.0,,,,,,,,,,,,,,,
.. Hàng tồn kho__1,207084309843.0,170106970806.0,134871747114.0,208439071168.0,168746617835.0,132518380489.0,138149706957.0,,,,,,,,,,,,,,,
.. Dự phòng giảm giá hàng tồn kho__1,-46590588.0,-46590588.0,-846590588.0,-846590588.0,-846590588.0,-846590588.0,-133909760.0,,,,,,,,,,,,,,,
. Tài sản ngắn hạn khác__1,2161251603.0,2947994163.0,,2160849142.0,2034971581.0,,,,,,,,,,,,,,,,,
.. Chi phí trả trước ngắn hạn__1,,,,840902822.0,,,,,,,,,,,,,,,,,,
.. Thuế GTGT được khấu trừ__1,2161251603.0,2947994163.0,,1319946320.0,2034971581.0,,,,,,,,,,,,,,,,,
.. Thuế và các khoản khác phải thu Nhà nước__1,,,,,,,,,,,,,,,,,,,,,,
. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,,,
.. Tài sản ngắn hạn khác__1,,,,,,,,,,,,,,,,,,,,,,
II - TÀI SẢN DÀI HẠN__1,271027653939.0,240141581294.0,238492055603.0,235170391011.0,156230112772.0,101915560007.0,85565772301.0,,,,,,,,,,,,,,,
. Các khoản phải thu dài hạn__1,,,295000000.0,295000000.0,295000000.0,5002000150.0,,,,,,,,,,,,,,,,
.. Phải thu dài hạn của khách hàng__1,,,295000000.0,,,,,,,,,,,,,,,,,,,
. Trả trước cho người bán dài hạn__1,,,,,,,,,,,,,,,,,,,,,,
.. Vốn kinh doanh ở đơn vị trực thuộc__1,,,,,,,,,,,,,,,,,,,,,,
