field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2000],[1999],[2001]
. Doanh thu bán hàng và cung cấp dịch vụ__1,122078963517.0,136631087800.0,152165877642.0,141694677124.0,165852064858.0,181180820832.0,173657730431.0,,,,,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,60299727.0,,,,,,,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,122018663790.0,136631087800.0,152165877642.0,141694677124.0,165852064858.0,181180820832.0,173657730431.0,,,,,,,,,,,,,,,,
. Giá vốn hàng bán__1,104714562125.0,111144148461.0,126050907901.0,117381463370.0,133632685001.0,146661265197.0,139426105628.0,,,,,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,17304101665.0,25486939339.0,26114969741.0,24313213754.0,32219379857.0,34519555635.0,34231624803.0,,,,,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,8268564.0,20205333.0,9794091.0,40492956.0,247450846.0,31361258.0,90841402.0,,,,,,,,,,,,,,,,
. Chi phí tài chính__1,5903532597.0,8706474284.0,10554178104.0,12402824987.0,13615824817.0,16682906873.0,18849631366.0,,,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,5902827434.0,8706463813.0,10554161749.0,12380980043.0,13615824531.0,16682439732.0,18847781297.0,,,,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,3385646799.0,4015561089.0,3733071483.0,3616685435.0,3672879869.0,5529577885.0,3616608741.0,,,,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,8919672219.0,11382629271.0,8041103129.0,7210868327.0,11615933345.0,8187629306.0,8732017375.0,,,,,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,-896481386.0,1402480028.0,3796411116.0,1123327961.0,3562192672.0,4150802829.0,3124208723.0,,,,,,,,,,,,,,,,
. Thu nhập khác__1,236731601.0,130447190.0,1579997867.0,1889758336.0,2471321093.0,5384793731.0,4465847266.0,,,,,,,,,,,,,,,,
. Chi phí khác__1,153236511.0,211412125.0,853984693.0,141226672.0,74886254.0,577027395.0,442628060.0,,,,,,,,,,,,,,,,
. Lợi nhuận khác__1,83495090.0,-80964935.0,726013174.0,1748531664.0,2396434839.0,4807766336.0,4023219206.0,,,,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,-812986296.0,1321515093.0,4522424290.0,2871859625.0,5958627511.0,8958569165.0,7147427929.0,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,70217000.0,525126702.0,1712557327.0,89709018.0,,134957776.0,,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,,,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,-883203296.0,796388391.0,2809866963.0,2782150607.0,5958627511.0,8823611389.0,7147427929.0,,,,,,,,,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,-883203296.0,796388391.0,2809866963.0,2782150607.0,5958627511.0,8823611389.0,7147427929.0,,,,,,,,,,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,-115.0,104.0,365.0,362.0,775.0,1147.0,929.0,,,,,,,,,,,,,,,,
. Lãi suy giảm trên cổ phiếu__1,-115.0,104.0,365.0,362.0,775.0,1147.0,929.0,,,,,,,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,,,,
