field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2013],[2012],[2011],[2010],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001],[2000],[2014],[2009]
. Tài sản ngắn hạn khác__1,4705616436.0,5103528470.0,5180730763.0,5975268335.0,2908564787.0,3931031709.0,,,,,,,,,,,,,,,,
.. Chi phí trả trước ngắn hạn__1,1098763096.0,1031264096.0,957198770.0,577358452.0,591015316.0,551983377.0,,,,,,,,,,,,,,,,
.. Thuế GTGT được khấu trừ__1,3606853340.0,4072264374.0,4223531993.0,5397909883.0,2279936975.0,3379048332.0,,,,,,,,,,,,,,,,
.. Thuế và các khoản khác phải thu Nhà nước__1,,,,,37612496.0,,,,,,,,,,,,,,,,,
. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,,,
.. Tài sản ngắn hạn khác__1,,,,,,,,,,,,,,,,,,,,,,
II - TÀI SẢN DÀI HẠN__1,84172003514.0,67602034605.0,68083641522.0,66032816815.0,49060362575.0,208800470351.0,,,,,,,,,,,,,,,,
. Các khoản phải thu dài hạn__1,1384500000.0,1284500000.0,1191500000.0,,188006175.0,188420925.0,,,,,,,,,,,,,,,,
.. Phải thu dài hạn của khách hàng__1,,,,,,,,,,,,,,,,,,,,,,
. Trả trước cho người bán dài hạn__1,,,,,,,,,,,,,,,,,,,,,,
.. Vốn kinh doanh ở đơn vị trực thuộc__1,,,,,,,,,,,,,,,,,,,,,,
.. Phải thu nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay dài hạn__1,,,,,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn khác__1,1384500000.0,1284500000.0,1191500000.0,,4592746575.0,188420925.0,,,,,,,,,,,,,,,,
.. Dự phòng phải thu khó đòi__1,,,,,-4404740400.0,,,,,,,,,,,,,,,,,
. Tài sản cố định__1,65981686348.0,58715314872.0,60529403194.0,59112903443.0,43624051952.0,203906077552.0,,,,,,,,,,,,,,,,
.. Tài sản cố định hữu hình__1,65413925609.0,58117635181.0,58962234875.0,57640482836.0,42143712389.0,190813673215.0,,,,,,,,,,,,,,,,
