field,[2021],[2020],[2018],[2017],[2016],[2013],[2009],[2008],[2007],[2006],[2005],[2004],[2002],[2001],[2000],[1999],[1998],[1997],[1995],[1994],[2019],[2015],[2014],[2012],[2011],[2010],[2003]
. Chi phí thuế TNDN hiện hành__1,,,11284267.0,40710166.0,60232907.0,87079864.0,31897879.0,,,,,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,43576816.0,-244118237.0,39837069.0,162840665.0,240931629.0,294941753.0,112105414.0,,,,,,,,,,,,,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,43576816.0,-244118237.0,39837069.0,162840665.0,240931629.0,294941753.0,112105414.0,,,,,,,,,,,,,,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,44.0,-244.0,40.0,163.0,241.0,295.0,112.0,,,,,,,,,,,,,,,,,,,,
. Lãi suy giảm trên cổ phiếu__1,44.0,-244.0,40.0,163.0,241.0,,,,,,,,,,,,,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
I - TÀI SẢN NGẮN HẠN__1,5105920911.0,4303004194.0,4748070494.0,5831586700.0,6458664545.0,5219000829.0,4212305414.0,,,,,,,,,,,,,,4151443405.0,7630359382.0,6628744990.0,5277861536.0,4462841217.0,4749720047.0,
. Tiền và các khoản tương đương tiền__1,1061233476.0,1041953076.0,1396915820.0,2574136587.0,3279345158.0,2274051218.0,1258184999.0,,,,,,,,,,,,,,822651102.0,2748517378.0,4240546146.0,864956793.0,581328416.0,1526650210.0,
..Tiền__1,1061233476.0,1041953076.0,1396915820.0,1574136587.0,1279345158.0,1274051218.0,258184999.0,,,,,,,,,,,,,,822651102.0,1248517378.0,1740546146.0,864956793.0,581328416.0,1026650210.0,
..Các khoản tương đương tiền__1,,,,1000000000.0,2000000000.0,1000000000.0,1000000000.0,,,,,,,,,,,,,,,1500000000.0,2500000000.0,,,500000000.0,
. Các khoản đầu tư tài chính ngắn hạn__1,,,,,,905805063.0,2161198072.0,,,,,,,,,,,,,,,,1027851874.0,,1778174167.0,2394072051.0,
.. Chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
.. Đầu tư nắm giữ đến ngày đáo hạn__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
. Các khoản phải thu ngắn hạn__1,3426840386.0,2878086509.0,2351941216.0,1803799131.0,1992353501.0,882768152.0,279037857.0,,,,,,,,,,,,,,2365778931.0,1264279496.0,755478176.0,2123328283.0,1050783513.0,242161590.0,
..Phải thu khách hàng__1,,2240000.0,,35490364.0,26400000.0,25753050.0,99554418.0,,,,,,,,,,,,,,,,14053050.0,24799778.0,68739300.0,103696450.0,
..Trả trước cho người bán__1,,,1000000.0,100000000.0,16840000.0,180000.0,,,,,,,,,,,,,,,3280000.0,,9420000.0,,,,
.. Phải thu nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
.. Phải thu theo tiến độ Kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay ngắn hạn__1,921477559.0,900816575.0,781110330.0,789065294.0,814499043.0,,,,,,,,,,,,,,,,912098234.0,582394501.0,,,,,
.. Các khoản phải thu khác__1,2870400852.0,2340067959.0,1569830886.0,879243473.0,1134614458.0,856835102.0,179483439.0,,,,,,,,,,,,,,1815438722.0,681884995.0,732005126.0,2098528505.0,982044213.0,138465140.0,
.. Dự phòng phải thu ngắn hạn khó đòi__1,-365038025.0,-365038025.0,,,,,,,,,,,,,,,,,,,-365038025.0,,,,,,
. Tài sản thiếu chờ xử lý__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
. Hàng tồn kho__1,617847049.0,382841849.0,956723567.0,1453650982.0,1089104688.0,1138676396.0,492894284.0,,,,,,,,,,,,,,923199799.0,3617562508.0,587168794.0,2259876460.0,929086201.0,548636196.0,
.. Hàng tồn kho__1,617847049.0,382841849.0,956723567.0,1453650982.0,1089104688.0,1138676396.0,492894284.0,,,,,,,,,,,,,,923199799.0,3617562508.0,587168794.0,2259876460.0,929086201.0,548636196.0,
.. Dự phòng giảm giá hàng tồn kho__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
. Tài sản ngắn hạn khác__1,,122760.0,42489891.0,,97861198.0,17700000.0,20990202.0,,,,,,,,,,,,,,39813573.0,,17700000.0,29700000.0,123468920.0,38200000.0,
.. Chi phí trả trước ngắn hạn__1,,,2690909.0,,68222222.0,,,,,,,,,,,,,,,,,,,,,,
.. Thuế GTGT được khấu trừ__1,,122760.0,39798982.0,,29638976.0,,9363002.0,,,,,,,,,,,,,,39813573.0,,,,76168920.0,,
.. Thuế và các khoản khác phải thu Nhà nước__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
.. Tài sản ngắn hạn khác__1,,,,,,17700000.0,11627200.0,,,,,,,,,,,,,,,,17700000.0,29700000.0,47300000.0,38200000.0,
II - TÀI SẢN DÀI HẠN__1,8520227858.0,9006210440.0,8894246171.0,7975585950.0,8035150385.0,8064396554.0,8758985804.0,,,,,,,,,,,,,,9153333676.0,6905530646.0,7845584130.0,8825329953.0,9344162778.0,9131124879.0,
. Các khoản phải thu dài hạn__1,5131982381.0,5151703501.0,4132592031.0,3709205593.0,3439101708.0,,,,,,,,,,,,,,,,4664683615.0,3392071199.0,,,,,
.. Phải thu dài hạn của khách hàng__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
