field,[2021],[2020],[2018],[2017],[2016],[2014],[2013],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001],[2000],[1999],[2019],[2015],[2012]
. Doanh thu bán hàng và cung cấp dịch vụ__1,179014188314.0,,,,,,,,,,,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,90840504.0,,,,,,,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,178923347810.0,169525497586.0,,,,,,,,,,,,,,,,,,,,,
. Giá vốn hàng bán__1,115615783038.0,111455899856.0,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,63307564772.0,58069597730.0,,,,,,,,,,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,3179682185.0,719865949.0,,,,,,,,,,,,,,,,,,,,,
. Chi phí tài chính__1,3526628819.0,100898518.0,,,,,,,,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,3526628819.0,100898518.0,,,,,,,,,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,-38249789951.0,,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,41984011137.0,,,,,,,,,,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,20903298442.0,19168814727.0,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,73308559.0,1269960483.0,,,,,,,,,,,,,,,,,,,,,
. Thu nhập khác__1,820330090.0,829808457.0,,,,,,,,,,,,,,,,,,,,,
. Chi phí khác__1,216796637.0,459990059.0,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận khác__1,603533453.0,369818398.0,,,,,,,,,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,676842012.0,1639778881.0,,,,,,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,,,,,,,,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,,,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,676842012.0,1639778881.0,,,,,,,,,,,,,,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,676842012.0,1639778881.0,,,,,,,,,,,,,,,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,21.0,52.0,,,,,,,,,,,,,,,,,,,,,
. Lãi suy giảm trên cổ phiếu__1,,,,,,,,,,,,,,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,,,,
I - TÀI SẢN NGẮN HẠN__1,136224028185.0,167705837480.0,,,,,,,,,,,,,,,,,,,,,
. Tiền và các khoản tương đương tiền__1,11621418937.0,6977149898.0,,,,,,,,,,,,,,,,,,,,,
