field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002]
. Doanh thu bán hàng và cung cấp dịch vụ__1,1168012481708.0,490035760636.0,451600095067.0,828459163403.0,268030832538.0,49722122626.0,2238926568.0,4247486490.0,,,,,,,19335000.0,,,,,
. Các khoản giảm trừ doanh thu__1,,,,,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,1168012481708.0,490035760636.0,451600095067.0,828459163403.0,268030832538.0,49722122626.0,2238926568.0,4247486490.0,,,,,,,19335000.0,,,,,
. Giá vốn hàng bán__1,758816001731.0,333139297158.0,341330729941.0,675719344869.0,179086015976.0,43549244729.0,2157929175.0,5191540938.0,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,409196479977.0,156896463478.0,110269365126.0,152739818534.0,88944816562.0,6172877897.0,80997393.0,-944054448.0,,,,,,,19335000.0,,,,,
. Doanh thu hoạt động tài chính__1,22384628348.0,28025974485.0,21753137944.0,8064444571.0,7762616482.0,5183892078.0,66075647206.0,16052421343.0,12107118879.0,8745888251.0,14778905020.0,13835112571.0,23335797479.0,20789398573.0,54642538244.0,,,,,
. Chi phí tài chính__1,32379886616.0,19822032236.0,11430780958.0,30333921137.0,2406359433.0,952462899.0,38657162980.0,1335466194.0,-3023276327.0,24423988665.0,2706672270.0,7618596621.0,11850675656.0,116846097653.0,19514742050.0,,,,,
- Trong đó: Chi phí lãi vay__1,34878655425.0,20004337317.0,10266617324.0,1840930096.0,1977384132.0,887117899.0,64580239.0,815981483.0,29087173.0,4099165.0,,,,8301545920.0,2430501402.0,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",-440922179.0,-1034998354.0,-1655777546.0,-138927246.0,746906333.0,-4176410297.0,39080155.0,,,,,,,,,,,,,
. Chi phí bán hàng__1,65886470804.0,27835708390.0,18731482912.0,36179953483.0,9594419424.0,,,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,67012796933.0,70934668348.0,59698829898.0,29389786640.0,14974106854.0,9364632196.0,16855275206.0,6277795609.0,4584186246.0,4869465802.0,6211158749.0,6998535128.0,5027524493.0,3100167451.0,1529490991.0,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,265861031793.0,65295030635.0,40505631756.0,64761674599.0,70479453666.0,-3136735417.0,10683286568.0,7495105092.0,10546208960.0,-20547566216.0,5861074001.0,-782019178.0,6457597330.0,-99156866531.0,33617640203.0,,,,,
. Thu nhập khác__1,11526614749.0,17870420639.0,5602143754.0,1253399878.0,626466598.0,222931348.0,3193931.0,721723546.0,1495542625.0,636944441.0,424459293.0,27137413961.0,19638364.0,46297534.0,49606354.0,,,,,
. Chi phí khác__1,6383604604.0,3155811894.0,5529233465.0,4093098064.0,1344289893.0,180189688.0,442657277.0,332069219.0,127350000.0,3962026.0,533806519.0,675051964.0,373742834.0,1300000.0,11651645.0,,,,,
. Lợi nhuận khác__1,5143010145.0,14714608745.0,72910289.0,-2839698186.0,-717823295.0,42741660.0,-439463346.0,389654327.0,1368192625.0,632982415.0,-109347226.0,26462361997.0,-354104470.0,44997534.0,37954709.0,,,,,
