field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001],[2000],[1999],[1998],[1997]
. Doanh thu bán hàng và cung cấp dịch vụ__1,48061054249.0,47683386978.0,46573165864.0,40765244538.0,47286680358.0,,,,,,,,,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,,,,,,,,,,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,48061054249.0,47683386978.0,46573165864.0,40765244538.0,47286680358.0,,,,,,,,,,,,,,,,,,,,
. Giá vốn hàng bán__1,38812179281.0,37121576085.0,38045937608.0,30621529754.0,39629325518.0,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,9248874968.0,10561810893.0,8527228256.0,10143714784.0,7657354840.0,,,,,,,,,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,86209219.0,69924763.0,138743935.0,47099354.0,6356346.0,,,,,,,,,,,,,,,,,,,,
. Chi phí tài chính__1,,,,,32070500.0,,,,,,,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,,,,,32070500.0,,,,,,,,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,,,,,5328420709.0,,,,,,,,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,4908890935.0,6852337613.0,6055639022.0,7017390880.0,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,4426193252.0,3779398043.0,2610333169.0,3173423258.0,2303219977.0,,,,,,,,,,,,,,,,,,,,
. Thu nhập khác__1,305303213.0,24713505.0,84529193.0,386841878.0,129027085.0,,,,,,,,,,,,,,,,,,,,
. Chi phí khác__1,546428611.0,190581020.0,642531375.0,182274802.0,147959983.0,,,,,,,,,,,,,,,,,,,,
