field,[2021],[2020],[2019],[2018],[2017],[2015],[2014],[2013],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001],[2000],[2016],[2012]
. Doanh thu bán hàng và cung cấp dịch vụ__1,713187975706.0,732331985128.0,936988567611.0,849636947580.0,708752250000.0,,,,,,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,1241643552.0,110782327.0,,,,,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,711946332154.0,732221202801.0,936988567611.0,849636947580.0,708752250000.0,,,,,,,,,,,,,,,,,
. Giá vốn hàng bán__1,672310874570.0,685330918883.0,885347375166.0,796450818201.0,662303928017.0,,,,,,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,39635457584.0,46890283918.0,51641192445.0,53186129379.0,46448321983.0,,,,,,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,632016927.0,1988816001.0,2169541634.0,2709754689.0,1884630040.0,,,,,,,,,,,,,,,,,
. Chi phí tài chính__1,3762889569.0,478531976.0,610659112.0,8756274696.0,915151771.0,,,,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,3597832791.0,275432590.0,770261426.0,907955398.0,913441562.0,,,,,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,33257518893.0,34458836499.0,38217095862.0,37686110878.0,38368980798.0,,,,,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,4670221757.0,3863266378.0,12784892227.0,14580084178.0,15241873931.0,,,,,,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,-1423155708.0,10078465066.0,2198086878.0,-5126585684.0,-6193054477.0,,,,,,,,,,,,,,,,,
. Thu nhập khác__1,1768505253.0,3015276421.0,725525242.0,11898201212.0,12743696061.0,,,,,,,,,,,,,,,,,
. Chi phí khác__1,114119917.0,514105925.0,175432508.0,3329410770.0,2636299342.0,,,,,,,,,,,,,,,,,
. Lợi nhuận khác__1,1654385336.0,2501170496.0,550092734.0,8568790442.0,10107396719.0,,,,,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,231229628.0,12579635562.0,2748179612.0,3442204758.0,3914342242.0,,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,,10967761018.0,1012692986.0,1920119117.0,1272810964.0,,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,,,,,,,,,,,,,,,,,,,,,,
