field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2012],[2011],[2010],[2009],[2008],[2007],[2005],[2004],[2002],[2001],[2000],[1999],[2013],[2006],[2003]
. Doanh thu bán hàng và cung cấp dịch vụ__1,599686317334.0,571836632554.0,750844106558.0,886132002365.0,779250457923.0,692651773145.0,528577752043.0,486508587482.0,265425142871.0,234190289892.0,,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,460922000.0,77740455.0,300159727.0,1945309977.0,330951117.0,166142100.0,1853263361.0,791948260.0,,671531870.0,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,599225395334.0,571758892099.0,750543946831.0,884186692388.0,778919506806.0,692485631045.0,526724488682.0,485716639222.0,265425142871.0,233518758022.0,,,,,,,,,,,,,
. Giá vốn hàng bán__1,549179013719.0,505625361128.0,648448787850.0,763389559873.0,620369305982.0,563002535036.0,399659411792.0,320403486888.0,184741879953.0,168279969275.0,,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,50046381615.0,66133530971.0,102095158981.0,120797132515.0,158550200824.0,129483096009.0,127065076890.0,165313152334.0,80683262918.0,65238788747.0,,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,611622653.0,989717559.0,690878462.0,544575297.0,538048325.0,448642184.0,410743824.0,633634930.0,722197301.0,147453318.0,,,,,,,,,,,,,
. Chi phí tài chính__1,9272260928.0,10915639403.0,16625377858.0,24164050778.0,20730698717.0,18894772306.0,24635123103.0,22713005579.0,23933981843.0,20806802156.0,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,8961904225.0,10814351359.0,16349842933.0,19439309659.0,20540473546.0,18153542506.0,21965104875.0,20583378360.0,18514738754.0,19191710257.0,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,1636263819.0,2151172631.0,3684688993.0,4950887081.0,71139122523.0,47856262421.0,51510834605.0,89589727913.0,27417186733.0,14467573904.0,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,23833252263.0,20045499365.0,26392267613.0,36276377895.0,27967281940.0,26511505734.0,24485203232.0,20815992113.0,6390794717.0,9709006495.0,,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,15916227258.0,34010937131.0,56083702979.0,55950392058.0,39251145969.0,36669197732.0,26844659774.0,32828061659.0,23663496926.0,20402859510.0,,,,,,,,,,,,,
. Thu nhập khác__1,912686991.0,1728818459.0,2701873133.0,3566147428.0,1133203505.0,21924700267.0,20222005308.0,39867875467.0,7642789673.0,5640501.0,,,,,,,,,,,,,
. Chi phí khác__1,262199132.0,410313997.0,1198181478.0,11348696295.0,314031746.0,10982271454.0,17818235272.0,40152725400.0,7432136680.0,59536655.0,,,,,,,,,,,,,
. Lợi nhuận khác__1,650487859.0,1318504462.0,1503691655.0,-7782548867.0,819171759.0,10942428813.0,2403770036.0,-284849933.0,210652993.0,-53896154.0,,,,,,,,,,,,,
