field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001]
. Doanh thu bán hàng và cung cấp dịch vụ__1,1818858294221.0,1753642818367.0,384626718133.0,1126585482301.0,,,,,,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,10493530004.0,,,1173653331.0,,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,1808364764217.0,1753642818367.0,384626718133.0,1125411828970.0,989145459985.0,,,,,,,,,,,,,,,,
. Giá vốn hàng bán__1,1409599539119.0,1481813828861.0,103708085761.0,724016231591.0,767833548272.0,,,,,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,398765225098.0,271828989506.0,280918632372.0,401395597379.0,221311911713.0,,,,,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,610143063876.0,445510000512.0,212650573762.0,53743371458.0,17474218625.0,,,,,,,,,,,,,,,,
. Chi phí tài chính__1,262770859657.0,64544829544.0,39977263275.0,27334453188.0,21954703779.0,,,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,123829540318.0,50368291477.0,38468986456.0,18035740217.0,20164130054.0,,,,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",67282002396.0,-14032515295.0,54237827241.0,-750000.0,-750000000.0,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,207950840069.0,129796417414.0,6188087324.0,49073551748.0,48093749235.0,,,,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,113204637015.0,86837318486.0,127781581226.0,64281876902.0,31039634921.0,,,,,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,492263954629.0,422127909279.0,373860101550.0,314448336999.0,136948042403.0,,,,,,,,,,,,,,,,
. Thu nhập khác__1,11398186713.0,78295255625.0,41429156.0,398157084352.0,4329593502.0,,,,,,,,,,,,,,,,
. Chi phí khác__1,9487371398.0,21424494636.0,7038569437.0,10428704111.0,7978634503.0,,,,,,,,,,,,,,,,
. Lợi nhuận khác__1,1910815315.0,56870760989.0,-6997140281.0,387728380241.0,-3649041001.0,,,,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,494174769944.0,478998670268.0,366862961269.0,702176717240.0,133299001402.0,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,115298409739.0,74338072276.0,30368626946.0,147733647956.0,20395010729.0,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,-42290995578.0,-40087597848.0,3266776879.0,-11358845388.0,10331513829.0,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,421167355783.0,444748195840.0,333227557444.0,565801914672.0,102572476844.0,,,,,,,,,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,1792161199.0,30034859120.0,6730545599.0,273161361911.0,44010490256.0,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,419375194584.0,414713336720.0,326497011845.0,292640552761.0,58561986588.0,,,,,,,,,,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,5068.0,5031.0,4602.0,15111.0,,,,,,,,,,,,,,,,,
. Lãi suy giảm trên cổ phiếu__1,5068.0,5031.0,4602.0,15111.0,,,,,,,,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,,
I - TÀI SẢN NGẮN HẠN__1,11089800323834.0,9016316498310.0,4684824193068.0,1810022931066.0,2107066254151.0,,,,,,,,,,,,,,,,
. Tiền và các khoản tương đương tiền__1,397638065001.0,518612185572.0,138166033448.0,331051237351.0,285428351763.0,,,,,,,,,,,,,,,,
..Tiền__1,290878065001.0,429852185572.0,88001249132.0,274263237351.0,70524118099.0,,,,,,,,,,,,,,,,
..Các khoản tương đương tiền__1,106760000000.0,88760000000.0,50164784316.0,56788000000.0,214904233664.0,,,,,,,,,,,,,,,,
. Các khoản đầu tư tài chính ngắn hạn__1,118529163580.0,108630406552.0,140252607068.0,450509602646.0,670000000.0,,,,,,,,,,,,,,,,
.. Chứng khoán kinh doanh__1,,,,235000000000.0,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,
.. Đầu tư nắm giữ đến ngày đáo hạn__1,118529163580.0,108630406552.0,140252607068.0,215509602646.0,670000000.0,,,,,,,,,,,,,,,,
. Các khoản phải thu ngắn hạn__1,3123319222976.0,1877514984735.0,1306926141077.0,948435657696.0,1094633496954.0,,,,,,,,,,,,,,,,
..Phải thu khách hàng__1,229338190928.0,274619105688.0,132895880834.0,94110305534.0,49964576291.0,,,,,,,,,,,,,,,,
..Trả trước cho người bán__1,42201592946.0,129554470860.0,108138498921.0,28720179935.0,18041959232.0,,,,,,,,,,,,,,,,
.. Phải thu nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Phải thu theo tiến độ Kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay ngắn hạn__1,1707783221932.0,718138601300.0,476969032877.0,649742000000.0,3000000000.0,,,,,,,,,,,,,,,,
.. Các khoản phải thu khác__1,1159796217170.0,761502806887.0,590532728445.0,177473172227.0,1023626961431.0,,,,,,,,,,,,,,,,
.. Dự phòng phải thu ngắn hạn khó đòi__1,-15800000000.0,-6300000000.0,-1610000000.0,-1610000000.0,,,,,,,,,,,,,,,,,
. Tài sản thiếu chờ xử lý__1,,,,,,,,,,,,,,,,,,,,,
. Hàng tồn kho__1,6729654700535.0,5734218227175.0,2611316273160.0,52794843422.0,674119488210.0,,,,,,,,,,,,,,,,
