field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001],[2014],[2000],[1999]
. Doanh thu bán hàng và cung cấp dịch vụ__1,61989226765.0,45115059907.0,60289516418.0,63500561296.0,83200002062.0,100386492626.0,,,,,,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,,,,,,,,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,61989226765.0,45115059907.0,60289516418.0,63500561296.0,83200002062.0,100386492626.0,,,,,,,,,,,,,,,,,
. Giá vốn hàng bán__1,55447803483.0,37847306720.0,52233448788.0,55871151160.0,72654629848.0,85381862334.0,,,,,,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,6541423282.0,7267753187.0,8056067630.0,7629410136.0,10545372214.0,15004630292.0,,,,,,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,261623052.0,104184320.0,256959061.0,232099404.0,351136183.0,125135806.0,,,,,,,,,,,,,,,,,
. Chi phí tài chính__1,,,,20136986.0,,,,,,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,,,,20136986.0,,,,,,,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,952552311.0,2493598892.0,3116904401.0,2390838348.0,1665846627.0,2401370505.0,,,,,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,4867181252.0,5334418424.0,6667501250.0,4217446351.0,4501034407.0,6015741405.0,,,,,,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,983312771.0,-456079809.0,-1471378960.0,1233087855.0,4729627363.0,6712654188.0,,,,,,,,,,,,,,,,,
. Thu nhập khác__1,11909280.0,100785327.0,89013300.0,,525580938.0,60669307.0,,,,,,,,,,,,,,,,,
. Chi phí khác__1,68772499.0,132168747.0,122689094.0,22996051.0,36486486.0,4948743.0,,,,,,,,,,,,,,,,,
. Lợi nhuận khác__1,-56863219.0,-31383420.0,-33675794.0,-22996051.0,489094452.0,55720564.0,,,,,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,926449552.0,-487463229.0,-1505054754.0,1210091804.0,5218721815.0,6768374752.0,,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,,,,262018361.0,1111911068.0,1368294996.0,,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,,,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,926449552.0,-487463229.0,-1505054754.0,948073443.0,4106810747.0,5400079756.0,,,,,,,,,,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,926449552.0,-487463229.0,-1505054754.0,948073443.0,4106810747.0,5400079756.0,,,,,,,,,,,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,463.0,-244.0,-753.0,474.0,1540.0,2025.0,,,,,,,,,,,,,,,,,
. Lãi suy giảm trên cổ phiếu__1,463.0,-244.0,-753.0,474.0,1540.0,2025.0,,,,,,,,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,,,,
