field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001],[2000]
. Doanh thu bán hàng và cung cấp dịch vụ__1,1236894840351.0,1209550300382.0,1190273001592.0,1632312710410.0,1667997836209.0,2489445411633.0,1723481698562.0,247736451219.0,37415123592.0,18143630740.0,4764360419.0,12049686873.0,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,16333953136.0,21123316963.0,8798394982.0,35714883577.0,42636849924.0,66691641109.0,16808489362.0,3358735773.0,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,1220560887215.0,1188426983419.0,1181474606610.0,1596597826833.0,1625360986285.0,2422753770524.0,1706673209200.0,244377715446.0,37415123592.0,18143630740.0,4764360419.0,12049686873.0,,,,,,,,,,
. Giá vốn hàng bán__1,914096834939.0,922170707896.0,925908678313.0,1268507450834.0,1240740514377.0,1986528301662.0,1382746904911.0,164781914262.0,19655622591.0,8965968661.0,2014514787.0,1670018140.0,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,306464052276.0,266256275523.0,255565928297.0,328090375999.0,384620471908.0,436225468862.0,323926304289.0,79595801184.0,17759501001.0,9177662079.0,2749845632.0,10379668733.0,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,429906933445.0,134225237094.0,199947686410.0,149078916039.0,164691867739.0,231938046869.0,305448241262.0,142989271709.0,198800461158.0,286853546648.0,136661578955.0,16613773753.0,,,,,,,,,,
. Chi phí tài chính__1,165562667287.0,58782496667.0,66990222166.0,87553858716.0,34972228190.0,73951049222.0,33322585273.0,6668098087.0,164316951809.0,277536052147.0,133065498295.0,12275537415.0,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,43680412811.0,40821149149.0,45776820026.0,55144707653.0,41853673182.0,50935974764.0,25726718590.0,,153351064818.0,245404192561.0,113938120924.0,1778872793.0,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",-9916453762.0,-5139204086.0,1603627566.0,-18035594067.0,-10335967979.0,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,139368317397.0,129464413851.0,166634998913.0,227939606522.0,210721192972.0,255834291738.0,129429228851.0,13713173354.0,772645739.0,,,,,,,,,,,,,
