field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001],[2000]
. Doanh thu bán hàng và cung cấp dịch vụ__1,10131420687101.0,2898850191353.0,5814792550202.0,4645499698895.0,2882249195439.0,2513373536580.0,1396963102468.0,522678876644.0,342700205488.0,407788347001.0,288616134764.0,383663057844.0,84909410818.0,28610676713.0,28607371380.0,2040360755.0,,,,,,
. Các khoản giảm trừ doanh thu__1,42035949263.0,8196307626.0,1214818184.0,181136363.0,3007805492.0,6856679120.0,2458324800.0,16498219182.0,109065000.0,4285363087.0,2229870749.0,9408016633.0,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,10089384737838.0,2890653883727.0,5813577732018.0,4645318562532.0,2879241389947.0,2506516857460.0,1394504777668.0,506180657462.0,342591140488.0,403502983914.0,286386264015.0,374255041211.0,84909410818.0,28610676713.0,28607371380.0,2040360755.0,,,,,,
. Giá vốn hàng bán__1,4491591910436.0,1016048215123.0,2729975508597.0,2030544378590.0,1149440021123.0,1454879592035.0,735259955275.0,204365448865.0,136660212775.0,210618195803.0,80303294608.0,204977948735.0,6118711382.0,4046669739.0,3518221376.0,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,5597792827402.0,1874605668604.0,3083602223421.0,2614774183942.0,1729801368824.0,1051637265425.0,659244822393.0,301815208597.0,205930927713.0,192884788111.0,206082969407.0,169277092476.0,78790699436.0,24564006974.0,25089150004.0,2040360755.0,,,,,,
. Doanh thu hoạt động tài chính__1,352726616506.0,72635022559.0,270472044756.0,206731318326.0,66074831666.0,104659745612.0,36843777959.0,83903183685.0,54953320305.0,3259472615.0,17463879811.0,6870911486.0,4320678536.0,1814842388.0,231129549.0,13263702.0,,,,,,
. Chi phí tài chính__1,543611625605.0,858283502622.0,209031029465.0,190754523920.0,62664889037.0,32702590722.0,8494992425.0,79290701.0,342828981.0,6622780181.0,38554054136.0,1034532917.0,5362916.0,23016581.0,56136724.0,34230060.0,,,,,,
- Trong đó: Chi phí lãi vay__1,467967195740.0,308766244179.0,198518758945.0,162515347183.0,60951429011.0,31960525659.0,4909963431.0,79290701.0,342828981.0,6616455675.0,38554054136.0,952534748.0,5362916.0,22848281.0,29596090.0,34173760.0,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",325036444.0,-10584315801.0,149336502241.0,256266984265.0,128011407685.0,72042670039.0,66590908678.0,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,1887483177447.0,488535848176.0,483126308561.0,433804796676.0,294965620501.0,235752853790.0,144354646805.0,54302469731.0,62493809463.0,44045724707.0,45220324818.0,35836165729.0,18678027708.0,7905588790.0,5283724015.0,1066569022.0,,,,,,
. Chi phí quản lý doanh nghiệp__1,997632206311.0,594046060241.0,501464017669.0,345927634999.0,248557710590.0,172799115614.0,125097567013.0,82327576803.0,81246045411.0,78671239713.0,83735938330.0,54237309121.0,23742199102.0,8711750827.0,4482122432.0,880460973.0,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,2522117470989.0,-4209035677.0,2309789414723.0,2107285530938.0,1317699388047.0,787085120950.0,484732302787.0,249009055047.0,116801564163.0,66804516125.0,56036531934.0,85039996195.0,40685788246.0,9738493164.0,15498296382.0,72364402.0,,,,,,
. Thu nhập khác__1,70053075590.0,109570449983.0,125728345714.0,21208505992.0,29231916495.0,45458536128.0,65594444012.0,2995435081.0,3548352653.0,4710084056.0,5241376614.0,26098022678.0,6619393933.0,26703668.0,7477570.0,,,,,,,
. Chi phí khác__1,76151228264.0,78471133521.0,47004000462.0,26709544872.0,11611208906.0,11305515375.0,9937008425.0,1280391822.0,1981697082.0,3376283338.0,4396064260.0,1003705077.0,18833931.0,293614430.0,1.0,,,,,,,
. Lợi nhuận khác__1,-6098152674.0,31099316462.0,78724345252.0,-5501038880.0,17620707589.0,34153020753.0,55657435587.0,1715043259.0,1566655571.0,1333800718.0,845312354.0,25094317601.0,6600560002.0,-266910762.0,7477569.0,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,2516019318315.0,26890280785.0,2388513759975.0,2101784492058.0,1335320095636.0,821238141703.0,540389738374.0,266369025689.0,120486043871.0,79113799736.0,55393685902.0,110191703510.0,47286348248.0,9471582402.0,15505773951.0,72364402.0,,,,,,
. Chi phí thuế TNDN hiện hành__1,849225776906.0,349838023653.0,505980349738.0,381773261869.0,274878315250.0,152146055441.0,97933278406.0,55480718716.0,30756143864.0,20018951627.0,22284702973.0,32449211248.0,9269279681.0,2638970251.0,4341616706.0,20262033.0,,,,,,
. Chi phí thuế TNDN hoãn lại__1,71737236074.0,-148878066733.0,-3685247085.0,-2783512358.0,-24978471969.0,4668775094.0,-3160356170.0,-2159713532.0,,,48776071.0,-112291094.0,,,,,,,,,,
