field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002]
. Doanh thu bán hàng và cung cấp dịch vụ__1,22023458257.0,20040008867.0,19647098064.0,19660110961.0,21339784625.0,20632453199.0,41340747362.0,59858516624.0,46824279238.0,47190493364.0,,,88802344773.0,,,,,,,
. Các khoản giảm trừ doanh thu__1,,,,154585518.0,266510497.0,353824594.0,618803658.0,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,22023458257.0,20040008867.0,19647098064.0,19505525443.0,21073274128.0,20278628605.0,40721943704.0,59858516624.0,46824279238.0,47190493364.0,,,88802344773.0,,,,,,,
. Giá vốn hàng bán__1,7546996238.0,8272438892.0,6172916729.0,9875756443.0,12711276657.0,13487093990.0,30272745246.0,46819742107.0,40263586511.0,34763708721.0,,,69714612534.0,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,14476462019.0,11767569975.0,13474181335.0,9629769000.0,8361997471.0,6791534615.0,10449198458.0,13038774517.0,6560692727.0,12426784643.0,,,19087732239.0,,,,,,,
. Doanh thu hoạt động tài chính__1,3244500735.0,4954483758.0,1060321457.0,852735332.0,905489512.0,4107946.0,503951846.0,1604016663.0,2432865242.0,2811527679.0,,,2096020297.0,,,,,,,
. Chi phí tài chính__1,1055250.0,846952445.0,-12907809740.0,425137603.0,1117510.0,-1953070476.0,-482857797.0,16521953724.0,54432.0,44859446.0,,,1182977751.0,,,,,,,
- Trong đó: Chi phí lãi vay__1,,,,,,412430807.0,479246404.0,,,,,,152342158.0,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,1325294994.0,1323543499.0,1257278933.0,2142717335.0,4878942184.0,5173098786.0,4640973890.0,6072326000.0,2493717082.0,3806571770.0,,,4042571650.0,,,,,,,
. Chi phí quản lý doanh nghiệp__1,7409886722.0,7505860760.0,6506196099.0,4590377034.0,4932294236.0,5489132241.0,13282974224.0,15666540386.0,5342274661.0,6470677497.0,,,8742080349.0,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,8984725788.0,7045697029.0,19678837500.0,3324272360.0,-544866947.0,-1913517990.0,-6487940013.0,-23618028930.0,1157511794.0,4916203609.0,,,7216122786.0,,,,,,,
. Thu nhập khác__1,48204353.0,19266467.0,311337.0,370484978.0,754259410.0,123672763.0,275201005.0,2210295399.0,43700857.0,126997191.0,,,144611248.0,,,,,,,
. Chi phí khác__1,1400.0,800.0,1785627.0,13620852.0,159665813.0,175098.0,530626906.0,1812176.0,20288479.0,120836429.0,,,3965064.0,,,,,,,
. Lợi nhuận khác__1,48202953.0,19265667.0,-1474290.0,356864126.0,594593597.0,123497665.0,-255425901.0,2208483223.0,23412378.0,6160762.0,,,140646184.0,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,9032928741.0,7064962696.0,19677363210.0,3681136486.0,49726650.0,-1790020325.0,-6743365914.0,-21409545707.0,1180924172.0,4922364371.0,,,7356768970.0,,,,,,,
. Chi phí thuế TNDN hiện hành__1,1861996798.0,341351838.0,,,,,,263017878.0,98038675.0,806778914.0,,,457686408.0,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,14685006.0,1454352539.0,3973989755.0,777730363.0,599826039.0,-338292456.0,-1445357098.0,-5036934148.0,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,7156246937.0,5269258319.0,15703373455.0,2903406123.0,-550099389.0,-1451727869.0,-5298008816.0,-16635629437.0,1082885497.0,4115585457.0,,,6899082562.0,,,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,7156246937.0,5269258319.0,15703373455.0,2903406123.0,-550099389.0,-1451727869.0,-5298008816.0,-16635629437.0,1082885497.0,4115585457.0,,,6899082562.0,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,1193.0,878.0,2617.0,484.0,-92.0,-242.0,,,1805.0,6859.0,,,11498.0,,,,,,,
. Lãi suy giảm trên cổ phiếu__1,1193.0,878.0,2617.0,484.0,-92.0,,,,,,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,
