field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002]
. Các khoản đầu tư tài chính ngắn hạn__1,16149600000.0,18665937100.0,26913100000.0,258000000.0,408545000.0,408545000.0,348002273.0,267002273.0,229502273.0,162001364.0,178750000.0,308000000.0,346500000.0,748680000.0,,,,,,
.. Chứng khoán kinh doanh__1,4237145000.0,4237145000.0,4237145000.0,408545000.0,408545000.0,408545000.0,408545000.0,,,,,,,,,,,,,
.. Dự phòng giảm giá chứng khoán kinh doanh__1,-87545000.0,-320855000.0,-224045000.0,-150545000.0,,,-60542727.0,,,,,,,,,,,,,
.. Đầu tư nắm giữ đến ngày đáo hạn__1,12000000000.0,14749647100.0,22900000000.0,,,,,,,,,,,,,,,,,
. Các khoản phải thu ngắn hạn__1,28955185908.0,13705174263.0,6893143657.0,17688474294.0,18430479053.0,17440447608.0,15561784621.0,10149689634.0,41082207505.0,19853008351.0,12987257370.0,19230174986.0,11145035412.0,12650568644.0,,,,,,
..Phải thu khách hàng__1,28511669720.0,13513850605.0,6212738081.0,12976855077.0,13933375656.0,14906638064.0,10492240321.0,9480465758.0,15973604248.0,7001680757.0,6193097060.0,10242027855.0,10235201848.0,12289238124.0,,,,,,
..Trả trước cho người bán__1,439690573.0,776848964.0,776992926.0,5222887543.0,4895440098.0,2093928073.0,4985885423.0,930017193.0,24292172718.0,13142453492.0,7327153040.0,8971527055.0,243449192.0,360818520.0,,,,,,
.. Phải thu nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
.. Phải thu theo tiến độ Kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
.. Các khoản phải thu khác__1,1699033590.0,1098939465.0,1355090117.0,756111992.0,531968396.0,1148371742.0,695359498.0,34015850.0,1041101444.0,12300000.0,,16620076.0,666384372.0,512000.0,,,,,,
.. Dự phòng phải thu ngắn hạn khó đòi__1,-1708629651.0,-1697886447.0,-1465099143.0,-1683607559.0,-1346532338.0,-1111415836.0,-636742671.0,-294809167.0,-224670905.0,-303425898.0,-532992730.0,,,,,,,,,
. Tài sản thiếu chờ xử lý__1,13421676.0,13421676.0,13421676.0,416227241.0,416227241.0,402925565.0,25042050.0,,,,,,,,,,,,,
. Hàng tồn kho__1,26504585897.0,26351832286.0,38908033011.0,22788615313.0,25614144832.0,25301416903.0,33165121982.0,36983756411.0,44320577264.0,33761201837.0,31233156160.0,25880246050.0,36237855166.0,26494493488.0,,,,,,
.. Hàng tồn kho__1,44338038017.0,37124765259.0,43755743489.0,26634077351.0,28976470070.0,29441035009.0,40640035798.0,43358667807.0,51925270658.0,40786499890.0,35604648427.0,30383989921.0,37809678541.0,27194684686.0,,,,,,
.. Dự phòng giảm giá hàng tồn kho__1,-17833452120.0,-10772932973.0,-4847710478.0,-3845462038.0,-3362325238.0,-4139618106.0,-7474913816.0,-6374911396.0,-7604693394.0,-7025298053.0,-4371492267.0,-4503743871.0,-1571823375.0,-700191198.0,,,,,,
. Tài sản ngắn hạn khác__1,3554183643.0,3368530870.0,3651776079.0,2528650874.0,3084735248.0,2264570324.0,2869812178.0,3162114472.0,3528304120.0,3999108832.0,2523226197.0,2431877027.0,2136974732.0,2209107732.0,,,,,,
.. Chi phí trả trước ngắn hạn__1,3554183643.0,3361471116.0,3651776079.0,2137355127.0,2065332581.0,2134917754.0,2119954831.0,2303479947.0,2405878305.0,1708885873.0,1852541140.0,1578588160.0,1846097866.0,1686398325.0,,,,,,
.. Thuế GTGT được khấu trừ__1,,7059754.0,,177578273.0,,68914440.0,749625678.0,531453026.0,774345509.0,553441218.0,368445404.0,447630699.0,,111364514.0,,,,,,
.. Thuế và các khoản khác phải thu Nhà nước__1,,,,213717474.0,1019402667.0,60738130.0,231669.0,,,1402373354.0,,,,,,,,,,
. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,
.. Tài sản ngắn hạn khác__1,,,,,,,,327181499.0,348080306.0,334408387.0,302239653.0,405658168.0,290876866.0,411344893.0,,,,,,
II - TÀI SẢN DÀI HẠN__1,25666571453.0,26435510009.0,31992485392.0,33125003890.0,32156394937.0,41681728560.0,30840674794.0,31258855223.0,24234734699.0,23885799187.0,21271764977.0,21348135712.0,16861442884.0,10781334281.0,,,,,,
. Các khoản phải thu dài hạn__1,,,,,,,3400000000.0,,,,,,,,,,,,,
.. Phải thu dài hạn của khách hàng__1,,,,,,,,,,,,,,,,,,,,
. Trả trước cho người bán dài hạn__1,,,,,,,,,,,,,,,,,,,,
.. Vốn kinh doanh ở đơn vị trực thuộc__1,,,,,,,,,,,,,,,,,,,,
.. Phải thu nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay dài hạn__1,,,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn khác__1,,,,,,,3400000000.0,,,,,,,,,,,,,
.. Dự phòng phải thu khó đòi__1,,,,,,,,,,,,,,,,,,,,
. Tài sản cố định__1,18492216937.0,19191951577.0,19509109257.0,18961110125.0,18478926576.0,19283604464.0,19851096782.0,20435791737.0,16670527856.0,15882134427.0,9952916330.0,8733683120.0,6061942884.0,5331834281.0,,,,,,
.. Tài sản cố định hữu hình__1,10569541937.0,11223280577.0,11494442257.0,11161111125.0,10664859365.0,11452533253.0,12003025567.0,12570720518.0,8761617944.0,8082135427.0,5372690810.0,1398418900.0,575164325.0,751608761.0,,,,,,
- Nguyên giá__1,20370416756.0,19655916396.0,18731470076.0,17837029485.0,16676770394.0,16676770394.0,16366076394.0,15921127894.0,11245694702.0,9833186699.0,6609667332.0,2072558689.0,985795963.0,973932327.0,,,,,,
- Giá trị hao mòn luỹ kế__1,-9800874819.0,-8432635819.0,-7237027819.0,-6675918360.0,-6011911029.0,-5224237141.0,-4363050827.0,-3350407376.0,-2484076758.0,-1751051272.0,-1236976522.0,-674139789.0,-410631638.0,-222323566.0,,,,,,
.. Tài sản cố định thuê tài chính__1,,,,,,,,,,,,,,,,,,,,
- Nguyên giá__2,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__2,,,,,,,,,,,,,,,,,,,,
.. Tài sản cố định vô hình__1,7922675000.0,7968671000.0,8014667000.0,7799999000.0,7814067211.0,7831071211.0,7848071215.0,7865071219.0,7882071223.0,7799999000.0,4580225520.0,4580225520.0,5486778559.0,4580225520.0,,,,,,
- Nguyên giá__3,8114999000.0,8114999000.0,8114999000.0,7884999000.0,7884999000.0,7884999000.0,7884999000.0,7884999000.0,7884999000.0,7799999000.0,4580225520.0,4580225520.0,5486778559.0,4580225520.0,,,,,,
- Giá trị hao mòn luỹ kế__3,-192324000.0,-146328000.0,-100332000.0,-85000000.0,-70931789.0,-53927789.0,-36927785.0,-19927781.0,-2927777.0,,,,,,,,,,,
. Bất động sản đầu tư__1,,,,,,,,,,,,,,,,,,,,
- Nguyên giá__4,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__4,,,,,,,,,,,,,,,,,,,,
. Tài sản dở dang dài hạn__1,,,,,,,,,,,,,,,,,,,,
". Chi phí sản xuất, kinh doanh dở dang dài hạn__1",,,,,,,,,,,,,,,,,,,,
. Chi phí xây dựng cơ bản dở dang__1,,,,,,,,,,,,,,,,,,,,
. Đầu tư tài chính dài hạn__1,6799500000.0,6799500000.0,11970113787.0,13581427501.0,13025798181.0,21677250000.0,6799500000.0,,,,,,,,,,,,,
. Đầu tư vào công ty con__1,,,,,,,,,,,,,10799500000.0,,,,,,,
". Đầu tư vào công ty liên kết, liên doanh__1",5449500000.0,5449500000.0,5449500000.0,5449500000.0,5449500000.0,5449500000.0,5449500000.0,5449500000.0,5449500000.0,5449500000.0,5449500000.0,5449500000.0,,,,,,,,
. Đầu tư góp vốn vào đơn vị khác__1,1350000000.0,1350000000.0,13227750000.0,13227750000.0,13227750000.0,16227750000.0,1350000000.0,,,,,,,,,,,,,
. Dự phòng giảm giá đầu tư dài hạn__1,,,-6707136213.0,-5095822499.0,-5651451819.0,,,-1284580000.0,-1226190000.0,-934240000.0,-1825795029.0,-321145000.0,,,,,,,,
. Đầu tư nắm giữ đến ngày đáo hạn__1,,,,,,,,,,,,,,,,,,,,
. Tài sản dài hạn khác__1,374854516.0,444058432.0,513262348.0,582466264.0,651670180.0,720874096.0,790078012.0,908143486.0,990896843.0,1138404760.0,1345143676.0,1136097592.0,,,,,,,,
. Chi phí trả trước dài hạn__1,374854516.0,444058432.0,513262348.0,582466264.0,651670180.0,720874096.0,790078012.0,908143486.0,990896843.0,1138404760.0,1345143676.0,1136097592.0,,,,,,,,
. Tài sản thuế thu nhập hoãn lại__1,,,,,,,,,,,,,,,,,,,,
". Thiết bị, vật tư, phụ tùng thay thế dài hạn__1",,,,,,,,,,,,,,,,,,,,
. Tài sản dài hạn khác__2,,,,,,,,,,,,,,,,,,,,
". Ký quỹ, ký cược dài hạn__1",,,,,,,,,,,,,,,,,,,,
. Lợi thế thương mại__1,,,,,,,,,,,,,,,,,,,,
Tổng cộng tài sản__1,129601565900.0,113817216082.0,111837108173.0,93786038085.0,94684031721.0,98556092577.0,92937699704.0,96725306509.0,123129940624.0,87438685206.0,77908742467.0,74117209967.0,70956863158.0,56016337025.0,,,,,,
I - NỢ PHẢI TRẢ__1,38311630918.0,26598590664.0,28358664754.0,14157325981.0,16619413109.0,28307095809.0,17777119651.0,32509408255.0,61930879336.0,30308846456.0,25735723695.0,23422137887.0,19650848591.0,4756896803.0,,,,,,
. Nợ ngắn hạn__1,38311630918.0,26598590664.0,28358664754.0,14157325981.0,16619413109.0,28307095809.0,17777119651.0,32509408255.0,61930879336.0,30272635189.0,25700320441.0,23422137887.0,19650848591.0,4756896803.0,,,,,,
.. Phải trả người bán ngắn hạn__1,16525544613.0,15938685226.0,9232880486.0,6227286549.0,3321365588.0,9238857741.0,3842367024.0,,,,,,,,,,,,,
.. Người mua trả tiền trước ngắn hạn__1,1144191909.0,972687642.0,1137092686.0,1762415258.0,1581833157.0,234723431.0,884605322.0,,,,,,,,,,,,,
..Thuế và các khoản phải nộp Nhà nước__1,1792723796.0,606063381.0,704381837.0,216258826.0,294478266.0,132535211.0,414946363.0,261908588.0,270586331.0,180822719.0,2074142221.0,712357704.0,1700674377.0,183836466.0,,,,,,
.. Phải trả người lao động__1,2424852259.0,2020895104.0,1385136126.0,1279797971.0,1101528784.0,946573099.0,919794021.0,363402395.0,998874293.0,743701241.0,557730708.0,400265446.0,647813405.0,526398031.0,,,,,,
.. Chi phí phải trả ngắn hạn__1,15666372079.0,5762277071.0,4846935104.0,3543312168.0,4240398521.0,2978415574.0,3161455901.0,,,,,,,,,,,,,
.. Phải trả nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
.. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,
.. Doanh thu chưa thực hiện ngắn hạn__1,,28302000.0,26450400.0,26450400.0,24720000.0,24720000.0,24000000.0,,,,,,,,,,,,,
.. Phải trả ngắn hạn khác__1,39297700.0,764650.0,13990978.0,328712066.0,1420352721.0,8754332835.0,504180357.0,,,,,,,,,,,,,
.. Vay và nợ thuê tài chính ngắn hạn__1,,,10000000000.0,,4746827700.0,5072534965.0,6944501374.0,,,,,,,,,,,,,
.. Dự phòng phải trả ngắn hạn__1,,,,,,,,,,,,,,,,,,,,
". Quỹ khen thưởng, phúc lợi__1",718648562.0,1268915590.0,1011797137.0,773092743.0,-112091628.0,924402953.0,1081269289.0,,,,,,,,,,,,,
.. Quỹ bình ổn giá__1,,,,,,,,,,,,,,,,,,,,
.. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,
. Nợ dài hạn__1,,,,,,,,,,36211267.0,35403254.0,,,,,,,,,
.. Phải trả dài hạn người bán__1,,,,,,,,,,,,,,,,,,,,
. Người mua trả tiền trước dài hạn__1,,,,,,,,,,,,,,,,,,,,
. Chi phí phải trả dài hạn__1,,,,,,,,,,,,,,,,,,,,
. Phải trả nội bộ về vốn kinh doanh__1,,,,,,,,,,,,,,,,,,,,
. Phải trả dài hạn nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,,
. Doanh thu chưa thực hiện dài hạn__1,,,,,,,,,,,,,,,,,,,,
.. Phải trả dài hạn khác__1,,,,,,,,,,,,,,,,,,,,
. Vay và nợ thuê tài chính dài hạn__1,,,,,,,,,,,,,,,,,,,,
. Trái phiếu chuyển đổi__1,,,,,,,,,,,,,,,,,,,,
. Thuế thu nhập hoãn lại phải trả__1,,,,,,,,,,,,,,,,,,,,
.. Dự phòng phải trả dài hạn__1,,,,,,,,,,,,,,,,,,,,
.. Quỹ phát triển khoa học và công nghệ__1,,,,,,,,,,,,,,,,,,,,
II - VỐN CHỦ SỞ HỮU__1,91289934982.0,87218625418.0,83478443419.0,79628712104.0,78064618612.0,70248996768.0,75160580053.0,64215898254.0,61199061288.0,57129838750.0,52173018772.0,50695072080.0,51306014567.0,51259440222.0,,,,,,
I. Vốn chủ sở hữu__1,91289934982.0,87218625418.0,83478443419.0,79628712104.0,78064618612.0,70248996768.0,75160580053.0,,,,,,,,,,,,,
. Vốn góp của chủ sở hữu__1,50000000000.0,50000000000.0,50000000000.0,50000000000.0,50000000000.0,50000000000.0,50000000000.0,,,,,,,,,,,,,
- Cổ phiếu phổ thông có quyền biểu quyết__1,50000000000.0,50000000000.0,50000000000.0,50000000000.0,50000000000.0,50000000000.0,50000000000.0,,,,,,,,,,,,,
- Cổ phiếu ưu đãi__1,,,,,,,,,,,,,,,,,,,,
. Cổ phiếu ưu đãi__1,,,,,,,,,,,,,,,,,,,,
. Thặng dư vốn cổ phần__1,,,,,,,,,,,,,,,,,,,,
. Quyền chọn chuyển đổi trái phiếu__1,,,,,,,,,,,,,,,,,,,,
. Vốn khác của chủ sở hữu__1,,,,,,,,,,,,,,,,,,,,
